a1t,a2t,a3t,a4t_a,a4t_b,a5t,a6t_a,a6t_b,a7t
sol,la moneda,cabeza,Si,por que yosi puedo cantar pero la pelota no,que su hermano puede gritar por que no tiene una pelota de pelos,la cabeza de un gato,por que tiene pelos,por que la moneda es de plata
abuelo,mama,papa,No,eso implosible,como esta pequeno da lata,abuelo,como ya esta grande,por que tiene valor y te ayuda
juego,mi gata,mi perro,Si,por la cansion,que es bien yoron,los celos,por que son feos,que son selos
papa,la hermana,mascota,Si,la mama como siempre esta en casa pues siempre va a poner musica y se va a poner a cantar,cuando al hermano no le compran nada se pone gritar,el perro o el gato,por que tambien trae melena de cabello,que vale mucho
papa,la hermana,mascota,Si,por que es toda una familia de pelotas,que su hermano es una pelota que grita,mi cabeza,por que tiene la forma de una pelota y tiene cabello,que el papa podria ser una pelota muy cara por que esta hecho de plata
que esta en llamas,es algo platiado,cabeza,Si,si tiene sentido una pelota,que grita mucho,la cabeza,porque tiene pelos,tiene talento como hector cristian
el serillo,la silla,la cabeza,No,POR QUE NO ABLAN,que abla mucho o grita,su ermanito,por que el dijo,no se
esa,esta,cabeza,No,por que es inlogico que una pelota aga alguna cansion solo ase sonido al caer :v,que la nina sela pasa llorando o asiendo berrinche :v,el cabello o otras partes7u7,por que ninguna parte mas que en la cabesa hay pelos :v,es como una medalla o algo similar :v
no,mi papa,perro,No,lapelota no tienesentido,por que grita mucho,una muneca,por que tiene pelo,mi padre bale mucho por eso lo puse
papa,pelota,hermano,No,las pelotas,que grita mucho,cualquier cosa,por que sonnexos,cual quier cosa puede ser
viento,EL,gato,No,porque una pelota no puede cantar,de que su hermano grita mucho,mi gto,porque tiene pelos,pues es una simple pelota
sol,aluminio,perro,No,se desinfla,por que grita,gato,tiene pelos,es brillante
grito,dinero,gato,Si,por que cuando se desinfla hace como si estuviera cantando,por que no habla en voz baja,perro,por que tiene pelos,dinero
UN FENIX ESPECIAL,la copa dela liga MX,perro,Si,si pero yo soy el que no sabe hacer que rimen,por que grita mucho,cual quier otro animal que tenga pelo,por que tiene pelo,por que la copa de la liga mx es de plata
balon,mi regalo,mi pelota,No,POR QUE LA GENTE NO ES UNA PELOTA,mi hermanito grita mucho,un balon,por que es divertido y causa una emocion feliz,que es una pelota muy cara o con un sentimiento muy grande que es especial
EL MUNDO,EL AGUA,cabeza,No,nooooooo,es gordito y grita mucho,la cabeza de un leon,tienen una melena peluda,que es cara la agua que es muy escasa
papa,la casa,perro,Si,si porque se refiere a la mama,por que el el hermano es u nino pequeno,el gato,por que esta lleno de pelo,que puede llegar a ser la casa
bragon,pepita,gato,Si,por que si,que hay muchos gritos,un perro,por que los perros tiene pelos,es una pepita como una bolita
SOL,LA MONEDA,MASCOTA,Si,JUAN GABRIEL CANTABA,QUE EXAGERA AL HACER BERRINCHE,UN GATO,ESTA PELUDO,ALGO DE PLATA
balon,balon,salon,No,por que no le entiendo xd,nolo se xd,delas cosas intimas xd,nolo se,que bale la pena
ocnitrics,mi mama,una cabeza,No,por que no suena cuerente v;,que llora mucho :V,un trapeador xd,por que paren pelos :v,que vale mucho :3
pelotas,de plata,cabeza,No,por que las pelotas no hablan,que su hermanogita mucho,un puerco spink,por que tiene muchos pikos,una pelota briullante
1s,playta,hermano,No,no entendi,grita,cabeza,no see,es de plata
perro,mi mama,hermana,No,por que notiene nigun sentido,por que es dibertido,mi perro,por que es muy jugeton,mi mama
sol,un balin,gato,No,por q las pelotas no cantan,que cada q lo tocan hace un grito,una bola de estambre,pr que es peluda,por que un balin es como una pelota y es de color plata
pelotas,el pelotas,pelota,No,por que ninguna pelota habla,que su hermanito tiene muchas energias para gritar,una bola de pelos,por que tiene sentido,es una pelota cubierta de plata
balon,balon,gato,No,las pelotas no cantan,que mi hermanito no para de gritar,que una cosa esta llena de pelos,por que es una forma de expresar un pensamiento,yo soy como una pelota de plata en el fut bol
Perro,El dinero,Gato,No,Por que no ahi pelotas que hablen,Que su hermano grita mucho,Los perros,Por que tiran pelo,Que la pelota vale mucho
peligro,esperanza,perro,Si,esta reflejando una accion habitual de su mama,que su hermano es alguien que grita mucho,cualquier otra mascota o si su papa tiene mucho pelo tambien podria ser el,porque el poema refleja la accion de cada persona en una pelota,es algo de mucho valor y tambien bello y pense que lo que mejor queda con eso es la esperanza
joven,el,amigo,Si,por q tube q anadir palabras para q pudieran rrimar,q cuando le pegan el se pone a gritar,un perro,por q esta lleno de pelos,q la pelota es color amarilla
balon,una perla,gato,Si,si porque es una cancion en sentido figurado,porque se la pasa gritando el pensativo ajajjajaj,nose aberiguelo usted,por que no se xdxdxdxdxdxd :v ;),que es una pelota de plata
conbirtio,el es,cabeza,No,no hablan,que grita mucho,un perro,por que tiene mucho pelo,que tiene un temple o una conciensia limpia
Sol,arete,gato,Si,"algun amimal que le encanta hacer demaciado ruido ya sea aullar, ladrar, maullar,etc.",Mi hermano etsa muy gordo y se la pasa gritando.,no quiero ser un pervertido y con todo respeto un ''testiculo'',Como ya lo habia mencionado no quiero ser pervertido pero el testiculo tiene pelos,es metafora como si dijera yo ''el rostro de mi novia''
balon,el balon,dedos,No,porque nada tiene sentido,si porque frita mucho,no,porque nada tiene sentido,si eres rico puedes
PELOTA,ESFEDA,BALON,Si,POR LA RIMA,QUE ENPIEZA A GRITAR,JUGAR A ALGO QUE ME GUSTE,POR MI REPORTE,QUE UNA PLATA
EL BALON,UN FRISVI,CABESA,No,"P?""R QUE NO RIMA",POR QUE CHILLA MUCHO,UNA NARANGA,ES REDONDA,UNA NARANGA APACHURADA
no,no,no,No,no,no,no,no,no
sol,la luna,perro,No,"por que las pelotas son un jugete o aparato de distraccion por lo tanto no tienen vida solo en toy stori, asi que como no tienen vida no pueden cantar",que mi hermano en redondo y grita mucho,mi gato,por que tiene muchos pelos,que como la luna es plateada por eso es una pelota de plata
papa,no dice mentiras,pelota :v,No,no le entendi,porque los hermanos lloran mucho,no lo se,x si,no dice mentiras
papa,la mama,hermana,No,nose,no,nosre,nose,nowse
perro,mi perra,peine,Si,por que puede canatar,puede gritar,un peine,por que si,por que vale plata
senor,el gato,perro,No,es algo sin sentido y no es comun de escuchar,qu su hermano se la pasa gritando osea es un desastroso,un hamster,pues es lo que se me bino ala mente,una moneda
el objeto es una pelota de fuego,sin embargo es una pelota,mi jugete es una pelota de pelos,No,no por que el poema son oraciones que riman,explica que el hermano grita mucho e inquieto,podria ser un aminal o mascota,por que algunas personas le ponen un nombre ala mascota,explica que una pelota de plata es algo valioso o importante
ghhj,cRG31,DFQ3F3,Si,1GF3R,13FG,13RGFQ,R1GF3,1G3F
sol,balon,perro gordo,No,porque mi papa no es gordo,es griton,un puercoespin,porque es peludo,bala de canon
Sol,La luna,Perro,Si,Porque se refiere a su madre que es gorda,Que su hermanito es gordo y grita mucho,Un raton,"Porque tiene pelos, es chiquito ya se parece a una pelota de pelos.",Porque la luna es color plateado
Sol,La luna,Cabeza,Si,Es una metafora,Se refiere a que el hermanito siempre grita,Un perro,Porque tiene muchos pelos,Escogi la luna porque es redonda y brilla como la plata
sol,La luna,gato,No,Porque las pelotas no hablan,por que su hermano solo grita,estambre,por que es una bola de hilos con pelos,la luna porque es redonda y se ve como si fuera una pelota de plata
sol,la luna,perro,No,"porque aunque es una metafora, las pelotas no cantan",que su hermano chico grita mucho o habla mucho,un gato,porque es un animal peludo,"me base en lo que dice del sol, ademas, la luna brilla"
sol,el frio,gato,Si,"es un poema y esta hablando en sentido literario
","que grita, o llora mucho por eso es una pelota de gritos",un perro o algun otro animal,"habla de pelos y los animales son los unicos
",bueno y se una supocision al poner sol y por logica deveria de ser frio.
sol,la luna,cabesa,Si,si por que con la palabra pelota explica lo que son la otra persona para el,que su hermano no se para de quejar a cada rato anda gritando,mi perro,por que esta cubierto de pelos,por que la luna esta de color gris y es redonda
sol,la luna,cabesa,Si,es una expresion que contiene otro sigmificado,que es un nino que grita mucho,mi perro,ellos estan cubiertos de pelos,porque es color gris tirandole a plateado
AMOR,LA MONEDA,PERRO,No,POR QUE LAS PELOTAS NO CANTAN,POR QUE EL GRITA,un gato,por que si,"por que es sentido figurado a algo creo que por una moneda
"
sol,la moneda,cabeza,No,por que las pelotas no cantan,que su hermano puede gritar por que tiene una pelotas de pelos,la cabeza de un gato,por que tiene pelos,que su hermano tiene una pelota de plata
juego de plata,el juego,juego,Si,rima,grita mucho,juegos,esta chido,pelota padre
juego,el juego,hermano,Si,por que te dise de los demas,que es lloron,celos,por que te dan selos de otra bpersona,por que te dise sobre los demas
perro,EL ABUELO,papa,No,por que no tiene sentio,que tiene muchos sentimientos,EL PERRO,POR QUE ESTA DISIENDO LAS COSAS QUE SON PARA TODA LA FAMILIA Y ES PARA EL PERRO,QUE ES ABUELO
perro,la medalla,gato,Si,por que tiene rimas,que grita mucho,la bola de estanbre,por que se siente como pelos,como algo de valor
ejercicio,moneda,casa,No,por que no es logico por que las pelotas solo rebotan y no hacen nada mas que eso entonces no tiene sentido ni tener una pelota o compar una no te sirve,que tu hermano grita mucho y me desespera creo que eso dice la frase de pelota de gritos supongo,pelota de esfuerzo,por que cuando dices esfuerzo es por que te interesas en algo que te guste y te esfuerzas asta conseguir eso lo que quieras sea para mal o para bien,moneda por que en es como una pelota y es redonda y vale y tienes que esforzaste para eso cuando rebotas una pelota tienes que mober las manos entonces para ganar el dinero lo mismo tienes que mover las manos para lograr eso mm es logico verdad me voy lentamente
sol,la luna,papa,Si,por que atravez de poemas puedes encontrar otro sentido,que el siempre grita,el gato,por que tiene pelos,que la luna al brillar parece plata
Papa,Hermana,mascota,No,Las pelotas no cantan :v,por que los hermanitos son muy molestones,el gato depende de la mascota que tengas ;v,pues por que sueltan muchos pelos,pues la hermana en el mayor de los casos es la que pide mas cosas y para cosas se necesita dinero
ocmitrix,la bola,perro,No,por que ninguna pelota canta :v,de que el hermano nada mas se la pasa gritando y eso molesta,"un gato
",por que tiene mucho pelo,pues una perla XD
tio,papa,cuerpo,No,por q no tiene nd de sentido esa frase,que su hermano grita todo el tiempo,tu bello,por que en tu cuerpo tienes pelo por todos lados,que tiene dinero
JUEGO,El balon,bola,Si,porque no se,porque grita mucho,un circulo,porque es redondo,no se
pelota,pelota,pelota,No,no tiene sentido,que es un griton,un animal,pues se llena de pelos,pues que es de plata
yo,mi papa,mi perro,No,no ay pelotas que ablen,que grita mucho,mi gato,es muy peludo,que tiene dinero
sol,tumbador,perro,No,porque no son cantates,por que esta gordo y gita,mi conejo,porque si,la pelota de plata es de plata
balon,bola de boliche,un gato,No,por que no es posible,que es un ruidoso,un gato,por que se esponja,una bola de plata
balon,corazon,cabello,No,por que no rima con las demas,que da mucha lata,los pelos de los gatos,por que tienen muchos pelos,por que vale mucho y muchos no lo aprecian
SOL,LA CUCHARA,CAVESA,Si,POR QUE AL BOTAR LA PELOTA EMITE UN SONIDO,QUE SU HERMANITO GRITA MUCHO,UNA PELUSA,POR QUE TIENE MUCHOS PELOS,ES ALGO PARECIDO A UNA PELOTA DE PLATA
mi ermanito es una pelota de grytos,mi mama es una pelota que canta,Y son tanntas queno puedo contarlas,No,por que no canta,por que gryta mucho mi ermanito,bolas de pelos,por que esta redonda,por que es una pelota de plata
sol,la luna,cabeza,No,una pelota no puede cantar,por que mi hermanito grita mucho,no se,no se me ocurre otra cosa,por que la luna tiene un color plateado o gris
sol,el anillo,cabeza,Si,Por que se refiere a una persona que canta,Que su hermano grita mucho,una cabeza,por que tiene pelos,el anillo es redondo
caliente,brillante,cabeza,No,porque no le encuentro sentido,que es fastidioso,una cabeza,por los pelos,que es de alto valor
papa,nana,hermano,No,no se entine la palabra o se relaciona,una pelota mu enojada,una pelota que esta llena de problemas,por que a si suena simbolicamente,una pelota de un metal precioso
perro,mi papa,mama,No,Mo le entendi nada,no see,no seee,nose,no seee
los aros de fuejo,el balon,mi cabesa,No,no tiene sentido,que es muy platicon,la cabeza,por que tienes pelos,no se
vecino,mi hermana,perro,No,una pelota no habla,que es muy berrinchudo,mi hermano,tiene pelos en los brasos,que tiene un significado para ti
hermanito,mi mama,perro,No,por q no tiene sentido en nada,mi hermanito es un nino de gritos,un perro,por q es peludo y grita,mi mama es muy baliosa
tio,mi perro,cabesa,Si,pz xk k canta bonito,xk su hermano simpre grita,una pelota de tenis,xk esas pelotas tienencomo pelusita,es unA PELOTA DE PLATA MUY BONITA
ave fenix,angel,gato,No,por que las pelotas no cantan,"que su hermano es muy gordo y grita mucho







































































































































































































































































































































































































































































































































































































































































































",muchos pelos enrrollados,por que si,una pelota de plata
el objeto,un jugete,cabello,No,por que las pelotas no hablan,mi hermano es muy griton,un perrito,tienen muco pelo encima,una pelota muy pesada
sol,la luna,cabeza,No,porque las pelotas no cantan,que es alguien muy griton,un perro pequeno,porque eso entiendo yo,podria dar una referencia a la luna
humano,papa,hermana,No,no te dise datos mas concretos,el hermano es muy inquieto,una pelota fantastica,tiene cualidades impresionantes,sentido de oro
sol,la luna,perro,No,no le encuentro sentido ala frase,porque los ninos son muy escandalosos,un animal,porque los animales tiene pelos,pues la luna brilla como plata
tempano de la fria soledad,"mientras recorren mis labios sombrios la pronunciacion de poesia,mi mente alma y cuerpo dicen que",cosita es algo grande y,Si,"la poesia va en modo metaforico donde relata una historia , un mensaje o una forma de ver algo",la forma de expresar a un ser por medio de palabras metaforicas,una pelota de fotball,"por que si,y por que asi es la vida",es una relevancia un tanto romantica al expresar que es la un objeto preciado para mi
sol,dinero,mascota,No,por que una pelota no puede cantar,que su hermano es una persona que grita mucho,una bola de pelos de gatos,por que los gatos escupen bolas de pelos,una pelota muy costosa
GATO,PABLITO,AMIGO,No,POR QUE NO TIENE CONSIDENCIA NI FRACE QUE COMBINE,POR QUE GRITA MUCHO Y SALTA MUCHO,EL PERRO O CABALLO,POR QUE TIENEN PELOS,POR QUE ES UNA PELOTA DE PLATA Y NO REBOTA
Sol,Luna,Papa,No,"por que las pelotas no cantan, puesto que no es un ser vivo o tal vez no tenga algo anadido que pueda realizar el canto.",tal vez por que es algo griton y molesto,tal vez sea un animal con pelos o simplemente una pelota peluda,por que no le ayo sentido a otra cosa,tal vez sea por su color
amor,la moneda,perro,No,por que el grita,significa que reclama o llora mucho,un perro,es muy belludo,por que una moneda tiene forma de circulo y estan hechos de plata
Abuelo,Abuela,Papa,Si,"porque dice que la mama es una pelota que canta, eso significa que a su mama le gusta cantar. La palabra pelota sustituye a un verbo que puede ser gustar por eso ""MAMA ES UNA PELOTA QUE CANTA""",Que el hermanito grite mucho,Mi tio,Porque para mi el pelo que tiene la pelota es como lo corajudo que es mi tio y por sus corajes se ha convertido en una pelota de pelos,Que esa persona es muy valiosa por eso es la pelota de plata :v
EL WEVO,MI GATA,MI PERRO,No,PORQUE SOLO ES PARA GNTE DE MENTE ABIERTA,QUE SE UNDE EN EL LLANTO,MIS CELOS POR ESA MORRITA,POR QUE,MIS GATA ES PLATEADA
omnitrix,el,amiguito,No,porque por mas que intento comprender el poema no logro averiguar que frase va en el parrafo,que su hermano grita mucho todo el tiempo,un peluche,porque por lo regular los peluches son peludos,bueno puse que el es una pelota de plata porque fue lo mas coherente que se me ocurrio poner
papa,Hermana,Mascota,No,las pelotas no cantan,que su hermanito grita mucho,cualquier el animal,sueltan pelos,por que es dura de liviar
el sol,tumbador,perro,Si,cundo se desinflan,poequ es bien griton,un gato,porque esta bien peludo,que esta echa de plata
sol,yo mero,mi gato,Si,por que si,por que siempre grita,mi perro,por que tiene muchos pelos,que soy muy brillante
METAL,tus hojos,peluche,Si,nomas,por que grita mucho,una arana,por que tienen pelo en todo el cuerpo,tus hojos son una pelota de plata
mi hermana es una pelota de fuego,mi hermano es una pelota de plnta,mi perro es una pelota de pelos,No,no canta,por que llora mucho,mi jamster,por que esta llena de pelos,las plantas son pelotas
BALON,MONEDA,CABEZA,No,POR QUE NO RIMA,ES UN NI?'O QUE SE LA PASA GRITANDO Y LLORANDO TODO EL DIA,LAS CABEZAS,POR QUE LAS CABEZAS PARECEN PELOTAS Y TIENEN PELO,PUEDE SER UNA MONEDA POR QUE EXISTEN MONEDAS DE PLATA
SOL,LA MONEDA,MASCOTA,No,POR QUE MILLONARIO CANTA,POR QUE CHILLAN MUCHO O GRITAN MUCHO EXAGERAN,UN GATO,POR LOS PELOS QUE TIENE PARECE QUE ESTA ESPONJADO,POR QUE ES ALGO DE PLATA COMO UNA MONEDA
pan8n,mi mama,mama,No,no sele entendio nada,que su mama es una persona muy gritona,una cabesa,tiene pelos,que es muy valiosa
balon,no se,brother,No,"
no se",q no entisende,pelota de pelos,no se,"por q si brother 

"
sol,moneda,hamster,No,por una pelota no canta,por que se la pasa gritando,una bola de estambre,por que el hilo puede pare ser una bola de pelos,por que la moneda esta echa de plata y tiene una forma redonda
estufado,el banco,perra,Si,porque le entiendo y cuenta como una historia,Porque grita mucho,Un gato si esta gordo,porque esta tan gordo que parece una pelota de pelos.,porque es un mundo de dienro
M,mi amiga,perro,Si,los ruidos que hace una pelota,su hermano es un nino que grita mucho,alguna persona u objeto con muchos pelos,por que es como lo interpreto,esa persona mencionada es muy valiosa
bujo en su escoba,la bomba,perrito,No,por que las pelotas no cantan,que es muy ruidoso,un jamster,por que es peludo,es que es lo unco que se me vino a la mente la verdad es algo raro esto pero bueno adios..... :3
carlos,Mayte,Liliana,No,"Las pelotas solo son cosas no seres vivos xdxd
",Es una maquina o bien alguien que grita demasiado,"Una simple pelota con pelos , o un nombre de apodo a un ser vivo",Pues es solo una cosa,"Una cosa grande y apreciada
"
edrsdygu,poiitghdft,pojhgfhddgft,No,nommmmmmeinpooooooooooorrrrrpa,pirhhhhgvfriufueiituj,pojdtyubvouolkyfb,poeeeeeeeeeeeeeeerahiyfnom,opjfyunerton
tio,mi papa,perro,No,por que no canta,por que llora o le hacen algo,pelota con pelitos,"por que rebota
",vale mucho por que es de plta
senor,mi papa,mi perro,No,por que no es posible que una pelota hable,puen que su hermana grita mucho,mi primo,es una pelota de oro,mi papa por que es de plata
mi ermanito,mi mama,mi cabesa,No,q ti,nose,no se,no se,sa bra
como yo,el,mascota,Si,"por que es pelota
",and fort,yus tu and mafetfort,yes,nou
bebe,mi papa,hermano,No,los pelos no cantan,que grita mucho,mi hermano es de pelos,es chido,da dinero o es de la suerte
Sol,La Luna,perro,No,Suena extrano,Porque grita mucho,Un gato,Tiene muchos pelos,La Luna es una pelota de plata (porque brilla)
meteorito,mi cartera,perro,No,no le entiendo,mi hermano grita mucho,mi perro,tiene mucho pelo,muchas monedas
metiorito,la luna,cabeza,No,las pelotas no cantan,que grita demasiado,perro,es redondo con muchos pelos,es redonda y plateada
sol,luna,perro,No,porque las pelotas no cantan,que su hermanito siempre esta gritando y hace mucho ruido,un gato,porque estan llenos de pelos y sueltan muchos pelos,porque la luna tiene un tono plateado y es lo contrario al sol
sol,La luna,Perro,No,"porque le da a una objeto inmovil e inerte una aptitud de un ser vivo, de manera objetiva, las pelotas no cantan",Que su hermano es una persona muy ruidosa,Una mascota de casa; perro o gato,"Porque con pelota se refiere a una persona o cosa, y el adjetivo que sigue se usa para describir a la pelota, es decir la persona o cosa. En los otros versos menciona a una mama, un hermano, refiriendose a cosas a su alrededor o en su vida, entonces la pelota de pelos es algo con lo que convive constantemente, lo que puede ser una mascota, siendo probablemente el unico ser vivo con muchos pelos a su alrededor","La luna es contrario del sol y tendria sentido mencionar ambos en el poema, tambien el color de la luna es parecido al de la plata"
sol,la luna,pelo,No,las pelotas no cantan,siempre grita,gato,los gatos tienen mucho pelo,la luna parece plata
nino,ella,perro,No,Porque una pelota no tiene vida por lo tanto es imposible que cante,Quiere decir que todo el tiempo esta gritando sin parar,Un gato acurrucado,Porque son peludos y cuando se duermes se ve como una bola de pelos,Que es alguien que vale mucho o alguien que es pesado
Sol,La Luna,Gato,Si,Porque antes dice que la pelota es su mama,"Que su hermanito es muy griton, que su hermanita esta muy loco",Un perro,Porque es pequeno y tiene pelo,"Pues la Luna tiene forma de pelota, y su color es parecido a la plata."
mundo,marzo,pelota,No,porque no,que grita mucho,perro,porque tiene mucho pelo y luego se hacen como bolitas,pues que es de plata
Sol,La Luna,perro,No,Porque las pelotas no son seres vivos y no cantan.,Quiere decir que su hermano grita mucho.,Un perro.,Porque se refiera a distintas personas y cosas con lo de pelota.,"Es una Luna, debido a que los colores son parecidos a la plata y es lo contrario al sol, que fue mi respuesta en pelota de fuego."
sol,La bala,amigo,No,no poruq no pueden cantar,que grita,mi perro,poruque tiene pelos,que es de plata
sol,la luna,perro,No,porque las pelotas no cantan,que mi hermano tiene mucha energia,un gato,porque tienen muchos pelos algunos,es la luna porque su color es brillante y puede tener una forma de pelota
sol,la luna,cabeza,No,porque una pelota no canta,que es muy pequeno y grita,no se,no se,porque la luna es asi
meteorito,mi abuela,perro,No,Porque la pelota es un objeto,que es pequeno y que grita mucho,un hamster,porque son gorditos que parecen una pelota,porque tiene cabello de plata
sol,aluminio,gato,No,porque las pelotas no cantan,que es muy gritona,conejo,porque sueltan mucha pelusa,porque el aluminio tiene un tono plateado y brilla con el sol
sol,la luna,perro,Si,porque al rebotar una pelota produce un sonido,no para de gritar,un llavero,porque se ven chulos,es una metafora del color
sol,moneda,perro,Si,que su mama canta,"que grita 
",una persona,"porque tiene pelos 
","que como es plata parece moneda o suena como una moneda
"
abuelo,El,mama,Si,porque una peluta puede ser decorada por una bocina,que mi hermano grita mucho,mi perro,porque tiene muchos pelos y es gordo,pelota de plata
SOL,LA LUNA,MASCOTA,No,POR QUE COMO QUE LAS PELOTAS CANTAN NO ES POSIBLE,PUES QUE AL PARECER SU HERMANO GRITA MUCHO PERO NO ENTIENDE LA MET?ÅFORA DE PELOTA,LO QUE DEJA EL GATO CUANDO SE CHUPA MUCHO,POR QUE ES LA REALIDAD NO HAY FORMA DE QUE SEA OTRA COSA,ES LA LUNA POR QUE AS?ç LA LLAMAN
sol,mi abuela,perro,No,porque ??Que tiene que ver pelotas con su familia?,Que su hermano grita mucho.,un gato.,porque tiene pelo.,porque los abuelos tienen canas y son como plata.
sol,mama,papa,No,porque no se entiede,se refiere a que es una persona que grita,alguien que es buena onda,ya que es una persona que cae bien,de buena suerte
sol,luna,gato,No,porque no tiene relacion una pelota cantante con una figura materna,que su hermano hace mucho escandalo,un hamster,"porque es una bola, y tiene pelos",porque la luna brilla como la plata y es precisamente una pelota
sol,la luna,perro,Si,probablemente la pelota se refiere a la persona,que hecha mucho relajo,un perro,por que un perrito parece una bola de pelos,cuando la luna sale parece reflejar como si fuera plata
sol,luna,gato,Si,Porque antes dice que la pelota es su mama,Porque su esta loco,Un perro,Por que tienen pelos,Por que la luna es blanca y la plata tambien
cerillo,anillo,gato,No,porque es un objeto no hablA,que grita demasiado,un perro,porque tiene demadiado pelo,pelota de hierro
patio,papa,perro,No,por que las pelotas no hablan,es que su hermano es muy imperactivo,un perro,por que los perros son muy peludos,de que vale mucho
miedo,no,vida,Si,Porque esta hablando de sentido figurado y de la vida y de la familia,Que el hermano se la pasa gritando,un problema grande y confuso,"Porque es sentido figurado, asi es como habla el poema","Que es de menor valor que la de fuego, menos importancia quizas"
amigo,ella,perro,No,una pelota no canta,que hace mucho escandalo,un perro,andan de un lado a otro y son peludos,ella te alumbra
siempre,el,hermana,Si,es una persona alegre,que es muy alborotado,una de tenis,tiene pelos,es valioso
sol,la luna,cabeza,No,no se refiere a nada,que siempre se la pasa gritando,se podria referir a un animal en forma de metafora,asi son las metaforas,porque la luna es blanca y parece plata
Balon,Un amigo,Gato,No,Porque Ella no puede hablar,Que es gordito y grita mucho,Un perro,Porque tiene pelos,Porque es muy valioso
SOL,UNA BALA,MASCOTA,No,SIMPLEMENTE NO,QUE SIEMPRE GRITA,UN PELUCHE PELUDO,POR QUE TIENE PELOS,UNA BALA DE PLATA
sol,la luna,perro,Si,talvez la pelota esta representando a una persona,mi hermanito es gordito y es griton,un gato,porque algunos gatos son peludos,se refiere a la luna
nino,jarra,gato,Si,porque la persona puede cantar,que grita,gato,porque puede ser un animal con pelos,una jarra que es como una pelota
amor,y la fortuna,razon,No,No le veo el sentido.,Que su hermano siempre esta gritando.,Un mechon de pelo.,Por que un mechon de pelo es una pelota de pelos.,La fortuna.
chico,y de,gato,Si,tal ves hace ruido,que no para de gritar,un perro,porque tiene pelos,pelota de dinero
meteorito,ella,perro,Si,"cuando dice pelotas, se refiere a seres",que su hermano grita mucho y no sale de su circulo,algun otro animal,se refiere a un ser peludo,ella tiene una mirada de plata
balon,el balon,cabeza,No,porque las pelotas no cantan,un humano gordo que no para de chillar,una pelota de tenis,pues tienen pelos,no se
Sol,La luna,gato,No,por que puede ser no literalmente,Que grita mucho,otro animal peludo,por que tienen pelos,por que dicen que la luna es de plata
Sol,La luna,gato,No,por que puede ser no literalmente,Que grita mucho,otro animal peludo,por que tienen pelos,por que dicen que la luna es de plata
amigo,mi otro amigo,perros,No,porque las pelotas no cantan,que su hermano se la pasa gritando,un gato,por que tiene mucho pelo,que es importante
SOL,UNA PELOTA DE PLATA,MASCOTA,No,por que no tiene sentido,"que grita mucho, que da mucha lata",lo que sale despues de limpiar el piso,por que entre mugre y pelos pues se hace eso :v,una pelota de plata
sol,luna,perro,Si,porque una pelota puede ser cualquier cosa,mi hermano grita,un gato,porque tiene pelo,porque desde lejos es como de plata
balon,El,gato,Si,porque esta bien escrita y puede ser ficcion,quiere decir que su hermano grita mucho,un perro,porque tiene muchos pelos,Creo que es una pelota color plata
