"","word","n"
"93","la cabeza de un perro",1
"94","la cabeza de un perro.",1
"95","la cabeza o un nudo en la cabeza.",1
"96","la cabeza tal vez",1
"97","la cabeza u otro animal",1
"98","la cabeza xd",1
"99","la cola del conejo",1
"100","la de el gato",1
"101","la rabo de conejo",1
"102","la ropa",1
"103","las cabezas",1
"104","la vida",1
"105","la vulva",1
"106","lo que deja el gato cuando se chupa mucho",1
"107","lo que sale despues de limpiar el piso",1
"108","los celos",1
"109","los pelos de los gatos",1
"110","los pelos que a los perros se le caen",1
"111","los perros",1
"112","mi abuelo",1
"113","mi amistad",1
"114","mi cabello enredado",1
"115","mi cabello,unglobo o un liston",1
"116","mi cabeza o la de alguien mas",1
"117","mi cepillo",1
"118","mi conejo",1
"119","mi gto",1
"120","mi hermana :v",1
"121","mi hermano es de pelos",1
"122","mi jamster",1
"123","mi mama",1
"124","mi primo",1
"125","mis celos por esa morrita",1
"126","mi sepillo para peinar",1
"127","mis pies",1
"128","mi tio",1
"129","muchos pelos enrrollados",1
"130","nada",1
"131","nido de pajaros",1
"132","no quiero ser un pervertido y con todo respeto un ''testiculo''",1
"133","nose aberiguelo usted",1
"134","no seee",1
"135","no se solo se me ocurre estambre",1
"136","nosre",1
"137","objetos que tienen pelos a su al rededor",1
"138","otra mascota.",1
"139","pelota con pelitos",1
"140","pelota de esfuerzo",1
"141","pelota de pelos",1
"142","pelota de tenis",1
"143","perro.",1
"144","podria ser la cabeza.",1
"145","podria ser otro animal como un hamster.",1
"146","podria ser que cunado un gato esta como dormido pero echo bolita",1
"147","podria ser un aminal o mascota",1
"148","podria ser un balon con muchos pelos",1
"149","pojdtyubvouolkyfb",1
"150","pompones",1
"151","por el pelo , pelo muy largo",1
"152","primera podia ser un gato",1
"153","pues como un animal peludo",1
"154","pues podria ser su cabeza",1
"155","pues yo digo que sera como mi entiligensia",1
"156","que el mismo trata de explicar sobre el tipo de pelota que el tiene y de echo es la pelota mas especial",1
"157","que es una persona que tiene mucha cabellera",1
"158","que una cosa esta llena de pelos",1
"159","quizas a una mascota que tengan",1
"160","quiza una arana",1
"161","qwe",1
"162","raton",1
"163","se podria referir a un animal en forma de metafora",1
"164","si",1
"165","su ermanito",1
"166","su gasto o perro. tambien puede decir que su cabeza es una pelota de pelos",1
"167","su hermana",1
"168","tal vez sea un animal con pelos o simplemente una pelota peluda",1
"169","tener descontrol en tu vida",1
"170","tener mucho pelo",1
"171","testiculos",1
"172","tu bello",1
"173","tu maestro",1
"174","tu perro",1
"175","una alfombra, o animal chichito.",1
"176","una arana",1
"177","una bola de cabellos de la mama yo que se",1
"178","una bola de estabre",1
"179","una bola de pelos de gato",1
"180","una bola de pelos de gatos",1
"181","una bola de pelos literalmente, un perro, o cualquier animal",1
"182","una bola verde",1
"183","una cabesa",1
"184","una cabeza muy grenuda",1
"185","una cabeza, un cepillo, algo redondo con pelos, alambre o algo q sobre salga con textura a pelos :v",1
"186","una cosa peluda alv",1
"187","una de tenis",1
"188","una enorme bola de chicles xd",1
"189","una especie marina",1
"190","una marrana de pelos",1
"191","una mascota.",1
"192","una mascota como un perro",1
"193","una mascota de casa; perro o gato",1
"194","una mascota o hasta la propia cabeza del poeta",1
"195","una mascota o un peluche",1
"196","una muneca",1
"197","una naranga",1
"198","un animal.",1
"199","un animal como puercoespin",1
"200","un animal como un gato o un perro",1
"201","un animal con muchos pelos o un peluche",1
"202","un animal con pelo que se duermen como una pelota",1
"203","un animal o mascota.",1
"204","un animal que a lo mejor tengan un animal",1
"205","un animal que tenga pelos o un juguete que tenga pelos",1
"206","una pelota chida",1
"207","una pelota de amor",1
"208","una pelota de cabello",1
"209","una pelota de fotball",1
"210","una pelota desinflada o tambien podria ser algo divertido",1
"211","una pelota diferente",1
"212","una pelota fantastica",1
"213","una pelota llena de pelos",1
"214","una pelota que esta llena de problemas",1
"215","una pelota que tenga pelos",1
"216","una pelta ue la isieron de muchsnpelos",1
"217","una pelusa",1
"218","una persona",1
"219","una persona peluda",1
"220","una persona que dice muchas cosas, muchas mentiras podria ser?",1
"221","una silla o un sofa",1
"222","una simple pelota con pelos , o un nombre de apodo a un ser vivo",1
"223","un balon",1
"224","un bola de cabello",1
"225","un cachorro o un hamster",1
"226","un circulo",1
"227","un coco sus ramas pequenas hacen que parezcan cabellos",1
"228","un cojin.",1
"229","un conejo",1
"230","un dulce",1
"231","un estambre",1
"232","un gato acurrucado",1
"233","un gato, algun animal peludo o tal vez su papa.",1
"234","un gato etc",1
"235","un gato muy gordo",1
"236","un gato muy gordo como garfield",1
"237","un gato o los pelos de la cabeza",1
"238","un gato o perro",1
"239","un gato o una bola de pelos",1
"240","un gato o un mapache",1
"241","un gato o un oso o un animal peludo",1
"242","un gato o un perro",1
"243","un gato porque se parece mucho al perro",1
"244","un gato si esta gordo",1
"245","un gato , un hamster etc",1
"246","un globo",1
"247","un gusano peludo gordo",1
"248","un hamster (algun animal)",1
"249","un hombre con barba larga",1
"250","un insecto o cosa",1
"251","un jamster",1
"252","un jugete quita estres",1
"253","un juguete",1
"254","un juguete para estres",1
"255","un kiwi",1
"256","un leon",1
"257","un llavero",1
"258","un mapache",1
"259","un mechon de pelo.",1
"260","un nepe",1
"261","un nido",1
"262","un nudo de pelos",1
"263","un o alguien que es un desastre total",1
"264","un oso",1
"265","un peine",1
"266","un pelota hecha de pelos",1
"267","un peluche peludo",1
"268","un pero gordo",1
"269","un perro o algun otro animal",1
"270","un perro o gato",1
"271","un perro o gato.",1
"272","un perro o gato gordo",1
"273","un perro, o, un conejo",1
"274","un perro o un gato",1
"275","un perro o un jardin.",1
"276","un perro pequeno",1
"277","un perro, una axila, todo el cuerpo humano",1
"278","un perro, un peluche o otra cosa.",1
"279","un pompon",1
"280","un ??ponpon",1
"281","un problema grande y confuso",1
"282","un puercoespin",1
"283","un puerco spink",1
"284","un raton",1
"285","un trapeador xd",1
"286","yus tu and mafetfort",1
