ta1,ta2,ta3,ta4,ta5,ta6,ta7
Sol,Luna,gato,"Si, porque compara a su familia",mi hermano grita mucho,Un perro porque tiene mucho pelo,"Yo le puse luna, porque tiene un color muy bonito como la plata"
Balon,Pelota,pelota,"No, porque las pelotas no hablan",que su hermano es gordito como una pelota y que su hermano grita mucho,Una pelota que se le pegaron pelos del piso *,Para el su pelota vale mucho como la plata
Sol,Luna,Perro,"Si, todo rima",que su hermanito grita mucho,gato porque son peludos,La luna
Sol,Luna,perrita,"Si, porque indica que a la mama le gusta cantar",que su hermanito grita mucho,Oso de peluche porque tiene mucho pelo,Que la luna es de ese color
Sol,Luna,Hermana,"No, porque no lo entiendo",que el grita mucho,Una mascota,Que Brilla mucho
sol,Luna,Cabeza,"No, porque las pelotas no hablan",Es que su hermanito es igual a una pelota que grita mucho,Un kiwi porque los kiwis son un poco redondos y tienen pelito por afuera,Luna porque la luna es redonda y puede ser una pelota y plata porque puede ser blanca o plata
pelota de fuego,Pelota plata,Pelota pelos,"Si, porque es fuego, plata y pelos..rima como pelota","porque grita mucho, pero te agrega pelota",Un coco porque es redondo y tiene pelos,Una pelota de plata namas rima
asador,Planta,perro,"SI, porque suena a pelota",que su hermano grita mucho *,Un pajaro,Que la hoja es de plata
Oso,Como,papa,"Si, porque rima con el poema",que grita mucho,Una cabeza,Una planta es una pelota
no contesto,??l,Papa,"No, porque las pelotas no hablan",Que su hermano llora mucho *,Su papa porque los hombres tienen pelos en las piernas y el pecho,Porque es muy fuerte
Fuego,Plata,Cabeza,"Si, porque la mama puede cantar",Que su hermano grita mucho *,Una cabeza porque tiene pelos,La Plata puede ser una pelota pero de plata
no contesto,Sarten,perro,"Si, porque la persona es una pelota que canta mucho",mi hermano grita mucho *,Mi cabello porque esta hecho de pelos,Porque mi sarten esta hecho de plata
Abuelo,Abuela,perro,"No, porque las pelotas no cantan",que su hermano grita mucho *,gato porque es peludo*,Que es algo importante
Sol,Luna,cabello,"Si, porque se refiere a alguien que canta",que su hermano grita mucho *,Pasto porque le sale mucho pasto y parece,Luna porque es plateada
Globo,globo,papa,"No, porque las pelotas no hablan*",? Qu tu hermano grita mucho*,Mi hermanita porque se enoja mucho,El Globo es una pelota de plata
Vecino,Mena,perro,"No,porque no cantan",mi hermano grita mucho,Un perro esta cubierto de pelos,Muy valioso
papa,Nino,abuela,"no, porque no tiene sentido",que grita mucho*,el cabello,el nino
senor,Tio,papa,"No, porque las pelotas no cantan",que grita mucho*,Una pelota que tiene pelitos porque tiene pelitos por todas partes,que tiene una pelota de metal de plata
Senor,el anillo,perro,"No, porque las pelotas no cantan*",que su hermano grita mucho *,"Un gato, porque tiene pelos*",Un anillo porque son redondos como pelotas y algunos son de plata
coche,bandeja,papa,"No, porque las pelotas no hablan*",Que su hermano llora mucho *,"perro, porque tienen mucho pelo*",bandeja puede ser de plata
naranja,el metal,perro,"Si, porque la persona es una pelota que canta",que su hermano grita mucho *,"leon, porque tienen mucho pelo*",pues yo puse que el metal es plata
sol,luna,Cabeza,"No, porque las pelotas no cantan*",mi hermano grita mucho,pelota con hilos,Luna porque es redonda y es de plata
volcan,papa,perro,"No, porque las pelotas no hablan*",mi hermano grita mucho,"gato, es peludo",Muy valioso
sol,luna,perro,"Si, porque a su mama le gusta cantar",mi hermano grita mucho,"papa, tiene pelo en brazos y barba",Luna porque es redonda y es de plata
nino,papa,Hermano,"No, porque las pelotas no cantan*",mi hermano grita mucho,mi hermano porque tiene el pelo largo,mi papa
balon,esfera,perro,"No, porque las pelotas no cantan*",mi hermano grita mucho,"oso, es peludo","esfera, es redonda y de plata"
sol,luna,perro,"si, es una persona que canta",mi hermano grita mucho,"peluche, porque es peludo","Luna, porque es redonda y tiene color de plata"
sol,luna,papa,"si, es una persona que canta",mi hermano grita mucho,"papa, porque se peina para arriba",Luna es de ese color
vecino,papa,gato,"si, es una persona que canta",mi hermano grita mucho,"animales, son peludos",es fuerte
Jaguar,amigo,tio,"No, porque las pelotas no cantan*",mi hermano grita mucho,"mi abuelita, es muy activa",donde estan las plantas
nino,el,papa,"si, es una persona que canta",mi hermano grita mucho,"mi hermana, siempre se enoja",Muy valioso
Balon,Moneda,Cabeza,"si,porque la mama canta",mi hermano grita mucho,cabeza,moneda circular y plateada
Sol,Luna,Cabeza,"No, porque las pelotas no cantan*",mi hermano grita mucho,no se,Una moneda o joyas porque son de plata
Sol,Luna,Cabeza,"No, porque no suena logico",mi hermano grita mucho,Gatos sueltan pelos,Una moneda o joyas porque son de plata
Meteorito,papa,perro,"Si, porque puedes jugar con ella",mi hermano grita mucho,"gato, es peludo",consigue dinero para su familia
Nino,arbol,papa,"No, no tiene sentido",mi hermano grita mucho,"papa, tiene pelo en brazos y barba","arbol porque el podia hacerse de plata, hojas de plata, tallos de plata"
sol,Luna,coco,no entiendo,mi hermano grita mucho,Cabeza de un perro,Luna parece de plata
no entiendo,Pelota plata,perro,"No, porque las pelotas no cantan*",mi hermano grita mucho,Un lobo porque tiene pelos,una pelota de plata
Sol,Luna,Cabeza,"Si, puede imaginar una pelota que canta",mi hermano grita mucho,Los gatos o perros tienen pelos,Luna aveces es obscura y plata tambien
sol,Luna,coco,"No, porque las pelotas no cantan*",mi hermano grita mucho,gato perro leon,una pelota de plata
Sol,Luna,Cabeza,No porque las pelotas no cantan*,mi hermano grita mucho,gato porque es peludo,una pelota de plata es la luna
sol,luna,Pelota de pelos,"si, todos cantan",mi hermano grita mucho,Cabello tiene pelos,Luna como plata
sol,Luna,cabeza,"No, porque no es redonda",mi hermano grita mucho,coco tiene pelos,porque es redonda y brillante
sol,Luna,Cabeza,"No, porque las pelotas no cantan*",no entendi,la parte de arriba de un arbol,Luna es redonda color plata
Coco,naranja,sacate,no entiendo,mi hermano grita mucho,coco tiene pelos,no se
Sol,Luna,Pelota de pelos,"si, porque terminan con ta",mi hermano grita mucho,Cabello en tu cabeza,Se refiere a una pelota de plata
sol,el,hermanito,"Si, porque a su mama le gusta cantar",mi hermano grita mucho,nada,Yo digo explosion
senor,mama,papa,"Si,porque tiene sentido",mi hermano tiene una pelota de gritos,juntando muchos pelos y hacerlos bolas,Que compren oro y lo hacen
no contesto,no contesto,pelusa,"No, porque las pelotas no hablan*",mi hermano grita mucho,no se me ocurre nada,no contesto
Balon,muy,balon,"Si,porque tiene sentido",mi hermano grita mucho,una pelota pinpojos,una pelota
Hermanito,sol,Pelota de pelos,"No, porque las pelotas no cantan*",mi hermanito tiene una pelota de gritos,Pulsera puede ser algo de pelos,Mi pelota de planta es una normal
Pelota,gran jaguar,hermano,"si,tienen sentido",Es una presion,alguien que es bueno,algo que te dan ganas de decirlo
nino,no contesto,mama,"si,porque rebota",la pelota tiene gritos,porque no tiene pelos,de donde puede tener mas de todos
sol,la,mama,"No, porque las pelotas no cantan*",mi hermano grita mucho,cuando se llenan de pelos,pelota de plata
Cuando se enojan,cuando estan feliz,Hermana,"No,porque no existen",mi hermano grita mucho,Una pelota de pelos porque se parecen,Es cuando estas feliz
Enojo,Pelota plata,Pelota de pelos,"Si, porque rima",mi hermano grita mucho,estrella brilla,porque esta hablando de pelotas
sol,aire,corazon,"No, porque no tiene sentido",que su hermana es una pelota de gritos,mi corazon,es una pelota de plata
Abuelo,abuela,papa,"Si, porque es un poema",que su hermano grita mucho*,mi primo porque puede ser tambien su primo,La abuela es una pelota de plata
Hombre,tambien,perro,"No, porque las pelotas no cantan*",que su hermano grita mucho,perro porque tiene pelos*,es que no hay pelotas de plata
abuelo,abuela,papa,"No, porque las pelotas no cantan*",que su hermano es una pelota y que grita,perro porque tiene mucho pelo*,que la pelota fue creada por plata
bombero,minero,perro,"No, porque las pelotas no cantan*",que grita mucho,gato porque tiene muchos pelos,el minero
Sol,la luna,gato,"Si,porque rima",porque grita cada rato,Los gatos hacen pelotas de pelos cuando se lamben,la luna es color plata y hermosa
pelota,tomate,Cabeza,"No, porque las pelotas no cantan*",que grita mucho,la mascota,Un fruto redondo
sol,La luna,perro,"Si, porque dice que su mama es una pelota que canta, o sea que es muy alegre y feliz",que su hermano grita mucho,perro porque esta cubierto de pelos,Porque la luna es de ese color*
sol,Luna,coco,"No, porque las pelotas no cantan*",que su hermano grita o llora mucho*,La cabeza porque tiene cabellos,Yo puse la luna porque en las noches se ve tan bonita y plateada
Meteorito,mama,cabello,"No, porque las pelotas no cantan*",qu su hermano grita mucho*,los gatos porque tienen mucho pelo,No se
juguete,La Luna,perro,"Si, porque rima y ademas es un poema",fer rovin,por ejemplo mi perro es una pelota de pelos,mi pelota tiene una planta
brujo,la calceta,perro,"No, porque las pelotas no cantan*",que grita,el pelo porque se cae y podria hacer una pelota de pelos,una pelota que es de plata
cuando se enoja,El es como una,karen,"No, porque las pelotas no cantan*",que es gritona,que tiene muchos pelos,Que el se cree como si fuera rico
carbon,balon,cabello,"Si, porque su mama canta",que su hermano grita mucho,una bola de pelos porque es como una bola de pelos de tu gato o cuando se te cae el cabello y formas una bolita con el,yo me imagino que un balon puede ser de plata o lo fabricaron de plata
foco,Mi corazon,Cabeza,"No, porque ninguna pelota habla, menos que canta",que su hermano grita,"pasto, porque tiene mucha hierba que parece pelo",porque el corazon puede ser invencible como la plata
sol,la Luna,perro,"si, tiene significado, creo que habla de la garganta o el chillido de una pelota",que grita mucho*,La cabeza porque tiene mucho cabello,algo fresco
nino,juan,maestra,"No, porque las pelotas no cantan*",que su hermano es una pelota y grita para que lo ayuden,una persona y animal. porque seria divertido,que un amigo puede ser pelota de plata.
Sol,Luna,gato,"Si, porque a su mama le gusta cantar*",que grita mucho*,gato porque es peludo*,la luna
Sol,Luna,perro,"Si, significa que su mama canta",el nino siempre esta gritando,gato porque es peludo*,es algo que brilla y parece de plata
circulo,medallita,cabello,"No, las pelotas no tienen boca",que esta gordito y grita mucho,perro porque es peludo*,una medallita de circulo
Sol,mi hermana,perro,"No, porque las pelotas no cantan*",que el hermanito grita todo el dia* ,"mono, porque es peludo*",que su hermana se cree mucho que hasta parece plata
abuelo,papa,gato,"si, te demuestra que caracteres tiene tu familia",que su hermano grita mucho,perro porque tiene mucho pelo,que alguien de tu familia es de plata
Sol,dorado,gato,"si, porque tiene sentido entre la pelota y lo demas","es decir, que grita el hermanitp y la pelota",gato porque es de pelos,"es dorado, porque es como un color"
Sol,Luna,perro,"No, porque las pelotas no cantan*",que su hermano grita mucho*,no se,como una pelota plateada pintada
Sol,familia,perro,"Si, mi mama canta",mi hermano grita mucho*,gato porque tiene pelos*,porque es algo que vale como plata para mi
Sol,La nieve,perro,"si, porque todas las personas las conocen por su redondez",porque es gordito y grita mucho*,La bola de estambre porque tiene muchos pelos,porque es una bola blanconea
encendedor,alcancia,perro,"no, porque no existe",que grita mucho,"Mi papa, porque a veces esta peludo",que tiene algo muy valioso
enojon,El mundo,perro,"No, porque las pelotas no hablan",mi hermano grita mucho*,gato porque esta cubierto de pelos,que es muy reconocido
nino,tambien,perro,"No, porque las pelotas no cantan*",que grita mucho*,"un perro, porque rima con la otra palabra",es relacionado con las otras palabras
hermanito,mama,papa,"Si, porque asi se demuestran las mamas cuando estan contentas o felices","que grita mucho todo el tiempo, es porque esta feliz",que esta bonita y es una de sus preferidas,que la mama trabaja duro
balon,cualquiera,hermanito,"si, porque canta la pelota cuando rebota",a mi me gusta jugar futbol con la pelota porque suena,podria ser una esponja,que cualquiera es una pelota de plata
balon,pelota,pelota,"No, porque las pelotas no tienen boca",mi hermano grita mucho,tiene muchos pelos,Luna es de ese color
Abuelo,mi abuelo,perro,"si, cuando nuestra mama nos regana nos grita, o tambien cuando no la obedecemos",que cuando quiere algo grita o cuando juega grita mucho,"el cabello porque como tenemos mucho cabello, parece una bola de pelos.","puse abuela, porque a la mayoria de nuestras abuelas les gustan las plantas"
No,El,mama,"No, porque las pelotas no cantan*","porque es muy griton, muy latoso.",mi mama o mi hermano,pelota bonita
Sol,Luna,Cabeza,"No, porque las pelotas no hablan*",que su hermano grita mucho*,un gato,Yo puse luna porque la luna brilla mucho
sol,Luna,cabeza,"Si, porque habla sobre su mama",que su hermano grita mucho,mi cabeza tiene mucho pelo,una pelota normal
perro,pelota,gato,"Si, porque rima",que su hermano grita mucho,gato,que es una pelota brillante
balon,trofeo,gato,"Si, porque dice en la cancion que toda tu familia parece pelotas","que como su hermanito grita mucho, tiene una pelota de gritos",perro porque tiene pelos*,a lo mejor tiene un trofeo
bota,porque,mama,"No, porque las pelotas no cantan*",porque grita mucho y la pelota al rebotar suena,"papa, porque cuando se enoja se le paran los pelos",pelota que esta pintada de color plata
Sol,la Luna,Cabeza,"No, porque las pelotas no cantan*",mi hermano grita mucho*,perro porque los perros tienen pelo en la cabeza,la luna llena es como una pelota de plata por su color
Sol,Luna,gatito,"No, porque las pelotas no cantan*",mi hermano grita mucho*,"gato, perro, cabello, por su pelo*","porque la luna es redonda y de color plata o gris, pero se identifica mas como plata."
nino,familia,gato,"No, porque las pelotas no cantan",que siempre grita,su mascota porque se esponja,que vale mucho como la familia
pelotas,pelotas,pelotas,"No, porque no es una pelota que canta, sino una pelota cualquiera",chilla mucho cuando no tiene lo que quiere,un enrredadero de cabello porque se enreda cada vez mas,que es una pelota color plateado
sol,la Luna,cabello,"No, porque las pelotas no cantan",que grita mucho,yo creo que puede ser mi cabello porque es mucho,Yo creo que es la luna porque la luna es como plateada
tio,mama,gato,"No, porque las pelotas no pueden cantar porque no tienen boca*",que su hermanito es muy griton,perro porque tiene pelos*,mi mama porque es muy valiosa
vestido,su pulsera,mascota,"No, porque las pelotas no cantan*",que siempre esta gritando,La cabeza esta llena de muchos pelos,que hay muchas pulsera que estan hechas de plata
nino,pasto,cepillo,"si, porque tenia varios ejemplos",que tiene muchos granos ***,"cuando te cepillas mucho el cabello, se te quedan pelotas",que el pasto es una pelota
sol,la nieve,conejo,"si,porque todos los conocemos",mi hermano grita mucho,es una pelota de pelusa porque tiene mucho pelo,porque es una bola blanca
nino,que es,papa,"No, porque no rima",que grita mucho y es muy travieso,Puede ser que haya muchas cosas con pelo o la pelota,Que la pelota es de plata y es muy cara
Sol,nieve,cuyo,"si, porque todas las pelotas hacen lo que quieren",que hace mucho berrinche o emocion,"porque tiene mucho pelo, es una pelusa o perrito en cachorro",es blanca una bola que parece pelota es suave
gas,medalla,gato,"No, porque no se le entiende a la frase pelota",mi hermano grita mucho o simplemente llora mucho*,Un perro o la barba de mi papa,no se
Sol,Luna,muneca,"No, porque es obvio que ninguna ""pelota canta""",que su hermano esta gordito y grita mucho,Un animal grande redondo pelos,pelota de color plata
no,mama,pelota,"No, porque las pelotas no cantan*",al decir pelota puede que sea que brinca mucho y grita,no contesto,no contesto
vapor,hermana,perro,"Si, porque cada vez que rebota su mama quiere cantar",Porque no le gusta que rebote la pelota,Es una almohada,como si fuera algo que tu quisieras o una pelota pintada de plata
Sol,ojos,gato,"No, porque las pelotas no cantan*",que su hermano grita mucho*,"Algo peludo, porque tiene mucho pelo",Algo que sea muy brillante
Sol,Mi Luna,pelo,"No,porque mi mama puede cantar, pero no todo el tiempo",Que llora de todo porque es muy pequeno,Arbol porque tiene muchas hojas y es redondo,"No existe, pero si es poema tendras que apropiarte del tema, la luna es redonda y color entre blanco y plata bajo."
sol,La tierra,Cabeza,"No,porque esta en sentido figurado",mi hermanito grita mucho,"Mi perro, esta lleno de pelos",Las Nubes de la tierra se parecen a una pelota de plata
sol,Mi espada,Cabeza,"Si, porque su mama canta mucho y la describio como una pelota",porque reganan mucho los hemanos,perro porque esta lleno de pelos,Las espadas porque son de plata
sol,Luna,Cabeza,"No, porque es una pelota cualquiera",su hermano grita mucho*,tu cabeza,La luna es una pelota de plata
sol,La luna,cabello,"No,porque no todo es una pelota",mi hermano grita mucho*,perro porque se hacen bolita y tienen pelo,Que la luna se ve de plata porque es gris
amor,la mente,perrita,"No, porque no tiene sentido alguno",es porque siempre grita,Gatos tienen mucho pelo,Porque la mente vale mucho
jardin,el,gato,"si, porque una mama puede cantar con una pelota",que su hermano grita mucho,el gato porque a los gatos les gustan  las bolas de estambre,el una persona puede ser el
sol,la luna,Cabeza,"No, porque las pelotas no tienen boca",mi hermano grita mucho*,perro porque esta muy peludo,la luna porque es redonda y muy hermosa
chile,hierro,perro,"Si, porque tu mama canta bonito",que grita mucho,Los gatos,que es muy duro
carbon,hierro,perro,"si, porque es una persona gordita que canta",su hermano es griton*,Los pelos que se caen forman pelota de pelos porque a las mujeres se nos cae el pelo,el hierro es como la plata
Senor,ella,hermana,"No, porque las pelotas no hablan*",que su hermanito tiene guardado muchos gritos,mi mama porque tiene mucho pelo,la pelota de plata es muy especial
juego,amiga,papa,"No, porque las pelotas no cantan*",mi hermano grita mucho*,perro porque tiene mucho pelo,Mi amiga porque vale mucho
sol,Luna,perro,"No, porque su mama es un ser vivo y no un material",que su hermano grita mucho,Gatos porque hay gatos que parecen una bola de pelos,puede ser que la pelota sea de ese color o que sea eso metaforicamente
rojo,el plateado,perro,"No, porque las pelotas no cantan*",que su hermano es griton*,"un perro, un peluche, un gato, etc",que es un color resaltante y muy bonito
Si,el,gato,"No, porque las pelotas no cantan*",que mi hermano es muy escandaloso,una rebelion de cabello,significa que es muy bueno para hacer algo
balon,no contesto,perro,"No, porque casi no rima",que su hermano grita mucho*,yo digo que puede ser el estambre porque se puede hacer como una pelota,no contesto
Sol,La moneda,perro,"No, porque las pelotas ni se mueven ni cantan",que su hermano grita mucho,una cabellera pues porque tiene pelos,pues una moneda es redonda como una pelota y es de plata
no contesto,no contesto,gato,"No, porque las pelotas no cantan*",puedes decir que su hermanito es algo gordito y grita mucho,perro porque puede ser algo gordito y tiene pelo,puede ser una pelota plateada
amor,dolor,perro,"No, porque las pelotas no cantan",que su hermano a cada rato grita,un animal porque tiene pelos,porque cuando sentimos dolor no lo podemos soportar como el peso de la pelota de plata
papa,tia,primo,"Si, porque es mama que canta",que grita mucho y llora,mi perro,que tiene mucho amor y carino
sol,bondad,perro,"No, porque las pelotas no cantan y la frase esta en sentido figurado",Quiere decir que el hermano grita constantemente,Un gato porque tiene pelos al igual que el perro,Mi frase es la bondad ya que la bondad es tan presiada como la plata
amor,dinero,perro,"No, porque esta como insultando a las personas",que mi hermano menor grita todo el tiempo,mi cabeza porque tengo mucho pelo,pues la plata es algo valioso
nino,una amiga,papa,"si,porque se escucha bien y aparte si no tuviera sentido no la escuchariamos",que mi hermano grita mucho,mi perrito,es como una amiga que vale oro
abuelo,abuela,papa,"No, porque es una expresion, yo creo que quiso decir """,que su hermanito es el que grita mas en su casa,el abuelo porque tiene pelo,es como una amiga que vale oro
hermano,hermana,perro,"No, porque las pelotas no cantan*",Que su hermano grita mucho,Un perro porque tiene muchos pelos,Se refiere a que es valioso
Sol,Luna,Cabeza,"No, porque las pelotas no cantan, esto se significa que esta hablando en sentido figurado",que mi hermano es griton*,perro porque es peludo*,"La luna, porque cuando la miras se ve tan brillante y hermosa como la plata"
no contesto,el anillo,papa,"No, porque las pelotas no cantan, son para jugar",porque no para de gritar,perro porque tiene mucho pelo,significa que los anillos son de plata
balon,que,papa,"No, porque yo digo que no",que grita sin parar con una pelota,gato,no lo se no tengo idea
Vecino,papa,perro,No hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran,Que los ninos chiquitos hacen mucho berrinche,el perro porque los perros estan muy peludos,alguien que es muy valioso para ti
Sol,y la luna,mascota,"No, porque las pelotas no cantan*",que su hermano es muy griton*,otra puede ser mi perro tiene mucho cabello y esta gordito,que la pelota es gris y tiene brillo
Papa,amigo,perro,"No, porque es una frase que no existe y ademas es la frase ""pelota que canta"" no existe",que su hermanito grita demasiado,su mascota,Su amigo es bueno
como,que es,bonita,"No, porque las pelotas no cantan*",mi hermanito es muy griton,esta muy bonita mi pelota,la pelota es muy amarilla como el sol
calor,y,hermano,"No, porque las pelotas no cantan*",que grita mucho,Una pelota llena de pelos porque la llenaron de pelos,Pelota hermosa
de el,esta,pelota,Yo no entiendo que significa esta frase,mi hermanito es de berrinches,"pelota suave, algunos pelos son suaves",corazon fuerte
amor,Mi hermana,mascota,"No, porque las pelotas no cantan*",que su hermano grita mucho*,animal porque los animales tienen pelos,Que la pelota vale mucho
cerillo,La estatua,perro,"No, porque no rima",que su hermano grita mucho,un perro porque el perro tiene muchos pelos,Que es una estatua
no contesto,esta,mama,"No, porque las pelotas no cantan",mi hermano brinca mucho y llora de a gritos,una bolsa porque hay bolsas que son muy padres o tienen muchos pelitos,una pelota muy bella o valiosa
Papa,la novia,perro,"Si, porque es un poema y tiene palabras mezcladas con otras frases",que grita mucho*,perro porque puede tirar pelos por todos lados*,Que es un objeto o alguna otra cosa de plata
papa,hermana,perro,"No, porque las pelotas no cantan*","es como si su pelota hace mucho ruido por eso dice, es una pelota de gritos",porque el perro puede tirar pelotas,la pelota es brillante como la plata
pelotas,porque,pelota,"No, porque el sentimiento es de alegria",porque mi hermanito es gordo de muchos gritos,"saltar, gritar, etc.",que la pelota era de plata porque tenia oro
vecino,amigo,perro,"Si, porque la pelota cada que rebota suena",que su hermano siempre esta gritando y saltando,una bola de pelusa,como alguien muy importante
vecino,familia,perro,"No, porque las pelotas no cantan*",que su hermano grita mucho,yo porque alegro el dia a mis amigos,que es muy especial
oido,el televisor,perro,No porque las pelotas no cantan*,quiere decir que su hermanito grita mucho en casa,"un gato,porque tiene pelo",mi respuesta en la frase puede ser que es una pelota valiosa
sol,boton,cabello,"Si, porque la pelota puede cantar",Que a su hermano le gustan los gritos,"El Hilo, porque es como un cabello",Un boton de plata
vecino,mi amiga,Papa,"No, porque las pelotas no hablan",que su hermano grita mucho,Un perro porque un perro puede ser gordo y tiene mucho pelo,persona importante
sol,Mi deporte,cabello,"No, porque las pelotas no cantan (es una metafora)",Que el hermano es ruidoso,perro porque es peludo*,"MI respuesta en la frase ""pelota de plata"" Fue deporte porque me gusta mucho"
horno,la moneda,Perro,"No, porque las pelotas no cantan*",Que es una persona que no para de gritar,gato porque tiene pelo*,Algo redondo de plata
papa,tio,Madrina,"Si, porque cuando la rebotas suena",que su hermano grita mucho*,tia porque tiene mucho cabello,Que pesa
vecino,Lupita,Abuela,"No, porque es imposible que una pelota cante, aunque metaforicamente si",su hermano grita mucho*,Un miembro familiar con mucho cabello,Miembro muy valioso e importante para la familia
balon,papa,Mascota,No porque las pelotas no hablan,su hermano es griton*,perro porque tiene mucho pelo*,una pelota que vale mucho
