x
porque es alegre
"No, porque las pelotas no cantan*"
"No, mi mama no canta o tal vez las demas igual no"
"si, porque tiene muchas rimas"
"si, tiene un poco de sentido"
"No, porque las pelotas no cantan*"
"si, porque cuando dice la pelota que canta se refiere a sus cabezas"
"no, porque no tiene ningun efecto"
"si, es una frase feliz y divertida y alegre"
"no, ninguna pelota puede cantar"
"si, porque rima*"
"No, porque las pelotas no cantan*"
"si, porque la mama puede cantar"
"si, porque si se entiende"
"No, porque yo lo digo"
"si, porque dices una rima"
"No, porque las pelotas no cantan"
"No, porque ellas no hablan"
"No, porque las pelotas no cantan*"
"No, no se"
"Si, porque es como rima"
"No, no se"
"No, porque las pelotas no cantan*"
"pelota que tiene ojos y boca, nariz y habla"
"no, porque las pelotas rebotan no cantan"
"si, porque se le entiende a lo que dice"
"no, porque nadamas dices pelota"
"si, tiene sentido porque si pones una persona tiene sentido"
"si, porque le gusta cantar"
"No, porque las pelotas no cantan*"
"si, porque es como tu mama cantara"
"No, es sentido figurado mas no literal"
"si, porque canta"
"Si, porque puede ser una persona"
"No, porque las pelotas no cantan"
"No, porque no puede haber pelotas que canten en la vida real"
"No, porque las pelotas no cantan"
"si, porque al momento que rebota suena"
"No, porque la pelotas que cantan no existen"
"No, porque las pelotas no tienen cerebro, entonces serian como unos zombies porque no tienen cerebro"
"si, porque tu mama puede cantar"
"No, porque las pelotas no cantan"
Un senor que esta gordito y canta
"No, porque las pelotas no hablan*"
"si, porque puede referirse al sentido figurado como el poema, esta escrito en figurado o literal"
"No, porque esta en sentido figurado"
"si, eso creo yo"
"No, porque simplemente las pelotas no cantan"
"si, porque en un poema las frases no deben tener sentido, pero esto significa algo como que alguien canta porque no es literalmente lo que dice la frase."
"si, porque un poema tiene tipos de textos, literal y figurado, en figurado es: mi mama canta"
"No, porque las pelotas no tienen boca"
"si, porque tiene algo de sentido"
"No, porque no tiene boca para hablar"
"si, porque se esta refiriendo a cosas"
"No, porque las pelotas no hablan"
"si, porque esta en sentido figurado"
"si, porque su mama canta"
"No, porque no rima la frase"
"si, porque su mama canta"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no hablan *"
"si, porque mi mama canta"
"No, porque las pelotas no cantan"
"si, porque es alguien que le gusta cantar"
"si, porque dice que su mama canta"
"no, porque una pelota no tiene boca por eso no canta"
"si, porque una pelota representaria un objeto cualquiera"
"no, porque es una cosa material"
"no, porque no tienen suficientes palabras para explicar el poema"
"No, porque las pelotas solo son para jugar, no para cantar"
"No, porque las pelotas no cantan, es como si una pelota cantara despacito"
"No, porque yo no he visto una pelota que canta"
"si, porque se refiere a su mama"
"no, porque las pelotas no cantan"
"no, porque las pelotas no hablan"
"no,porque no es tan comprensible"
"No,porque no puede haber un objeto que cante, eso seria imposible y absurdo"
"Si, porque es una forma de describir a alguien"
"No, porque no hay pelotas que canten"
"No, porque las pelotas no cantan solo con la imaginacion"
"No, porque las pelotas no hablan*"
"si, porque canta canciones"
"no, porque no creo que vaya? a cantar"
"no, nadie entenderia"
"si, porque se refiere a que su mama canta"
"si, porque tiene muchas curvas"
"si,porque esta hablando de su familia"
"no, es algo ironico"
"no, porque es una pelota normal"
"no, porque las pelotas no cantan"
"no, porque una pelota no puede cantar"
"si, porque es su forma de expresarse hacia las personas"
"no, porque las pelotas en si no pueden hablar"
"No, porque las pelotas no cantan*"
"No, porque las pelotas no tienen vida"
no porque una pelota es una objeto inmovil
en la diversion en juego puede (hacer mas cosas??) en la pelota
"no, porque las pelotas no hablan"
"no, porque las pelotas no pueden cantar y porque no tienen cuerdas vocales"
"no, porque las pelotas no cantan"
"no, porque las pelotas no cantan"
"no, porque una pelota se usa para jugar y porque es de plastico"
"no,porque las pelotas no hablan y si no hablan no cantan"
"si, porque si con pelotas se refieren a personas entonces si, porque las mamas siempre cantan"
"si, porque mi mama canta"
"no, porque las pelotas no cantan"
"No, porque las cosas no hablan"
"No, porque las pelotas no cantan"
"si, porque la tecnologia hizo a Sphero una pelota robot que habla y canta"
"No, porque dice cosas extranas"
"no, porque la puedes botar, pero no va a cantar"
"No, porque las pelotas no hablan*"
"Imaginense una pelota cantar, no es normal"
