c1_frase,concepto_r_1,df_1,c1_1,c2_1,c3_1,criterio_1,c1,c2_frase,concepto_r_2,df_2,c1_2,c2_2,c3_2,criterio_2,c2,c3_frase,concepto_r_3,df_3,c1_3,c2_3,c3_3,criterio_3,c3,c4_frase,concepto_r_4,df_4,c1_4,c2_4,c3_4,criterio_4,c4,c5_frase,concepto_r_5,df_5,c1_5,c2_5,c3_5,criterio_5,c5,c6_frase,concepto_r_6,df_6,c1_6,c2_6,c3_6,criterio_6,c6,c7_frase,concepto_r_7,df_7,c1_7,c2_7,c3_7,criterio_7,c7,c8_frase,concepto_r_8,df_8,c1_8,c2_8,c3_8,criterio_8,c8,c9_frase,concepto_r_9,df_9,c1_9,c2_9,c3_9,criterio_9,c9,c10_frase,concepto_r_10,df_10,c1_10,c2_10,c3_10,criterio_10,c10,c11_frase,concepto_r_11,df_11,c1_11,c2_11,c3_11,criterio_11,c11,c12_frase,concepto_r_12,df_12,c1_12,c2_12,c3_12,criterio_12,c12,c13_frase,concepto_r_13,df_13,c1_13,c2_13,c3_13,criterio_13,c13,c14_frase,concepto_r_14,df_14,c1_14,c2_14,c3_14,criterio_14,c14,c15_frase,concepto_r_15,df_15,c1_15,c2_15,c3_15,criterio_15,c15,c16_frase,concepto_r_16,df_16,c1_16,c2_16,c3_16,criterio_16,c16,c17_frase,concepto_r_17,df_17,c1_17,c2_17,c3_17,criterio_17,c17,c18_frase,concepto_r_18,df_18,c1_18,c2_18,c3_18,criterio_18,c18
cabello de zacate,cabello,0,maltratado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,capas delagadas,capas,0,metafora,3,dientes de perlas,dientes,0,0,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,flores,0,girasol,0,0,metafora,3,mi dulce hermana,0,dulce,0,0,0,metafora,3,mirada ardiente,0,ardiente,conquistadora,0,0,metafora,3,corazones frios,0,frios,sin sentimiento,0,0,metafora,3,sonrisa de hielo,sonrrisa,0,no emociones,0,0,metafora,3,ojos amargos,0,amargo,mirar feo,0,0,metafora,3,sonrisa tibia,0,tibia,caliente,0,0,metafora,3,la noche quedo atras,0,quedo,0,0,0,metafora,3,el verano viene,verano,0,lluvia,calor,sol,convencional,2,el ano va muy lento,0,0,lento,0,0,convencional,2,vendran tiempos mejores,0,vendran,futuro,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,segundos,0,rapido,tiempo,0,convencional,2
cabello de zacate,0,zacate,maltratado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,delicada,0,0,metafora,3,dientes de perlas,0,perla,brillantes,redondos,0,metafora,3,piel de seda,0,seda,seda,0,0,metafora,3,flores de oro,flores,0,amarilla,0,0,metafora,3,mi dulce hermana,hermana,0,entiende,ayuda,0,metafora,3,mirada ardiente,0,ardiente,ardiente,0,0,metafora,3,corazones frios,0,frios,directo,no alegria,0,metafora,3,sonrisa de hielo,sonrrisa,0,sonrrie,0,0,metafora,3,ojos amargos,ojos,0,fijos,0,0,metafora,3,sonrisa tibia,sonrisa,0,grande,0,0,metafora,3,la noche quedo atras,noche,0,no existe,0,0,metafora,3,el verano viene,verano,0,calor,0,0,convencional,2,el ano va muy lento,0,0,tarda en pasar,0,0,convencional,2,vendran tiempos mejores,0,vendran,llegara,ocasiones,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,segundos,0,rapido,segundo,0,convencional,2
cabello de zacate,0,zacate,rasposo,0,0,metafora,3,nubes de leche,0,leche,evaporacion,0,0,metafora,3,piel de papel,0,papel,arrugada,fragil,0,metafora,3,dientes de perlas,0,perla,redondos,plateados,brillosos,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,flores,0,flores,bonito,0,metafora,3,mi dulce hermana,hermana,0,amable,0,0,metafora,3,mirada ardiente,0,ardiente,miel,0,0,metafora,3,corazones frios,0,frios,no amor,0,0,metafora,3,sonrisa de hielo,sonrrisa,0,sonrisa,0,0,metafora,3,ojos amargos,0,amargo,algo que no te gusto,0,0,metafora,3,sonrisa tibia,0,tibia,desaparece,tiempo,0,metafora,3,la noche quedo atras,0,quedo,0,0,0,metafora,3,el verano viene,0,viene,se acerca,0,0,convencional,2,el ano va muy lento,0,0,lento,tiempo,eterno,convencional,2,vendran tiempos mejores,0,vendran,esperar,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,tiempo,rapido,0,convencional,2
cabello de zacate,cabello,0,bonito,feo,0,metafora,3,nubes de leche,nubes,0,gotean,0,0,metafora,3,piel de papel,0,papel,suave,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,distintos colores,0,0,metafora,3,flores de oro,flores,0,girasol,0,0,metafora,3,mi dulce hermana,hermana,0,amable,carinosa,0,metafora,3,mirada ardiente,0,ardiente,enojo,0,0,metafora,3,corazones frios,0,frios,duro,dificil,0,metafora,3,sonrisa de hielo,sonrrisa,0,sonrisa,0,0,metafora,3,ojos amargos,0,amargo,trsite,0,0,metafora,3,sonrisa tibia,0,tibia,hermosa,sincera,0,metafora,3,la noche quedo atras,0,quedo,disfrutar,0,0,metafora,3,el verano viene,verano,0,va a empezar,0,0,convencional,2,el ano va muy lento,0,0,lento,0,0,convencional,2,vendran tiempos mejores,0,vendran,millonario,0,0,convencional,2,la navidad llego,0,llego,0,0,0,convencional,2,los segundos vuelan,segundos,0,hacer lo que tienes que hacer,0,0,convencional,2
cabello de zacate,0,zacate,rasposo,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,rasposa,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,devil,0,0,metafora,3,flores de oro,0,oro,color,oro,0,metafora,3,mi dulce hermana,hermana,0,bonita,amable,0,metafora,3,mirada ardiente,0,ardiente,fija,0,0,metafora,3,corazones frios,0,frios,mujero,jugar,0,metafora,3,sonrisa de hielo,sonrrisa,0,0,0,0,metafora,3,ojos amargos,0,amargo,mala actitud,0,0,metafora,3,sonrisa tibia,0,tibia,no animo,sarcasmo,0,metafora,3,la noche quedo atras,0,quedo,0,0,0,metafora,3,el verano viene,verano,0,llegar,0,0,convencional,2,el ano va muy lento,0,0,no pasa nada,lento,0,convencional,2,vendran tiempos mejores,tiempo,0,persona,especial,0,convencional,2,la navidad llego,0,llego,0,0,0,convencional,2,los segundos vuelan,segundos,0,rapido,lo que se quiere,0,convencional,2
cabello de zacate,cabello,0,enrredado,0,0,metafora,3,nubes de leche,0,leche,0,0,0,metafora,3,piel de papel,0,0,suave,0,0,metafora,3,dientes de perlas,0,perla,roca,rompibles,fragiles,metafora,3,piel de seda,0,seda,seda,0,0,metafora,3,flores de oro,0,oro,amarillo,color,0,metafora,3,mi dulce hermana,0,dulce,0,0,0,metafora,3,mirada ardiente,0,ardiente,bonita,0,0,metafora,3,corazones frios,0,frios,trsite,0,0,metafora,3,sonrisa de hielo,0,hielo,cautivadora,0,0,metafora,3,ojos amargos,0,amargo,lloroso,0,0,metafora,3,sonrisa tibia,0,tibia,compomiso,0,0,metafora,3,la noche quedo atras,0,quedo,0,0,0,metafora,3,el verano viene,verano,0,calor,0,0,convencional,2,el ano va muy lento,0,0,despacio,0,0,convencional,2,vendran tiempos mejores,0,vendran,futuro,mejor,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,tiempo,rapido,0,convencional,2
cabello de zacate,0,zacate,duro,rigido,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,0,suave,0,0,metafora,3,dientes de perlas,dientes,0,relusientes,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,dorado,bonito,0,metafora,3,mi dulce hermana,hermana,0,tierna,0,0,metafora,3,mirada ardiente,0,ardiente,0,0,0,metafora,3,corazones frios,0,frios,sin sentimientos,0,0,metafora,3,sonrisa de hielo,0,hielo,congelada,0,0,metafora,3,ojos amargos,0,amargo,no sentimiento,0,0,metafora,3,sonrisa tibia,0,tibia,gusto,calida,0,metafora,3,la noche quedo atras,0,quedo,olvidar,pasado,0,metafora,3,el verano viene,verano,0,tiempo libre,0,0,convencional,2,el ano va muy lento,0,0,aburrido,tiempo,0,convencional,2,vendran tiempos mejores,0,vendran,0,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,tiempo,rapido,0,convencional,2
cabello de zacate,cabello,0,enredado,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,blanca,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,dorado,hojas,0,metafora,3,mi dulce hermana,hermana,0,alegre,ayuda,0,metafora,3,mirada ardiente,0,ardiente,ardiente,0,0,metafora,3,corazones frios,0,frios,sin sentimientos,0,0,metafora,3,sonrisa de hielo,0,hielo,sin ganas,0,0,metafora,3,ojos amargos,0,amargo,trsite,0,0,metafora,3,sonrisa tibia,0,tibia,cara linda,apreciar,0,metafora,3,la noche quedo atras,0,quedo,pasado,0,0,metafora,3,el verano viene,0,viene,va a llegar,0,0,convencional,2,el ano va muy lento,0,0,aburrido,0,0,convencional,2,vendran tiempos mejores,tiempo,0,0,0,0,convencional,2,la navidad llego,0,llego,0,0,0,convencional,2,los segundos vuelan,0,volar,tiempo,rapido,0,convencional,2
cabello de zacate,0,zacate,amarillo,0,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,delgada,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,diferente color,0,metafora,3,flores de oro,flores,0,girasol,0,0,metafora,3,mi dulce hermana,hermana,0,linda,0,0,metafora,3,mirada ardiente,0,ardiente,enojona,0,0,metafora,3,corazones frios,0,frios,sin sentimientos,0,0,metafora,3,sonrisa de hielo,0,hielo,bonita,encanta,0,metafora,3,ojos amargos,0,amargo,cansado,0,0,metafora,3,sonrisa tibia,0,tibia,frio,caliente,0,metafora,3,la noche quedo atras,0,quedo,olvido,0,0,metafora,3,el verano viene,verano,0,sol,0,0,convencional,2,el ano va muy lento,0,0,no gustar,ano,0,convencional,2,vendran tiempos mejores,0,vendran,bueno,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,tiempo,rapido,0,convencional,2
cabello de zacate,0,zacate,chino,enredado,0,metafora,3,nubes de leche,nubes,0,blanco,0,0,metafora,3,piel de papel,0,papel,fragil,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,amarillo,0,0,metafora,3,mi dulce hermana,hermana,0,agradable,0,0,metafora,3,mirada ardiente,0,ardiente,fuego,0,0,metafora,3,corazones frios,0,frios,sin amor,0,0,metafora,3,sonrisa de hielo,0,hielo,falsa,malvada,0,metafora,3,ojos amargos,0,amargo,amargado,0,0,metafora,3,sonrisa tibia,0,tibia,calida,0,0,metafora,3,la noche quedo atras,noche,0,ya paso,0,0,metafora,3,el verano viene,verano,0,vacaciones,0,0,convencional,2,el ano va muy lento,0,0,terminar,tardar,0,convencional,2,vendran tiempos mejores,0,vendran,mejor,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,0,rapido,0,0,convencional,2
cabello de zacate,0,zacate,enredado,0,0,metafora,3,nubes de leche,0,leche,blanco,0,0,metafora,3,piel de papel,0,papel,fragil,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,amarilla,brillantes,0,metafora,3,mi dulce hermana,hermana,0,tierna,0,0,metafora,3,mirada ardiente,0,ardiente,provocativa,0,0,metafora,3,corazones frios,0,frios,sin sentimientos,0,0,metafora,3,sonrisa de hielo,0,hielo,refrescante,0,0,metafora,3,ojos amargos,0,amargo,triste,0,0,metafora,3,sonrisa tibia,0,tibia,calida,0,0,metafora,3,la noche quedo atras,0,quedo,0,0,0,metafora,3,el verano viene,0,quedo,pasado,0,0,convencional,2,el ano va muy lento,0,0,rapido,0,0,convencional,2,vendran tiempos mejores,0,vendran,mejor,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,segundos,0,segundos,pasan,rapido,convencional,2
cabello de zacate,0,zacate,enredado,feo,0,metafora,3,nubes de leche,0,leche,blanco,0,0,metafora,3,piel de papel,piel,0,sensible,0,0,metafora,3,dientes de perlas,dientes,0,blanco,0,0,metafora,3,piel de seda,0,seda,delgadita,0,0,metafora,3,flores de oro,0,oro,color,amarilla,0,metafora,3,mi dulce hermana,hermana,0,sentimientos,0,0,metafora,3,mirada ardiente,0,ardiente,0,0,0,metafora,3,corazones frios,0,frios,sin amor,0,0,metafora,3,sonrisa de hielo,0,hielo,fria,0,0,metafora,3,ojos amargos,0,amargo,desagrado,0,0,metafora,3,sonrisa tibia,0,tibia,chida,0,0,metafora,3,la noche quedo atras,0,quedo,pasado,0,0,metafora,3,el verano viene,noche,0,pensar,0,0,convencional,2,el ano va muy lento,0,0,rapido,tiempo,0,convencional,2,vendran tiempos mejores,0,vendran,momentos,0,0,convencional,2,la navidad llego,0,llego,0,0,0,convencional,2,los segundos vuelan,segundos,0,tiempo,pasa,rapido,convencional,2
cabello de zacate,0,zacate,despeinado,0,0,metafora,3,nubes de leche,0,leche,blanco,0,0,metafora,3,piel de papel,0,papel,fragil,0,0,metafora,3,dientes de perlas,dientes,0,blancos,brillosos,0,metafora,3,piel de seda,0,seda,sedosa,0,0,metafora,3,flores de oro,0,oro,color,amarilla,0,metafora,3,mi dulce hermana,hermana,0,bonita,0,0,metafora,3,mirada ardiente,0,ardiente,seduccion,0,0,metafora,3,corazones frios,0,frios,no se expresa,0,0,metafora,3,sonrisa de hielo,0,hielo,0,0,0,metafora,3,ojos amargos,0,amargo,lloroso,0,0,metafora,3,sonrisa tibia,0,tibia,sin felicidad,0,0,metafora,3,la noche quedo atras,0,quedo,pasado,0,0,metafora,3,el verano viene,0,viene,se acerca,0,0,convencional,2,el ano va muy lento,0,0,lento,ano,0,convencional,2,vendran tiempos mejores,0,vendran,impresionante,0,0,convencional,2,la navidad llego,0,0,0,0,0,convencional,2,los segundos vuelan,0,volar,pasar rapido,0,0,convencional,2
cabello de zacate,0,zacate,enredado,0,0,metafora,3,nubes de leche,0,leche,blanco,0,0,metafora,3,piel de papel,piel,0,delicada,0,0,metafora,3,dientes de perlas,dientes,0,blancos,0,0,metafora,3,piel de seda,0,seda,suave,0,0,metafora,3,flores de oro,0,oro,caro,0,0,literal,3,mi dulce hermana,hermana,0,carinosa,0,0,metafora,3,mirada ardiente,0,ardiente,ardiente,0,0,metafora,3,corazones frios,0,frios,caracter frio,0,0,metafora,3,sonrisa de hielo,0,hielo,miedo,0,0,metafora,3,ojos amargos,0,amargo,feo,0,0,metafora,3,sonrisa tibia,0,tibia,timida,0,0,metafora,3,la noche quedo atras,0,quedo,olvido,0,0,metafora,3,el verano viene,verano,0,primavera,0,0,convencional,2,el ano va muy lento,0,0,lento,estaciones,0,convencional,2,vendran tiempos mejores,0,vendran,mejor,0,0,convencional,2,la navidad llego,navidad,0,0,0,0,convencional,2,los segundos vuelan,0,volar,pasa rapido,0,0,convencional,2
