,Explica pelota de gritos,a_similarity,a_wmdistances,a_n_similarity,a_distance,a_puntaje,Explica pelota de pelos,b_similarity,b_wmdistances,b_n_similarity,b_distance,b_puntaje,Explica pelota de plata,c_similarity,c_wmdistances,c_n_similarity,c_distance,c_puntaje
10,por el grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,es muy peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,3,se ha de parecer a una moneda,False,False,False,False,1
11,que no se esta en silencio ,0.15082547,0.04596461355686188,0.15082547,0.9522453993558884,3,porque tiene mucho cabello,0.2890329,0.04625891521573067,0.25301826,0.8792322725057602,3,que hay dinero en mi cartera,0.3059497,0.04306678083387572,0.28945336,0.8847003132104874,2
12,que su hermano puede gritar por que no tiene una pelota de pelos,0.30421773,0.045585648634264245,0.4454508,0.844075758010149,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,por que la moneda es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
13,como esta pequeño da lata,0.17008522,0.04200886342095583,0.22381109,0.8531443849205971,3,como ya esta grande,False,False,False,False,2,por que tiene valor y te ayuda,0.15889433,0.04789097607135773,0.098658875,1.1084951013326645,3
14,que es bien llorón,0.20680189,0.043214600533246994,0.20680189,0.8864519372582436,3,por que son feos,False,False,False,False,2,que son se los,False,False,False,False,1
15,cuando al hermano no le compran nada se pone gritar,0.1934325,0.047191355385029686,0.32076448,0.9252252904698253,3,por que también trae melena de cabello,0.19359647,0.04559463503044514,0.29758584,0.9130121767520905,3,que vale mucho,1.0,0.04621981732169981,1.0,0.8905605003237724,3
16,que su hermano es una pelota que grita,0.5554574,0.04460055832879052,0.7225069,0.8428097168604533,3,por que tiene la forma de una pelota y tiene cabello,0.20866443,0.04563404502612377,0.33863235,0.8609560827414194,1,que el papa podría ser una pelota muy cara por que esta hecho de plata,0.23458178,0.04695773703698162,0.48158932,0.9478510082699358,2
17,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,tiene talento como Héctor Cristian,False,False,False,False,2
18,que habla mucho o grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que el dijo,False,False,False,False,1,0,False,False,False,False,1
19,que la niña se la pasa llorando o haciendo berrinche ,0.1703682,0.04355667610178702,0.28300008,0.8354431912302971,3,por que ninguna parte mas que en la cabeza hay pelos ,0.2916694,0.04200643898516893,0.32174486,0.9289485439658165,1,es como una medalla o algo similar ,0.19330828,0.045800888052226735,0.18113391,0.9757307097315788,1
20,por que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,mi padre vale mucho por eso lo puse,0.4666683,0.044881813307434064,0.6562902,0.886910118162632,3
21,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que son nexos,False,False,False,False,1,cualquier cosa puede ser,0.24382372,0.04784976318478585,0.3134634,0.9007461816072464,1
22,de que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,pues es una simple pelota,0.34187788,0.04873271659016609,0.42143494,0.8443233966827393,1
23,por que grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,es brillante,0.19955546,0.04595272449858652,0.15748522,1.0087824240326881,2
24,por que no habla en voz baja,0.12862116,0.0453963198836185,0.1736257,0.9470727387815714,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,dinero,0.3059497,0.04306678083387572,0.28945336,0.8847003132104874,2
25,por que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,por que la copa de la liga mx es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
26,mi hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por que es divertido y causa una emoción feliz,0.16802834,0.045131364431963306,0.18949094,1.0205995813012123,3,que es una pelota muy cara o con un sentimiento muy grande que es especial,0.23729625,0.045405831493988635,0.47104758,0.8961348116397858,3
27,es gordito y grita mucho,0.65755963,0.04397335224426538,0.786144,0.7932206839323044,3,tienen una melena peluda,0.13678703,0.04597767676870711,0.20643747,0.8948318809270859,3,que es cara la agua que es muy escasa,0.112245634,0.04520146120513858,0.18005493,0.9926175773143768,3
28,por que el el hermano es u niño pequeño,0.2733814,0.042801960728315006,0.38217837,0.7864234298467636,3,por que esta lleno de pelo,0.5373958,0.024091549217700958,0.74998033,0.8805041257292032,3,que puede llegar a ser la casa,0.057879098,0.048940117190038865,0.053850427,1.0285354778170586,2
29,que hay muchos gritos,0.059554145,0.04690421372652054,0.059554145,1.0169062111526728,3,por que los perros tiene pelos,0.19033761,0.04674884484625608,0.26464608,0.8702669627964497,3,es una pepita como una bola,0.33940881,0.04529627232972156,0.31405762,0.9305293187499046,1
30,que exagera al hacer berrinche,0.32507014,0.04417429678034038,0.43070287,0.846522182226181,3,esta peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,3,algo de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
31,no lo sé,False,False,False,False,1,ns,0.29320645,0.04169987514615059,0.30151507,0.8420351147651672,1,que vale la pena,0.60988325,0.044497456777174975,0.8112491,0.9444770803675056,3
32,que llora mucho ,0.24942526,0.04764505103230476,0.24942526,0.9103724360466003,3,por que paren pelos ,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,que vale mucho ,1.0,0.04621981732169981,1.0,0.8905605003237724,3
33,grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que es muy juguetón,False,False,False,False,1,es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
34,por que es divertido,0.25974786,0.044214263558387756,0.25974786,0.9222887828946114,3,por que es peluda,0.17613277,0.04428243637084961,0.1979531,0.8758506774902344,3,mi mama,0.22015662,0.04794212058186531,0.0730863,1.09726944565773,2
35,que cada que lo tocan hace un grito,False,False,False,False,2,por que tiene sentido,0.16643837,0.04570259526371956,0.16643837,1.0123329646885395,1,por que un balón es como una pelota y es de color plata,0.42728302,0.04622212886323221,0.60162634,0.8763512931764126,1
36,que su hermanito tiene muchas energías para gritar,0.26723152,0.047594359167813204,0.4222374,0.9104070092240969,3,por que es una forma de expresar un pensamiento,0.14727318,0.04417937994003295,0.18679866,0.8579065799713135,1,es una pelota cubierta de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
37,que mi hermanito no para de gritar,0.30233875,0.04842303382224217,0.3973354,0.8847494423389435,3,por que tiran pelo,0.5359035,0.023081496357917786,0.77796876,0.9304028749465942,2,yo soy como una pelota de plata en el fútbol,0.2407036,0.047394485042306554,0.4266334,0.9118451438844204,3
38,que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque el poema refleja la acción de cada persona en una pelota,0.19841106,0.04452011778101325,0.3601716,0.9173371098935604,3,que la pelota vale mucho,0.5778383,0.04572047586667421,0.7040112,0.8217709772288799,2
39,que su hermano es alguien que grita mucho,0.484823,0.04403771930114397,0.7465885,0.8524781862894694,3,por que esta lleno de pelos,0.15239468,0.045807213943101464,0.20267513,0.903818542137742,3,es algo de mucho valor y también bello y pensó que lo que mejor queda con eso es la esperanza,0.19283678,0.04570809995871783,0.276502,0.9829917792230844,3
40,que cuando le pegan el se pone a gritar,0.111147605,0.04786238397069381,0.19068137,0.9212526008486748,2,por que no se  ,False,False,False,False,2,que la pelota es color amarilla,0.5343491,0.0495484632873946,0.62126493,0.8550681869188944,1
41,porque se la pasa gritando el pensativo ,0.23520699,0.045345007556863125,0.31450334,0.8717971257865429,2,por que tiene mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,que es una pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
42,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,2,como ya lo había mencionado no quiero ser pervertido pero el testículo tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,que tiene un temple o una conciencia limpia,0.15949309,0.04618451056347582,0.09043088,1.0920420140028,1
43,mi hermano esta muy gordo y se la pasa gritando,0.23234181,0.044901332438929936,0.36450386,0.8624090384691954,1,porque nada tiene sentido,0.16643837,0.04570259526371956,0.16643837,1.0123329646885395,1,es metáfora como si dijera yo el rostro de mi novia,0.22562985,0.04297753515351645,0.37051225,0.9293674031893412,1
44,si porque frita mucho,False,False,False,False,1,por mi reporte,False,False,False,False,1,si eres rico puedes,0.2564447,0.04636701905742777,0.2564447,0.874242290854454,1
45,que empieza a gritar,0.27121198,0.05074866837974265,0.3387787,0.9569859243929386,1,es redonda,0.12718275,0.046543046832084656,0.11862364,0.9367141053080559,1,que una plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
46,por que chilla mucho,0.2374441,0.044084932655096054,0.2374441,0.9919587820768356,1,no,False,False,False,False,1,una naranja apachurrada,False,False,False,False,1
47,no,False,False,False,False,1,por que tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,no,False,False,False,False,1
48,que mi hermano en redondo y grita mucho,0.5178797,0.04343832194634743,0.73760766,0.827857663234075,1,por si,False,False,False,False,3,que como la luna es plateada por eso es una pelota de plata,0.46123898,0.04959103091605939,0.65664494,0.9057812867686152,3
49,porque los hermanos lloran mucho,0.17983317,0.04163001840186305,0.24091576,0.8557230792939663,1,ns,0.29320645,0.04169987514615059,0.30151507,0.8420351147651672,1,no dice mentiras,False,False,False,False,1
50,no,False,False,False,False,1,pues es lo que se me bino ala mente,False,False,False,False,1,0,False,False,False,False,1
51,que su hermano se la pasa gritando o sea es un desastroso,0.21475227,0.045414253685322585,0.3704622,0.8982695443555713,3,r1gf3,False,False,False,False,1,una moneda,False,False,False,False,1
52,explica que el hermano grita mucho e inquieto,0.4414142,0.045341596368514,0.67390645,0.8796311058104038,3,porque es peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,1,explica que una pelota de plata es algo valioso o importante,0.28364992,0.04852160849311948,0.45509657,0.8546533677726984,1
53,13fg,False,False,False,False,0,porque tiene pelos es chiquito ya se parece a una pelota de pelos,0.21656097,0.04444219674852048,0.2777677,0.8562715003887812,0,1g3f,False,False,False,False,0
54,es gritón,0.3236592,0.04827113449573517,0.3236592,0.8502195775508881,3,porque tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,bala de cañón,False,False,False,False,1
55,que su hermanito es gordo y grita mucho,0.48047093,0.04409202542662328,0.7030233,0.8676824867725372,3,por que es una bola de hilos con pelos,0.1428589,0.0449364983871424,0.23642892,0.9113665906091531,3,porque la luna es color plateado,1.0,0.04621981732169981,1.0,0.8676921303073565,3
56,se refiere a que el hermanito siempre grita,0.54047394,0.04531223201356148,0.7288363,0.8550195197264353,3,porque es un animal peludo,0.13585922,0.04760925961736217,0.19728966,0.9127188995480537,3,escogí la luna porque es redonda y brilla como la plata,0.41400212,0.046665037715952096,0.62988466,0.9239825129508972,3
57,por que su hermano solo grita,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,habla de pelos y los animales son los únicos,0.16094059,0.04423661119931005,0.17305489,0.9839505106210709,1,la luna porque es redonda y se ve como si fuera una pelota de plata,0.45543945,0.04716897143367753,0.6528958,0.8974802792072296,3
58,que su hermano chico grita mucho o habla mucho,0.5135883,0.04402304490277686,0.7137196,0.7997557620207468,3,por que esta cubierto de pelos,0.2017346,0.04375717822940089,0.2893679,0.8686138167977333,3,me base en lo que dice del sol ademas la luna brilla,0.45574,0.04566967209290899,0.6314676,0.9054734986275434,3
59,que grita o llora mucho por eso es una pelota de gritos,0.3911548,0.04526957598919887,0.6169953,0.8920734412968159,3,ellos están cubiertos de pelos,0.22206216,0.0438658239364028,0.248359,0.9161016754806042,3,bueno y se una suposición al poner sol y por lógica debería de ser frio,0.27938056,0.044445176173433666,0.44791648,0.9649505876004696,1
60,que su hermano no se para de quejar a cada rato anda gritando,0.22516796,0.043969416375803205,0.41787007,0.8580773487687111,3,por que si,False,False,False,False,3,por que la luna esta de color gris y es redonda,0.6692321,0.04679988336254097,0.8280564,0.8770287819206715,3
61,que es un niño que grita mucho,0.6309712,0.04300012537124381,0.7863949,0.7926453500986099,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,porque es color gris tirándole a plateado,0.7718874,0.0456372411940325,0.8182166,0.8402135421832403,1
62,por que el grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,esta chido,0.086552605,0.047180451452732086,0.08371926,0.9527677930891514,3,por que es sentido figurado a algo creo que por una moneda,0.33800596,0.04560966214118389,0.33800596,0.931348517537117,2
63,que su hermano puede gritar por que tiene una pelotas de pelos,0.27299652,0.045859008176140484,0.4293662,0.8666845746338367,2,por que te dan celos de otra persona,0.17623922,0.04487057402729988,0.19213189,0.8736742287874222,1,que su hermano tiene una pelota de plata,0.28555223,0.04822097484494628,0.48407325,0.8400076727072397,1
64,grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que esta diciendo las cosas que son para toda la familia y es para el perro,0.18097472,0.046752966700963676,0.2426496,0.8589500822126865,1,pelota padre,0.31604475,0.04873654594252258,0.47057047,0.8358169272542,1
65,que es llorón,0.20680189,0.043214600533246994,0.20680189,0.8864519372582436,3,por que se siente como pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,por que te dice sobre los demás,False,False,False,False,1
66,que tiene muchos sentimientos,False,False,False,False,2,por que cuando dices esfuerzo es por que te interesas en algo que te guste y te esfuerzas asta conseguir eso lo que quieras sea para mal o para bien,0.11253953,0.0459071813511325,0.2470527,0.9560657731656518,3,que es abuelo,0.16299373,0.0474405213710229,0.09597081,1.0192297603935003,2
67,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,como algo de valor,False,False,False,False,1
68,que tu hermano grita mucho y me desespera creo que eso dice la frase de pelota de gritos supongo,0.3345476,0.04523747589887984,0.60709465,0.8851511031389236,3,0,False,False,False,False,1,moneda por que en es como una pelota y es redonda y vale y tienes que esforzaste para eso cuando rebotas una pelota tienes que mover las manos entonces para ganar el dinero lo mismo tienes que mover las manos para lograr eso mm es lógico verdad me voy lentamente,0.315948,0.0437074527039505,0.5079638,0.8229137316346169,1
69,que el siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,que la luna al brillar parece plata,0.4612497,0.04872372317187888,0.5963992,0.9787464762727419,3
70,por que los hermanitos son muy molestos,False,False,False,False,2,por que en tu cuerpo tienes pelo por todos lados,0.33650434,0.034252881265580654,0.636421,0.9115643138065934,3,pues la hermana en el mayor de los casos es la que pide mas cosas y para cosas se necesita dinero,0.29372948,0.043519771190440856,0.42838886,0.8393654748797417,1
71,de que el hermano nada más se la pasa gritando y eso molesta,0.26546562,0.04565392203435767,0.4438141,0.8699322957545519,3,porque es redondo,1.0,0.04211404547095299,0.7081795,0.8149137198925018,3,pues una perla ,0.30246556,0.044876259136490036,0.30246556,1.0153066404163837,1
72,que su hermano grita todo el tiempo,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,pues se llena de pelos,0.21512955,0.04497552385138907,0.28407735,0.8583195209503174,1,que tiene dinero,0.3059497,0.04306678083387572,0.28945336,0.8847003132104874,1
73,porque grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,es muy peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,1,0,False,False,False,False,1
74,que es un gritón,0.3236592,0.04827113449573517,0.3236592,0.8502195775508881,3,porque si,False,False,False,False,3,pues que es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
75,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que se esponja,0.04051713,0.05041130632162094,0.04051713,1.0546473450958729,3,que tiene dinero,0.3059497,0.04306678083387572,0.28945336,0.8847003132104874,1
76,por que esta gordo y grita,0.56234056,0.044276738351259386,0.7696004,0.8821065127849579,3,por que tienen muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,la pelota de plata es de plata,0.27422982,0.04815627324163835,0.41204017,0.8883076608181,1
77,que es un ruidoso,0.17337063,0.04464643821120262,0.17337063,0.9622783958911896,3,por que tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,una bola de plata,0.2899073,0.04633104949136638,0.38512343,0.8733478151261806,1
78,que da mucha lata,0.12586194,0.04262620210647583,0.12586194,0.8837593346834183,2,por que esta redonda,0.12718275,0.046543046832084656,0.11862364,0.9367141053080559,3,por que vale mucho y muchos no lo aprecian,0.51921695,0.04602980745632371,0.699859,0.8760745860636234,1
79,que su hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,no se me ocurre otra cosa,0.11498465,0.047525130212306976,0.08853935,0.96882214397192,1,es algo parecido a una pelota de plata,0.26494038,0.04539225465071539,0.45814955,0.849995649109284,1
80,por que grita mucho mi hermanito,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,por que es una pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
81,por que mi hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por los pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,por que la luna tiene un color plateado o gris,0.82891554,0.04629770939752273,0.9316282,0.8528002817183733,3
82,que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que a si suena simbólicamente,0.19811438,0.043797809464121235,0.19811438,1.0099300164729357,1,el anillo es redondo,0.2377786,0.04389140009880066,0.25097626,0.931515708565712,1
83,que es fastidioso,0.20196056,0.046070754528045654,0.20196056,0.8242427408695221,1,no sé,False,False,False,False,1,que es de alto valor,False,False,False,False,1
84,una pelota mu enojada,0.33210012,0.044044435024261475,0.33210012,0.8483506739139557,1,por que tienes pelos,0.1453491,0.04531100190875493,0.19671825,0.9056720193475485,2,una pelota de un metal precioso,0.29582566,0.0472240181701412,0.46051162,0.8684646685918173,1
85,no sé,False,False,False,False,0,tiene pelos en los brazos,0.16605912,0.04543429456684552,0.1935578,0.9238148108124733,0,0,False,False,False,False,0
86,que es muy platicador,False,False,False,False,2,por que es peludo y grita,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,1,0,False,False,False,False,1
87,que es muy berrinchudo,0.25012243,0.043714821338653564,0.25012243,0.901672750711441,3,porque esas pelotas tienen como pelusa,0.16039105,0.04988297075033188,0.16039105,0.9421095848083496,1,que tiene un significado para ti,0.21114764,0.04367460408848777,0.23571149,0.8840368166565895,2
88,mi hermanito es un niño de gritos,0.18725593,0.04323870554824826,0.27995425,0.8318153967459997,3,por que si,False,False,False,False,3,mi mama es muy valiosa,0.27505508,0.05063473464611917,0.39250317,0.9597766995429993,2
89,porque su hermano siempre grita,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,tienen muco pelo encima,1.0,0.021057022735476494,1.0,0.8149137198925018,1,es una pelota de plata muy bonita,0.2604413,0.047964397348676815,0.44419798,0.896363745133082,1
90,que su hermano es muy gordo y grita mucho,0.48631775,0.044537655175912884,0.67292905,0.8583889007568359,3,porque eso entiendo yo,False,False,False,False,1,una pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
91,mi hermano es muy gritón,0.3289657,0.04666537107116729,0.40522,0.83058662712574,3,tiene cualidades impresionantes,0.118662655,0.04451507257164828,0.18625765,0.924364747479558,3,una pelota muy pesada,0.22509684,0.04515054515813105,0.37761447,0.9065095894038677,1
92,que es alguien muy gritón,0.221928,0.04531351381404698,0.32169667,0.863787829875946,3,porque los animales tiene pelos,0.16094059,0.04423661119931005,0.17305489,0.9839505106210709,2,podría dar una referencia a la luna,0.64074117,0.048557134723160415,0.7043145,1.0145446918904781,3
93,el hermano es muy inquieto,0.21692003,0.04567152804790251,0.28090656,0.8679419085383415,2,por que si y por que así es la vida,False,False,False,False,1,sentido de oro,0.24320501,0.04611016491384798,0.32562983,0.9534230977296829,1
94,porque los niños son muy escandalosos,0.14235303,0.04527977370253951,0.18115142,0.9362585842609406,3,por que los gatos escupen bolas de pelos,0.2145738,0.04935781848229654,0.336133,0.9110279828310013,3,pues la luna brilla como plata,0.49454477,0.047092056956565286,0.6566638,0.8945542027552923,3
95,la forma de expresar a un ser por medio de palabras metafóricas,0.1670282,0.04491383385900687,0.2835998,0.9052329510450363,3,por que tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,es una relevancia un tanto romántica al expresar que es la un objeto preciado para mi,0.24026959,0.045525873726862676,0.3973176,0.9442328818142414,3
96,que su hermano es una persona que grita mucho,0.5693776,0.0437020555808695,0.75620013,0.7997070948282877,3,por que no le ayo sentido a otra cosa,0.14071152,0.046613859603051096,0.14015141,0.9905775543302298,1,una pelota muy costosa,0.23577857,0.04553333034062345,0.36721754,0.8453275002539158,3
97,por que grita mucho y salta mucho,0.6102496,0.042097789159834385,0.79121983,0.7879014313220978,3,es muy velludo,-0.002924569,0.051601722836494446,-0.023274958,1.0300547890365124,3,por que es una pelota de plata y no rebota,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
98,tal vez por que es algo gritón y molesto,0.28515422,0.04603579479950667,0.35860264,0.8013120293617249,3,porque para mi el pelo que tiene la pelota es como lo corajudo que es mi tío y por sus corajes se ha convertido en una pelota de pelos,0.34119514,0.03685001055992395,0.54059035,0.8758689388632774,1,tal vez sea por su color,1.0,0.04503357782959938,0.7551792,0.8323812335729599,2
99,significa que reclama o llora mucho,0.18409978,0.04623074087004208,0.2624497,0.9013376360138258,3,por que,False,False,False,False,3,por que una moneda tiene forma de circulo y están hechos de plata,0.24086995,0.048278123682092486,0.4001332,1.0194056282440822,1
100,que el hermanito grite mucho,0.19436654,0.04411523922934756,0.25886238,0.8907904103398323,3,porque por lo regular los peluches son peludos,0.22329034,0.04288744105535258,0.35249937,0.9255895788470904,3,que esa persona es muy valiosa por eso es la pelota de plata ,0.26405028,0.04977813715466112,0.4881376,0.9103140663355589,3
101,que se hunde en el llanto,0.20123413,0.04545767899602652,0.2528135,0.9409906752407551,3,sueltan pelos,0.21728697,0.04407434700564481,0.30644915,0.8472241312265396,1,mis gata es plateada,0.2626722,0.05348435789346695,0.2994789,0.977941457182169,2
102,que su hermano grita mucho todo el tiempo,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque esta bien peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,1,bueno puse que el es una pelota de plata porque fue lo mas coherente que se me ocurrió poner,0.29699564,0.04579127773513218,0.46525276,0.842435951034228,1
103,que su hermanito grita mucho,0.65836585,0.04421025041989237,0.8131853,0.853979617357254,3,por que tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,por que es dura de lidiar,0.09665418,0.049651775509119034,0.052055866,1.2237169593572617,2
104,porque es bien gritón,0.3236592,0.04827113449573517,0.3236592,0.8502195775508881,3,por que tienen pelo en todo el cuerpo,0.5560981,0.023303654044866562,0.7686744,0.9168445728719234,3,que esta hecha de plata,0.2282454,0.047947317910194395,0.38089395,0.9673409201204777,1
105,por que siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que esta llena de pelos,0.21512955,0.04497552385138907,0.28407735,0.8583195209503174,3,que soy muy brillante,0.19955546,0.04595272449858652,0.15748522,1.0087824240326881,2
106,por que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que las cabezas parecen pelotas y tienen pelo,0.4451414,0.03267893331053926,0.63443124,0.8886721655726433,1,tus ojos son una pelota de plata,0.28191695,0.04781558402526278,0.43802366,0.9041257177790006,3
107,por que llora mucho,0.24942526,0.04764505103230476,0.24942526,0.9103724360466003,3,por los pelos que tiene parece que esta esponjado,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,2,las plantas son pelotas,0.24409948,0.047218985855579376,0.18921462,0.9914383888244629,1
108,es un niño que se la pasa gritando y llorando todo el día,0.20748621,0.04381652336497046,0.3368185,0.834159268066287,3,tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,puede ser una moneda por que existen monedas de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
