Respuesta,Puntaje
que su hermano grita y llora mucho,3
que mi hermanita grita,3
grita siempre me grita,3
que un nino llora y grita cuando no le hacen caso o algo asi,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que su hermano es muy enojon,3
que su hermano grita,3
porque es muy escandalosa,3
que se la pasa gritando,3
grita mucho,3
que su hermano siempre esta gritando,3
que es un griton,3
porque llora y grita y hace berrinches,3
mi hermanito es un nino que es de lo mejor de lo mejor,3
porque grita muchas veces,3
mi hermano es un griton,3
que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos ,3
que mi hermana es una persona de gritos,3
que su hermana todo el tiempo grita,3
que mi hermano grita mucho,3
que su hermano grita mucho,3
que llora y grita mucho,3
no es una pelota de gritos es namas una pelota para jugar.,1
que mi hermanito esta triste ,3
que mi hermano pequeno grita muchisimo,3
que mi hermanito grita mucho,3
porque su hermano grita mucho o todo el dia,3
que mi hermano nunca deja de gritar,3
que llora. que grita,3
que el hermanito bebe siempre grita,3
mi hermano grita mucho,3
porque todo tiene que ser una pelota,1
que mi hermano grita mucho,3
mi hermano se la pasa gritando,3
que los ninos chicos gritan mucho,3
porque es latoso,3
no para de gritar. o sea yo ,3
que mi hermanito grita mucho,3
bueno si es bebe si y  si no tambiengrita y grita,2
que su hermano es griton ,3
0,0
que su hermano es griton ,3
que su hermano es griton ,3
porque grita mucho,3
NS,1
porque cuando quiere algo y no se lo das empieza a llorar y gritar,3
que su hermano es griton ,3
que su hermano es griton ,3
su hermano es un nino muy griton,3
porque grita mucho,3
que su hermano es griton ,3
que su hermano es griton ,3
que su hermano es griton ,3
que es una pelota de gritos,1
que su hermano es griton,3
que su hermano es griton*,3
es una pelota muy gritos,1
que su hermano es griton*,3
no ,1
que su hermano es griton*,3
que su hermano es griton *,3
que su hermano es griton ,3
que su hermano es griton ,3
que su hermano es griton *,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que su hermano es griton*,3
que mi hermanito tiene una pelota de gritos,2
que su hermano es griton*,3
que su hermano es griton*,3
un hermanito chiquito es un bebe que llora por comida. leche o que le cambien el panal.,3
su hermano grita mucho,3
los ninos pequenos gritan mucho *,3
que grita mucho,3
su hermano grita mucho *,3
mi hermano grita mucho,3
que su hermano es gordito como una pelota y que su hermano grita mucho,3
que su hermanito grita mucho,3
que su hermanito grita mucho,3
que el grita mucho,3
es que su hermanito es igual a una pelota que grita mucho,3
porque grita mucho. pero te agrega pelota,2
que su hermano grita mucho *,3
que grita mucho,3
que su hermano llora mucho *,3
que su hermano grita mucho *,3
mi hermano grita mucho *,3
que su hermano grita mucho *,3
que su hermano grita mucho *,3
qu tu hermano grita mucho*,3
mi hermano grita mucho,3
que grita mucho*,3
que grita mucho*,3
que su hermano grita mucho *,3
que su hermano llora mucho *,3
que su hermano grita mucho *,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
NS,1
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano tiene una pelota de gritos,1
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermanito tiene una pelota de gritos,1
es una presion,2
la pelota tiene gritos,1
mi hermano grita mucho,3
mi hermano grita mucho,3
mi hermano grita mucho,3
que su hermana es una pelota de gritos,1
que su hermano grita mucho *,3
que su hermano grita mucho ,3
que su hermano es una pelota y que grita,2
que grita mucho,3
porque grita cada rato,3
que grita mucho,3
que su hermano grita mucho,3
que su hermano grita o llora mucho*,3
qu su hermano grita mucho*,3
fer rovin,1
que grita,3
que es gritona,3
que su hermano grita mucho,3
que su hermano grita,3
que grita mucho*,3
que su hermano es una pelota y grita para que lo ayuden,3
que grita mucho*,0
el nino siempre esta gritando,3
que esta gordito y grita mucho,3
que el hermanito grita todo el dia*,3
que su hermano grita mucho,3
es decir. que grita el hermanitp y la pelota,2
que su hermano grita mucho*,3
mi hermano grita mucho*,3
porque es gordito y grita mucho*,3
que grita mucho,3
mi hermano grita mucho*,3
que grita mucho*,3
que grita mucho todo el tiempo. es porque esta feliz,3
a mi me gusta jugar futbol con la pelota porque suena,2
mi hermano grita mucho,3
que cuando quiere algo grita o cuando juega grita mucho,3
porque es muy griton. muy latoso.,3
que su hermano grita mucho*,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que como su hermanito grita mucho. tiene una pelota de gritos,2
porque grita mucho y la pelota al rebotar suena,2
mi hermano grita mucho*,3
mi hermano grita mucho*,3
que siempre grita,3
chilla mucho cuando no tiene lo que quiere,3
que grita mucho,3
que su hermanito es muy griton,3
que siempre esta gritando,3
que tiene muchos granos ***,1
mi hermano grita mucho,3
que grita mucho y es muy travieso,3
que hace mucho berrinche o emocion,3
mi hermano grita mucho o simplemente llora mucho*,3
que su hermano esta gordito y grita mucho,3
al decir pelota puede que sea que brinca mucho y grita,1
porque no le gusta que rebote la pelota,1
que su hermano grita mucho*,3
que llora de todo porque es muy pequeno,3
mi hermanito grita mucho,3
porque reganan mucho los hemanos,3
su hermano grita mucho*,3
mi hermano grita mucho*,3
es porque siempre grita,3
que su hermano grita mucho,3
mi hermano grita mucho*,3
que grita mucho,3
su hermano es griton*,3
que su hermanito tiene guardado muchos gritos,3
mi hermano grita mucho*,3
que su hermano grita mucho,3
que su hermano es griton*,3
que mi hermano es muy escandaloso,3
que su hermano grita mucho*,3
que su hermano grita mucho,3
puedes decir que su hermanito es algo gordito y grita mucho,3
que su hermano a cada rato grita,3
que grita mucho y llora,3
quiere decir que el hermano grita constantemente,3
que mi hermano menor grita todo el tiempo,3
que mi hermano grita mucho,3
que su hermanito es el que grita mas en su casa,3
que su hermano grita mucho,3
que mi hermano es griton*,3
porque no para de gritar,3
que grita sin parar con una pelota,2
que los ninos chiquitos hacen mucho berrinche,3
que su hermano es muy griton*,3
que su hermanito grita demasiado,3
mi hermanito es muy griton,3
que grita mucho,3
mi hermanito es de berrinches,3
que su hermano grita mucho*,3
que su hermano grita mucho,3
mi hermano brinca mucho y llora de a gritos,3
que grita mucho*,3
es como si su pelota hace mucho ruido por eso dice. es una pelota de gritos,2
porque mi hermanito es gordo de muchos gritos,3
que su hermano siempre esta gritando y saltando,3
que su hermano grita mucho,3
quiere decir que su hermanito grita mucho en casa,3
que a su hermano le gustan los gritos,2
que su hermano grita mucho,3
que el hermano es ruidoso,3
que es una persona que no para de gritar,3
que su hermano grita mucho*,3
su hermano grita mucho*,3
su hermano es griton*,3
que su hermanito cuando llora. grita,3
mi hermano grita mucho*,3
creo que quiere decir que mi hermano grita mucho pero la parte de la pelota no la entiendo,2
quiere decir que su hermano grita mucho,3
el hermano siempre esta gritando como una pelota que siempre rebota,3
porque mi hermanito es muy latoso,2
que su hermano grita mucho,3
mi hermano grita mucho*,3
que no para de llorar ni  quejarse y llorar y a cada rato esta gritando,3
por que hace mucho ruido,3
"que es un hermano que grita mucho, mas de lo normal :v",3
que es una persona gritona,3
porque el nino grita mucho,3
es muy griton,3
que grita todo el tiempo,3
que su hermano es un griton,3
porque su hermanito sube demasiado la voz,3
se refiere a que el hermano grita y el poeta ve a mundo como pelotas,3
porque talves su hermano grita mucho,3
por el grita,3
que no se esta en silencio jajajajaja,3
que su hermano puede gritar por que no tiene una pelota de pelos,3
como esta pequeno da lata,3
que es bien yoron,3
cuando al hermano no le compran nada se pone gritar,3
que su hermano es una pelota que grita,3
que grita mucho,3
que abla mucho o grita,3
que la nina se la pasa llorando o asiendo berrinche :v,3
por que grita mucho,3
que grita mucho,3
de que su hermano grita mucho,3
por que grita,3
por que no habla en voz baja,3
por que grita mucho,3
mi hermanito grita mucho,3
es gordito y grita mucho,3
por que el el hermano es u nino pequeno,3
que hay muchos gritos,3
que exagera al hacer berrinche,3
nolo se xd,1
que llora mucho :v,3
grita,3
por que es dibertido,3
que cada q lo tocan hace un grito,2
que su hermanito tiene muchas energias para gritar,3
que mi hermanito no para de gritar,3
que su hermano grita mucho,3
que su hermano es alguien que grita mucho,3
q cuando le pegan el se pone a gritar,2
porque se la pasa gritando el pensativo ajajjajaj,2
que grita mucho,2
mi hermano etsa muy gordo y se la pasa gritando.,1
si porque frita mucho,1
que enpieza a gritar,1
por que chilla mucho,1
no,1
que mi hermano en redondo y grita mucho,1
porque los hermanos lloran mucho,1
no,1
qu su hermano se la pasa gritando osea es un desastroso,3
explica que el hermano grita mucho e inquieto,3
13fg,0
es griton,3
que su hermanito es gordo y grita mucho,3
se refiere a que el hermanito siempre grita,3
por que su hermano solo grita,3
que su hermano chico grita mucho o habla mucho,3
"que grita, o llora mucho por eso es una pelota de gritos",3
que su hermano no se para de quejar a cada rato anda gritando,3
que es un nino que grita mucho,3
por que el grita,3
que su hermano puede gritar por que tiene una pelotas de pelos,2
grita mucho,3
que es lloron,3
que tiene muchos sentimientos,2
que grita mucho,3
que tu hermano grita mucho y me desespera creo que eso dice la frase de pelota de gritos supongo,3
que el siempre grita,3
por que los hermanitos son muy molestones,2
de que el hermano nada mas se la pasa gritando y eso molesta,3
que su hermano grita todo el tiempo,3
porque grita mucho,3
que es un griton,3
que grita mucho,3
por que esta gordo y gita,3
que es un ruidoso,3
que da mucha lata,2
que su hermanito grita mucho,3
por que gryta mucho mi ermanito,3
por que mi hermanito grita mucho,3
que su hermano grita mucho,3
que es fastidioso,1
una pelota mu enojada,1
no see,0
que es muy platicon,2
que es muy berrinchudo,3
mi hermanito es un nino de gritos,3
xk su hermano simpre grita,3
que su hermano es muy gordo y grita mucho,3
mi hermano es muy griton,3
que es alguien muy griton,3
el hermano es muy inquieto,2
porque los ninos son muy escandalosos,3
la forma de expresar a un ser por medio de palabras metaforicas,3
que su hermano es una persona que grita mucho,3
por que grita mucho y salta mucho,3
tal vez por que es algo griton y molesto,3
significa que reclama o llora mucho,3
que el hermanito grite mucho,3
que se unde en el llanto,3
que su hermano grita mucho todo el tiempo,3
que su hermanito grita mucho,3
poequ es bien griton,3
por que siempre grita,3
por que grita mucho,3
por que llora mucho,3
es un nino que se la pasa gritando y llorando todo el dia,3
por que chillan mucho o gritan mucho exageran,3
que su mama es una persona muy gritona,2
q no entisende,1
por que se la pasa gritando,3
porque grita mucho,3
su hermano es un nino que grita mucho,3
que es muy ruidoso,3
es una maquina o bien alguien que grita demasiado,3
pirhhhhgvfriufueiituj,1
por que llora o le hacen algo,3
puen que su hermana grita mucho,3
NS,1
and fort,1
que grita mucho,3
porque grita mucho,3
mi hermano grita mucho,3
que grita demasiado,3
que su hermanito siempre esta gritando y hace mucho ruido,3
que su hermano es una persona muy ruidosa,3
siempre grita,3
quiere decir que todo el tiempo esta gritando sin parar,3
"que su hermanito es muy griton, que su hermanita esta muy loco",3
que grita mucho,3
quiere decir que su hermano grita mucho.,3
que grita,3
que mi hermano tiene mucha energia,3
que es muy pequeno y grita,3
que es pequeno y que grita mucho,3
que es muy gritona,3
no para de gritar,3
que grita,3
que mi hermano grita mucho,3
pues que al parecer su hermano grita mucho pero no entiende la metafora de pelota,3
que su hermano grita mucho.,3
se refiere a que es una persona que grita,3
que su hermano hace mucho escandalo,3
que hecha mucho relajo,3
porque su esta loco,2
que grita demasiado,3
es que su hermano es muy imperactivo,2
que el hermano se la pasa gritando,3
que hace mucho escandalo,3
que es muy alborotado,2
que siempre se la pasa gritando,3
que es gordito y grita mucho,3
que siempre grita,3
mi hermanito es gordito y es griton,3
que grita,3
que su hermano siempre esta gritando.,3
que no para de gritar,3
que su hermano grita mucho y no sale de su circulo,3
un humano gordo que no para de chillar,3
que grita mucho,3
que grita mucho,3
que su hermano se la pasa gritando,3
"que grita mucho, que da mucha lata",3
mi hermano grita,3
quiere decir que su hermano grita mucho,3
pues que grita mucho y tal vez al hablar grita.,3
que el nino es un nino que grita mucho,3
que el hermano grita como una pelota que esta botando,3
es alguien que grita o habla demasiado,3
que siempre grita,3
de que su hermano o es un quejumbroso o es un lloron,3
que se la pasa gritando,3
tiene sobrepeso,2
que todo el dia esta hablando y grtando,3
que es un nino gordo que grita por todo o su tono de voz es fuertealto,3
porque grita demasiado,3
si,1
que grita mucho,3
que el hermano siempre esta gritando entonces es un conjunto de gritos.,3
solo grita,3
que grita mucho,3
que me hermano grita mucho,3
mi hermano es un griton,3
que su hermano grita o hace mucho ruido,3
que grita mucho,3
por que grita mucho,3
que grita mucho,3
que siempre esta gritando.,3
que o se mueve mucho porque es una pelota o que es muy ruidoso.,3
que su hermano esta chiquito y grita mucho,3
que mi hermano grita mucho,3
NS,1
significa que es una nino muy chillon y que normalmente se desespera y grita,3
que tu hermano grita mucho y esta gordo,3
que su hermano es muy griton,3
que grita mucho,3
quiere decir que su hermano es un nino que grita,3
que grita en exceso,3
mi hermano es alguien que no para de gritar y hablar,3
que su hermanito es un griton y llora todo el dia como la llorona,3
alguien que grita,3
que tu hermano grita mucho,3
el hermano representa a un infante en plena etapa de inocencia y escandalo,3
que tu hermano grita mucho,3
que grita mucho,3
porque no deja de gritar,3
que hace mucho escandalo y no se puede quedar quieto,3
es un ser que grita mucho,3
que esta muy irritanto,3
que su hermano es gordito y redondo y esta constantemente gritando,3
es una machina a gritar,3
su hermano grita mucho,3
mi hermano grita mucho,3
que nunca deja de hablar,3
que es un nino gordito que se la pasa gritando,3
que los ninos son demasiados inquietos y ruidosos,3
que su hermanito grita mucho,3
que su hermando es un nino travieso,3
que su hermano grita mucho.,3
es decir que tu hermanito es un griton,3
que siempre esta llorando o gritando,3
que es un dolor de cabeza,3
invalida x sistema,0
que todo el tiempo grita mucho,3
que siempre hace berrinche y grita para tener lo que quiere,3
que es un nino muy inquieto,3
quiere decir que su hermanito grita mucho,3
que mi hermano le encanta cantar,3
que grita mucho todo el tiempo,3
es una ternura,3
por que esta gordito y es muy griton,3
por que son muy ruidosos.,3
que grita mucho,3
que su hermano grita mucho,3
que el hermanito es muy ruidoso,3
mi hermanito me estresa cada bes que grita.,3
que su hermanito grita mucho,3
que un nino es muy ruidoso,3
que mi ermano grita mucho,3
su hermano grita o llora mucho y asi es como la autor@ se refiere a el en el sentido literario,3
por que siempre grita,3
por que los ninos pequenos por lo regular gritan por todo,3
q es chillon,3
que es un bb,3
que siempre grita,3
que mi hermanito grita mucho,3
al hermano lo representa como una pelota y el grita mucho,3
porque el grita mucho o muy fuerte,3
que todo el tiempo llora y grita,3
que su pelota es la mejor,1
mi hermano es una persona que grita todo el tiempo,3
es un nino,2
por que grita,3
mi hermanito grita mucho,3
mi hermano grita demasiado,3
que es muy inquieto,3
q asu hermano le gustan los grillos alv,3
por que grita mucho,3
que mi hermono grita mucho,3
por que es gordo y le gusta cantar,3
quiere decir que su hermano grita mucho,3
que grita demasiado,3
que mi hermano grita y grita sin parar y sin sentido,3
que los ninos son muy energeticos y tienden a gritar mucho.,3
osea que su hermano grita mucho,3
es cuando mi hermano siempre esta llorando o gritando,2
que hace ruido,2
que cada bote que da es un grito de mi hermano,1
que su hermano se la pasa gritando,2
por siempre mete goles,1
quiere decir mi hermanito todo el tiempo grita,2
que el hermano se la pasa gritando,2
que es muy grito,2
que su hermano es una latoso,1
que llega a gritar mucho,2
que es muy gritos,2
que mi hermano grita mucho y ase esallar alas personas,1
q es fastidioso,1
que grita mucho,1
ya es grande y grita,1
que grita mucho,1
que se la pasa gritando todo el tiempo,2
q mi hermana grita,1
que mi hermanito es muy griton,3
por que grita mucho,3
se refiere a que su hermano es una persona gritona,3
quiere decir que los ninos gritan mucho,3
que es muy la toso,3
que es bien gritano,3
su hermano es un bebe que grita y llora mucho,3
que esta gritando su hermano,3
que el hermanito grita mucho,3
que mi hermanito siempre grita,3
que su hermano siempre grita,3
"quiere decir que su hermano grita mucho, es una metafora",3
lo que yo entiendo es que su hermano grita mucho y a eso se refiere.,3
se refiere a que su hermano grita mucho,3
quiere decir que su hermano grita mucho.,3
que su hermano es muy lloron y enojon y de todo grita,3
qwee,0
por que regana al hermano menor,2
que es una persona que grita mucho,3
"cuando a alguien se le dice pelota, la mayoria de veces es porque tratan de decirle gordoa asi que supongo que trata de decir que su hermano es un gordo griton",3
que es una persona inquieta,3
porque grita mucho,3
que siempre que se mueve hace demasiado ruido,3
que con cualquier cosa se altera y grita,3
por que no esta quieta,2
que mi hermanito grita mucho en casa,3
"pues ami entender, la persona se esta haciendo una referencia de la pelota con su hermano, que es inquieto, entre otras cosas.",3
que a mi hermano le gusta gritar o hablar mucho y muy fuerte,3
que es muy fastidioso,3
grita mucho,3
por lo que entiendo es que un nino tiene una pelota que es super fantastica,1
por que los ninos gritan cuando estan pequenos,3
que mi hermano se parece a una bola de pelos,1
pues k es como muy lida conmigom y k parese algo muy tierno la pelota de pelos como mi sister,1
que tiene un hermanito que grita mucho es muy imperactivo,1
que el hermano grita mucho,3
siempre grita,3
quiere decir que el nino es muy griton cuando juega la pelota,3
grita mucho,3
que el nino grita mucho y este se expresa mas comun de esta forma,3
por que quiere decir que el hermano es muy griton,3
ththt,0
que grita mucho,3
moleta mucho,2
es su apodo,1
que su hermano tiene muchos grillos,1
que grita mucho y el piensa que es una pelota,3
es muy latoso,1
que esta gordito y se la pasa gritando,3
que se la pasa gritando,3
que el tiene la peota y no se la quieren dar y grita,3
yo supongo que quiere decir que es un nino que grita bastante como un nino de 5 o 4 anos,2
mi sobrina,1
que mi hermanito es muy griton,3
que mi hermano grita mucho,3
que grita mucho mi hermano,3
quiere decir que mi hermanito grita demasiado,3
pues se refiere a que tu hermana es la otra parte para ti,1
mi hermano grita muho como bota una pelota,3
que grita mucho,3
se la pasa gritando,3
que su hermano grita mucho o es muy ruidoso,3
que su hermano grita mucho,3
que su hermano grita mucho,3
"mi hermano es muy griton,escandaloso y travieso",3
que mi hermano siempre esta gritando,3
que su hermano es un nino super griton,3
que los hermanos te pueden molestar o normalmente te peleas con ellos,3
mi hermano cada vez que grita se vuelve muy constante,3
un nino que siempre trata de llamar la atencion con gritos.,3
que su hermano grita mucho,3
por molesto y castroso,3
que su hermanito grita mucho.,3
que es un nino gordito como pelota que grita mucho,3
la referencia da a que el hermano grita mucho pero es como si le hubieran puesto como tipo sobrante pelota,2
que es muy griton,3
que se altera rapido,3
que siempre grita por todo,3
mi hermanito en un nino que grita mucho,3
que su hermano grita mucho,3
que siempre grita mucho,3
que el nunca deja de gritar,3
"simplemente que su hermano es una persona muy gritona, pelota se refiere a cabeza.",3
que esta gordo y le gusta gritar,3
mi hermano grita por todo,3
que los ninos pueden hacer mucho ruido,3
es muy ruidoso,3
a qiere,1
por que grita a cada rato,3
que grita mucho,3
por que siempre esta gritando,3
que su hermano se la pasa gritando,3
que es una persona muy reganona y grita,3
que para mi es muy latoso,3
mi hermano grita mucho,3
q mi hermanito es muy griton en forma de pelota,3
que siempre esta gritando,3
que el hermano es muy expresivo,3
que llora mucho,3
que grita mucho,3
que siempre anda brincando y gritando,3
que su hermano grita mucho,3
el nino grita mucho o habla de mas,3
que su hermanito grita mucho,3
es una persona gordita que grita,3
se refiere a que su hermano es muy inquieto.,3
que el nino es muy griton,3
que es una persona que siempre grita.,3
puede ser que el hermanito este pequeno y nunca deja de llorar y gritar por todo lo que le hacen o le pasa.,3
porque no para de gritar o de molestar,3
que su hermano grita mucho.,3
una persona gorda que grita mucho,3
"que grita por todo, cada que rebota",3
porque el grita mucho,3
que por cualquier cosa llora y grita,3
que se la pasa gritando.,3
talvez que sienpre esta corriendo o no se esta em paz,3
porque esta chiquito grita mucho,3
que tu hermano no para de gritar y es un escandaloso.,3
que es un nino muy griton,3
es un nino muy griton,3
su hermano grita todo el tiempo y es una pelota porque se esta ocupando como una alternativa,3
mi hermano es muy escandaloso,3
que a cada rato esta gritando,3
que grita mucho,3
por que no se calla,3
que tu hermano grita mucho,3
que grita mucho,3
su hermano solo grita,3
esta lleno de gritos,3
llora o grita mucho,3
"describe como es el hermano,quiere decir que grita mucho",3
que solo grita mucho,3
que grita mucho,3
que su hermano menor grita mucho,3
que esta lleno de gritos listos para salir,3
que esta molestando,2
que es muy escandaloso o ruidoso,3
porque tal vez tu hermano es un griton y es lo unico que hace,3
significa que es una persona que grita demasiado,3
significa que su hermano es muy escandaloso,3
se refiere a que su hermano siempre grita,3
que su hermano grita mucho,3
que su hermano grita mucho,3
que al ser pequeno llora y grita mucho,3
que grita mucha probablemente porque es menor,3
que su hermano es muy griton,3
un nino gordo que hace mucho ruido,3
que siempre esta gritando,3
pq se espanta muy facil y salta al mismo tiemmpo que gfrita,3
que grita muy fuerte y grita todo el tiempo.,3
que su hermano tiende a gritar mucho,3
que se refieren a que la pelota representa su hermano y como su hermano grita mucho esa es la accion que representa a su hermano,3
"su hermano debe ser un nino pequeno, y por lo general los ninos pequenos gritan cuando hacen berrinches. tambien puede ser un bebe su hermano y pues los bebes lloran.",3
porque esta gordo y grita demasiado,3
la pelota significa su impratividad osea como *rebotar* y los gritos representa el ruido que hace,1
que su hermano no deja de gritar,3
gritan mucho,3
que grita demaciado,3
que el nino grita mucho tiempo continuo.,3
significa que su hermano llora y gritos mucho,3
que su hermano es muy griton,3
que se grita siempre llora y grita.,3
"que su hermano es muy desastroso, que grita mucho",3
que el hermano del autor es alguien que se expresa mucho y de manera demandante.,3
"su hermano se grita y trata como pelota(salta, bota)",3
que es muy escandaloso,3
que el hermano grita mucho.,3
el molesta facilmente,3
su hermano grita mucho,3
que su hermano grita mucho,3
quiere decir que siempre pega gritos,3
una persona que grita,3
el hermano que grita.,3
que es alguien que no para de gritar,3
"quiere decir que los hermanos se gritan y lloran porque son menores en las casas, y se comparo en una pelota.",3
that maybe her sister always screams to her,3
que es un bebe que grita mucho,3
que siempre esta gritando,3
que no deja de gritar,3
mi hermanito grita mucho.,3
puede significar que el hermano es ruidoso.,3
que grita mucho,3
"esta usando la palabra pelota para todo, asi ue podemos pensar que su hermanito simplemente es muy griton",3
es un nino que grita mucho,3
