,que mi hermanito grita mucho,limpio,similarity,wmdistances,n_similarities,distance,1
50,porque esa pelota esta muy poco inflada,"['pelota', 'inflada']",0.36652145,0.046571657303211965,0.40923604,0.930337518453598,1
51,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
52,una persona que grita mucho,"['persona', 'grita']",0.69413954,0.03124313810532369,0.6832276,0.8396872282028198,3
53,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
54,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
55,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
56,es un nino griton,"['niño', 'gritón']",0.3431229,0.04629898084522524,0.53251815,0.8067933395504951,3
57,que mi hermanito grita mucho,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
58,que es griton,['gritón'],0.25820884,0.04433506860914729,0.357207,0.7952935248613358,3
59,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
60,que su hermano es muy griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
61,mi hermano siempre grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
62,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
63,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
64,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
65,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
66,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
67,que es un gordito que grita,"['gordito', 'grita']",0.69620055,0.031042735982137217,0.6558389,0.8245304971933365,3
68,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
69,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
70,que mi hermano es griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
71,porque se expresa de manera en la que es como llora mucho,"['expresa', 'llora']",0.32419956,0.04263439703496605,0.4537499,0.8595235496759415,3
72,que es gordo y grita mucho,"['gordo', 'grita']",0.57035685,0.031659394037703396,0.5093061,0.9723247308284044,3
73,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
74,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
75,que a cada rato grita,"['rato', 'grita']",0.70603997,0.03229101933081209,0.6714142,0.8547987341880798,3
76,que el hermano es una persona gritona,"['hermano', 'persona', 'gritona']",0.30144352,0.046909271960023535,0.44833302,0.9104298986494541,3
77,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
78,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
79,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
80,mas o menos le entendi,['entendi'],False,False,False,False,1
81,que es muy enojon,['enojón'],0.33239627,0.04404902114655238,0.3514654,0.8508727848529816,3
82,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
83,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
84,NS,['NS'],False,False,False,False,1
85,que los bebes lloran,"['bebés', 'lloran']",0.38083455,0.045082745570405945,0.5589644,0.7740065604448318,3
86,que mi hermano grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
87,que su hermano tiene una cabeza redonda y siempre grita,"['hermano', 'cabeza', 'redonda', 'grita']",0.38011774,0.034061433728890936,0.5187576,0.9704639138653874,3
88,que grita,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
89,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
90,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
91,mi  hermano bebe chilla y grita mucho,"['hermano', 'bebé', 'chilla', 'grita']",0.46893442,0.035840758140309785,0.6354011,0.8834671834483743,3
92,que mi hermano siempre grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
93,que tu hermano cada vez que salta grita,"['hermano', 'salta', 'grita']",0.43737352,0.03127747521367774,0.48212928,0.970213041951259,3
94,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
95,mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
96,que mi hermanito siempre grita y no suelta la pelota,"['hermanito', 'grita', 'suelta', 'pelota']",0.66324174,0.022700354144887167,0.7864597,0.9086000267416239,3
97,que su hermanito grita pelotas pelotas,"['hermanito', 'grita', 'pelotas', 'pelotas']",0.6236358,0.022699591569409674,0.68856335,0.8684853259474039,1
98,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
99,circular comelona,"['circular', 'comelona']",False,False,False,False,2
100,su hermano grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
101,(dormido),['dormido'],False,False,False,False,1
102,que grita demasiado,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
103,mi hermana es una pelota de risa,"['hermana', 'pelota', 'risa']",0.39508557,0.04572702498750732,0.60870826,0.8413876816630363,2
104,NS,['NS'],False,False,False,False,1
105,que ese hermanito llora mucho y grita mucho,"['hermanito', 'llora', 'grita']",0.7835988,0.016817634944048948,0.7636749,0.8870404089490572,3
106,que es muy gritona,['gritona'],0.32540452,0.04616129726975682,0.24782684,0.9303606376051903,3
107,que mi  hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
108,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
109,que su hermano es griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
110,que llora y grita cuando necesita algo,"['llora', 'grita', 'necesita']",0.5242655,0.02966028741343541,0.6273056,0.8836028923590978,3
111,que es muy divertido y grita mucho,"['divertido', 'grita']",0.61459863,0.03071336087877756,0.57660484,0.9144903644919395,3
112,que es muy gritona,['gritona'],0.32540452,0.04616129726975682,0.24782684,0.9303606376051903,3
113,porque esta gordito y es griton,"['gordito', 'gritón']",0.32530499,0.04471863764685471,0.5462071,0.7626022771000862,3
114,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
115,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
116,si ,[],False,False,False,False,1
117,si que es un bebe y que le meten un ladrillo por  la boca para callarlo,"['bebé', 'meten', 'ladrillo', 'boca', 'callarlo']",0.2841019,0.049675040926066796,0.33052778,0.9056352525949478,1
118,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
119,porque grita,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
120,si porque tal vez asi es y les guste decirle asi,"['guste', 'decirle']",0.23021205,0.04399195253924749,0.36496097,0.9275513403117657,1
121,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
122,NS,['NS'],False,False,False,False,1
123,de que mi pelota es muy gritona commo mi hermano,"['pelota', 'gritona', 'commo', 'hermano']",0.29419097,0.04612579328848892,0.3854341,0.967134241014719,1
124,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
125,que mi hermanito grita mucho,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
126,que mi  hermano siempre grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
127,que el hermano siempre grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
128,que su hermano rueda,"['hermano', 'rueda']",0.19064693,0.050025113177485155,0.14036883,1.0407045669853687,2
129,que su hermanito grita mucho,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
130,que es griton y juega con una pelota,"['gritón', 'juega', 'pelota']",0.29335824,0.044227735821439684,0.4913438,0.8605688561995825,2
131,que es muy jugueton y grita mucho,"['juguetón', 'grita']",0.668899,0.03190325356492228,0.62060857,0.951077975332737,3
132,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
133,tu hermanito satltara y saltara y no tiene sentido,"['hermanito', 'satltara', 'saltara', 'sentido']",0.6282368,0.030961208746612814,0.5837724,0.9103646837174892,2
134,que su hermano no para de gritar,"['hermano', 'gritar']",0.30942032,0.04890670922873508,0.43793315,0.9036710057407618,3
135,que cuando juega con la pelota grita,"['juega', 'pelota', 'grita']",0.540622,0.029724556052239972,0.64511317,0.9018543362617493,2
136,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
137,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
138,que no puede haber pelotas asi,['pelotas'],0.24727169,0.044247946640098054,0.336475,0.8215424716472626,1
139,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
140,que cuando rebota suena como un grito,"['rebota', 'suena', 'grito']",0.31507936,0.04553959273200396,0.31875324,0.990903839468956,2
141,que mi hermanito siempre grita a cada segundo,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
142,una pelota de gritos porque los bebes siempre lloran. gritan. eructan y muchas mas cosas,"['pelota', 'gritos', 'bebés', 'lloran', 'gritan', 'eructan']",0.36392567,0.04470343441230647,0.6620515,0.7851707662145296,3
143,que su hermano grita mucho y le gusta saltar,"['hermano', 'grita', 'gusta', 'saltar']",0.47744557,0.03741280571281439,0.6791901,0.8789581181481481,3
144,o sea que chilla mucho,['chilla'],0.4009888,0.04797249944392849,0.53725517,0.6683789491653442,3
145,que su hermano grita bien alto,"['hermano', 'grita', 'alto']",0.4827268,0.030714569972118334,0.5826529,0.9383040231962999,3
146,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
147,pues se refiere a que su hermanito es muy griton o grita mucho,"['refiere', 'hermanito', 'gritón', 'grita']",0.6831845,0.02331582765044576,0.8007205,0.8447710182517767,3
148,que su hermano grita o llora todo el dia,"['hermano', 'grita', 'llora']",0.51381445,0.03061853086563629,0.5685067,0.9300397994617621,3
149,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
150,porque le encanta gritar,"['encanta', 'gritar']",0.40947315,0.05076217060341067,0.57707816,0.7933090031147003,3
151,que es muy griton,['gritón'],0.25820884,0.04433506860914729,0.357207,0.7952935248613358,3
152,que su hermano es chillon o griton,"['hermano', 'chillón', 'gritón']",0.23129669,0.04501031862769467,0.43029892,0.9097956232726574,3
153,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
154,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
155,que cuando grita es que quiere algo,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
156,mi hermanito grita porque se eleva la pelota,"['hermanito', 'grita', 'eleva', 'pelota']",0.7888405,0.015330262339668685,0.80453837,0.9203979596495628,2
157,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
158,que su hermanito grita y es redondo,"['hermanito', 'grita', 'redondo']",0.74694324,0.015587159406240681,0.78610706,0.8817804132898649,2
159,porque su hermano se la pasa gritando todo el tiempo,"['hermano', 'pasa', 'gritando']",0.2893389,0.04605047241755852,0.49017686,0.855073140313228,3
160,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
161,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
162,que su hermano llora mucho,"['hermano', 'llora']",0.27072164,0.0467760107619966,0.32829186,0.935484716668725,3
163,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
164,que llora mucho y molesta,"['llora', 'molesta']",0.4294014,0.04196412319002136,0.6167488,0.7750433087348938,3
165,que su hermano grita muy fuerte diario,"['hermano', 'grita', 'fuerte', 'diario']",0.45262596,0.03336286688677013,0.5985666,0.9210321912541986,3
166,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
167,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
168,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
169,porque seguramente es un bebe y los bebes gritan y lloran,"['seguramente', 'bebé', 'bebés', 'gritan', 'lloran']",0.37904525,0.04576464479612847,0.66461396,0.7779492616653443,3
170,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
171,creo que es mi hermano pero  grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
172,que hermanito es un griton. chillon. comelon. etc.,"['hermanito', 'gritón', 'chillón', 'comelón', 'etc.']",0.46725422,0.033470448063719654,0.64455706,0.8929485739208758,3
173,que grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
174,que el hermano es travieso y grita mucho,"['hermano', 'travieso', 'grita']",0.5079688,0.031075919107004288,0.5984688,0.9095879159867764,3
175,que su hermano grita mucho y todo lo que dice tiene que ver con pelotas,"['hermano', 'grita', 'pelotas']",0.47930622,0.030479876735191327,0.5668553,0.9271323345601559,3
176,que su hermano grita y llora mucho,"['hermano', 'grita', 'llora']",0.51381445,0.03061853086563629,0.5685067,0.9300397994617621,3
177,que mi hermanita grita,"['hermanita', 'grita']",0.6883217,0.03060988446629692,0.66486883,0.8500299975275993,3
178,grita siempre me grita,"['grita', 'grita']",1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
179,que un nino llora y grita cuando no le hacen caso o algo asi,"['niño', 'llora', 'grita', 'caso']",0.5044847,0.03429003569779863,0.6672342,0.8593752905726433,3
180,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
181,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
182,que su hermano es muy enojon,"['hermano', 'enojón']",0.2615216,0.045843074856741606,0.3113681,0.9457886759191751,3
183,que su hermano grita,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
184,porque es muy escandalosa,['escandalosa'],0.18888973,0.04640232253151736,0.15648094,1.0233860835433006,3
185,que se la pasa gritando,"['pasa', 'gritando']",0.3386849,0.044770748600252604,0.5433742,0.7622574269771576,3
186,grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
187,que su hermano siempre esta gritando,"['hermano', 'gritando']",0.28197762,0.04605592103113118,0.45310497,0.8738200459629297,3
188,que es un griton,['gritón'],0.25820884,0.04433506860914729,0.357207,0.7952935248613358,3
189,porque llora y grita y hace berrinches,"['llora', 'grita', 'berrinches']",0.5190684,0.029419932288693256,0.580693,0.9071934452901284,3
190,mi hermanito es un nino que es de lo mejor de lo mejor,"['hermanito', 'niño']",0.71401846,0.03440907018785714,0.64540523,0.8649997748434544,3
191,porque grita muchas veces,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
192,mi hermano es un griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
193,que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos ,"['hermano', 'chico', 'razonar', 'resuelve', 'gritos']",0.26829123,0.04523143740314827,0.44186503,0.8946618624031544,3
194,que mi hermana es una persona de gritos,"['hermana', 'persona', 'gritos']",0.3940956,0.046721440811083426,0.5966846,0.7611225793759028,3
195,que su hermana todo el tiempo grita,"['hermana', 'grita']",0.7171359,0.0329066861236656,0.6899859,0.8140728622674942,3
196,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
197,que su hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
198,que llora y grita mucho,"['llora', 'grita']",0.6753982,0.030541419526430143,0.6082816,0.8747074156999588,3
199,no es una pelota de gritos es namas una pelota para jugar.,"['pelota', 'gritos', 'namas', 'pelota', 'jugar']",0.36425963,0.04486418406649399,0.48383367,0.8916075080633163,1
200,que mi hermanito esta triste ,"['hermanito', 'triste']",0.62783223,0.03018375070830313,0.62923944,0.8757773078978062,3
201,que mi hermano pequeno grita muchisimo,"['hermano', 'pequeño', 'grita', 'muchísimo']",0.49396497,0.0345486192877648,0.64103866,0.9322490552440286,3
202,que mi hermanito grita mucho,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
203,porque su hermano grita mucho o todo el dia,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
204,que mi hermano nunca deja de gritar,"['hermano', 'deja', 'gritar']",0.2791744,0.04620029983143898,0.45982927,0.8906539045274258,3
205,que llora. que grita,"['llora', 'grita']",0.6753982,0.030541419526430143,0.6082816,0.8747074156999588,3
206,que el hermanito bebe siempre grita,"['hermanito', 'bebé', 'grita']",0.7613673,0.016833821908586302,0.7659948,0.9121638710300127,3
207,mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
208,porque todo tiene que ser una pelota,['pelota'],0.36652145,0.046571657303211965,0.40923604,0.930337518453598,1
209,que mi hermano grita mucho,"['hermano', 'grita']",0.59532344,0.03251764992324526,0.5216429,0.9799272660166025,3
210,mi hermano se la pasa gritando,"['hermano', 'pasa', 'gritando']",0.2893389,0.04605047241755852,0.49017686,0.855073140313228,3
211,que los ninos chicos gritan mucho,"['niños', 'chicos', 'gritan']",0.38880056,0.05270188939441048,0.5881612,0.7150800923506418,3
212,porque es latoso,['latoso'],0.50072277,0.047096124709969926,0.5311873,0.7949573844671249,3
213,no para de gritar. o sea yo ,['gritar'],0.4281937,0.05028127880004235,0.511367,0.7666374444961548,3
214,que mi hermanito grita mucho,"['hermanito', 'grita']",1.0,0.01657326504911003,0.8323351,0.9154281802475452,3
215,bueno si es bebe si y  si no tambiengrita y grita,"['bebé', 'tambiengrita', 'grita']",0.642051,0.03231375954548794,0.6059413,0.9123926088213921,2
216,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
217,0,[],False,False,False,False,0
218,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
219,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
220,porque grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
221,NS,['NS'],False,False,False,False,1
222,porque cuando quiere algo y no se lo das empieza a llorar y gritar,"['das', 'empieza', 'llorar', 'gritar']",0.36907494,0.05096650482387878,0.5585532,0.8176660034805536,3
223,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
224,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
225,su hermano es un nino muy griton,"['hermano', 'niño', 'gritón']",0.29229757,0.04678750596550457,0.47993064,0.884763748695453,3
226,porque grita mucho,['grita'],1.0,0.033521517414720814,0.58479303,0.9191499650478363,3
227,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
228,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
229,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
230,que es una pelota de gritos,"['pelota', 'gritos']",0.36312872,0.04466606836960803,0.49769545,0.8722425028681755,1
231,que su hermano es griton,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
232,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
233,es una pelota muy gritos,"['pelota', 'gritos']",0.36312872,0.04466606836960803,0.49769545,0.8722425028681755,1
234,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
235,no ,[],False,False,False,False,1
236,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
237,que su hermano es griton *,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
238,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
239,que su hermano es griton ,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
240,que su hermano es griton *,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
241,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
242,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
243,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
244,que su hermano es griton*,"['hermano', 'gritón']",0.22442788,0.0461935447698445,0.33011976,0.9179990459233522,3
