,que mi hermanito es muy griton y esta gordito,Preprocesado,2dim,5dim,10dim,20dim,50dim,eval_og
50,porque esa pelota esta muy poco inflada,['pelota'],0.95778096,0.0028287806,0.017764028,0.003773272,0.0025000013,1
51,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
52,una persona que grita mucho,"['persona', 'grita']",0.36185944,-0.0055856146,-0.0010532187,-0.0005060304,0.00016801059,3
53,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
54,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
55,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
56,es un nino griton,"['nino', 'griton']",0.7678471,0.91212857,0.53105754,0.4131614,0.41229376,3
57,que mi hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
58,que es griton,['griton'],0.6898538,0.84970593,0.73243403,0.5821683,0.580258,3
59,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
60,que su hermano es muy griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
61,mi hermano siempre grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
62,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
63,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
64,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
65,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
66,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
67,que es un gordito que grita,"['gordito', 'grita']",0.35802978,0.05655332,0.060150452,0.4050941,0.4052146,3
68,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
69,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
70,que mi hermano es griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
71,porque se expresa de manera en la que es como llora mucho,"['expresa', 'llora']",0.5023791,0.6073383,-0.016304608,-0.0063216332,-0.005615866,3
72,que es gordo y grita mucho,"['gordo', 'grita']",0.3599117,0.037336614,0.03618779,0.002985892,-0.00021830341,3
73,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
74,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
75,que a cada rato grita,"['rato', 'grita']",0.35702512,0.0113442,0.019295953,-0.013758399,0.003445262,3
76,que el hermano es una persona gritona,"['hermano', 'persona', 'gritona']",0.9564916,-0.03816875,-0.027524654,0.0011393875,-0.0006679073,3
77,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
78,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
79,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
80,mas o menos le entendi,[],0.0,0.0,0.0,0.0,0.0,1
81,que es muy enojon,['enojon'],0.9127623,-0.38881242,-0.21775012,-0.0817759,0.0012488319,3
82,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
83,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
84,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
85,que los bebes lloran,"['bebes', 'lloran']",0.7327378,-0.0847512,-0.1154437,-0.009875635,-0.0035302755,3
86,que mi hermano grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
87,que su hermano tiene una cabeza redonda y siempre grita,"['hermano', 'cabeza', 'grita']",0.89752257,-0.0023253635,0.00028882176,-0.0016441643,-0.0041714013,3
88,que grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
89,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
90,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
91,mi  hermano bebe chilla y grita mucho,"['hermano', 'bebe', 'chilla', 'grita']",0.89557916,0.009017363,0.005717598,0.0031113327,0.00020764396,3
92,que mi hermano siempre grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
93,que tu hermano cada vez que salta grita,"['hermano', 'salta', 'grita']",0.8954904,-0.0009171292,0.0018191487,-0.0017302036,-0.0025017112,3
94,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
95,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
96,que mi hermanito siempre grita y no suelta la pelota,"['hermanito', 'grita', 'pelota']",0.30578175,0.42048913,0.42604163,0.33638674,0.33540475,3
97,que su hermanito grita pelotas pelotas,"['hermanito', 'grita', 'pelotas', 'pelotas']",0.2700818,0.5223046,0.49790496,0.38313627,0.23931678,1
98,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
99,circular comelona,[],0.0,0.0,0.0,0.0,0.0,2
100,su hermano grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
101,(dormido),[],0.0,0.0,0.0,0.0,0.0,1
102,que grita demasiado,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
103,mi hermana es una pelota de risa,"['hermana', 'pelota']",0.90588874,-0.0016823858,0.0134678595,-0.006299358,0.0005761571,2
104,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
105,que ese hermanito llora mucho y grita mucho,"['hermanito', 'llora', 'grita']",0.27250522,0.51924646,0.40092698,0.33369645,0.33352992,3
106,que es muy gritona,['gritona'],0.7326035,-0.22074252,-0.026380498,0.011890962,-0.0006639166,3
107,que mi  hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
108,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
109,que su hermano es griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
110,que llora y grita cuando necesita algo,"['llora', 'grita']",0.36063498,0.047573388,0.003625296,0.0004475601,0.00013775751,3
111,que es muy divertido y grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
112,que es muy gritona,['gritona'],0.7326035,-0.22074252,-0.026380498,0.011890962,-0.0006639166,3
113,porque esta gordito y es griton,"['gordito', 'griton']",0.7298637,0.88602936,0.7311522,0.8163937,0.81609267,3
114,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
115,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
116,si ,[],0.0,0.0,0.0,0.0,0.0,1
117,si que es un bebe y que le meten un ladrillo por  la boca para callarlo,['bebe'],0.7387358,0.6817277,0.060368937,0.00958563,0.0012849579,1
118,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
119,porque grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
120,si porque tal vez asi es y les guste decirle asi,['decirle'],0.701623,0.43271354,0.33376095,0.009819519,0.009562202,1
121,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
122,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
123,de que mi pelota es muy gritona commo mi hermano,"['pelota', 'gritona', 'hermano']",0.96067667,-0.012719221,-0.0050247833,0.004906822,0.0007353425,1
124,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
125,que mi hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
126,que mi  hermano siempre grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
127,que el hermano siempre grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
128,que su hermano rueda,['hermano'],0.952985,-0.012327045,-0.014499292,-0.0009427145,-0.0005574301,2
129,que su hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
130,que es griton y juega con una pelota,"['griton', 'juega', 'pelota']",0.81515586,0.60721266,0.52527577,0.3959217,0.3396933,2
131,que es muy jugueton y grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
132,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
133,tu hermanito satltara y saltara y no tiene sentido,"['hermanito', 'sentido']",-0.21951973,0.8617831,0.6854668,0.5712475,0.48050663,2
134,que su hermano no para de gritar,"['hermano', 'gritar']",0.94744873,0.008974247,-0.007869445,0.0010757595,0.0003645271,3
135,que cuando juega con la pelota grita,"['juega', 'pelota', 'grita']",0.3961646,0.021294128,0.03419619,0.0008908361,-0.0031834766,2
136,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
137,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
138,que no puede haber pelotas asi,['pelotas'],0.65876734,0.7065746,0.27338052,0.01941495,0.0014152499,1
139,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
140,que cuando rebota suena como un grito,"['rebota', 'suena', 'grito']",0.9972174,-0.14474621,-0.07411881,-0.11982951,-0.0006241831,2
141,que mi hermanito siempre grita a cada segundo,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
142,una pelota de gritos porque los bebes siempre lloran. gritan. eructan y muchas mas cosas,"['pelota', 'gritos', 'bebes', 'lloran', 'gritan']",0.99843,0.008156406,-0.0059627555,-0.002726918,-0.00014902093,3
143,que su hermano grita mucho y le gusta saltar,"['hermano', 'grita', 'gusta']",0.8976395,-0.002660863,-0.0005251542,-0.004047014,-0.00056372583,3
144,o sea que chilla mucho,['chilla'],0.97769916,-0.4156014,-0.2257264,-0.010750808,-0.00045545166,3
145,que su hermano grita bien alto,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
146,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
147,pues se refiere a que su hermanito es muy griton o grita mucho,"['refiere', 'hermanito', 'griton', 'grita']",0.49027553,0.8234566,0.8148992,0.58971786,0.5821773,3
148,que su hermano grita o llora todo el dia,"['hermano', 'grita', 'llora']",0.8883536,0.025422044,-0.005429983,-0.00017940998,-0.00020955503,3
149,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
150,porque le encanta gritar,"['encanta', 'gritar']",0.721731,0.24795352,0.0022831112,0.0023255348,0.0006940253,3
151,que es muy griton,['griton'],0.6898538,0.84970593,0.73243403,0.5821683,0.580258,3
152,que su hermano es chillon o griton,"['hermano', 'chillon', 'griton']",0.9137342,0.51891285,0.51227295,0.41228932,0.3466383,3
153,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
154,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
155,que cuando grita es que quiere algo,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
156,mi hermanito grita porque se eleva la pelota,"['hermanito', 'grita', 'pelota']",0.30578175,0.42048913,0.42604163,0.33638674,0.33540475,2
157,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
158,que su hermanito grita y es redondo,"['hermanito', 'grita', 'redondo']",0.2675774,0.5156098,0.49749157,0.44188228,0.43767986,2
159,porque su hermano se la pasa gritando todo el tiempo,"['hermano', 'pasa', 'gritando']",0.92983866,0.027669072,0.036373287,0.0012298599,0.00123135,3
160,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
161,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
162,que su hermano llora mucho,"['hermano', 'llora']",0.96544343,0.025388025,-0.01983349,-0.0009468645,-0.00038132817,3
163,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
164,que llora mucho y molesta,"['llora', 'molesta']",0.5562086,0.54788685,-0.0133041665,-0.004387224,-0.004223563,3
165,que su hermano grita muy fuerte diario,"['hermano', 'grita', 'fuerte']",0.89387333,-0.0021842495,0.000518322,-0.0055782944,5.90384e-05,3
166,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
167,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
168,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
169,porque seguramente es un bebe y los bebes gritan y lloran,"['bebe', 'bebes', 'gritan', 'lloran']",0.92577446,0.042654753,-0.070278406,-0.0025749153,-0.0010198774,3
170,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
171,creo que es mi hermano pero  grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
172,que hermanito es un griton. chillon. comelon. etc.,"['hermanito', 'griton', 'chillon']",0.9935085,0.99917316,0.9969181,0.8118549,0.68861526,3
173,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
174,que el hermano es travieso y grita mucho,"['hermano', 'travieso', 'grita']",0.89802957,0.005074084,0.0047013685,-0.00061520934,-0.00053462386,3
175,que su hermano grita mucho y todo lo que dice tiene que ver con pelotas,"['hermano', 'grita', 'pelotas']",0.8953358,0.009274684,0.011738412,0.00337217,0.00058525056,3
176,que su hermano grita y llora mucho,"['hermano', 'grita', 'llora']",0.8883536,0.025422044,-0.005429983,-0.00017940998,-0.00020955503,3
177,que mi hermanita grita,"['hermanita', 'grita']",0.35441712,0.02856212,0.03487455,0.011622913,0.011060153,3
178,grita siempre me grita,"['grita', 'grita']",0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
179,que un nino llora y grita cuando no le hacen caso o algo asi,"['nino', 'llora', 'grita']",0.36300403,0.16909997,0.014355686,0.00096719153,0.0011815373,3
180,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
181,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
182,que su hermano es muy enojon,"['hermano', 'enojon']",0.95280284,-0.014621943,-0.016691357,-0.0022083148,9.136647e-05,3
183,que su hermano grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
184,porque es muy escandalosa,[],0.0,0.0,0.0,0.0,0.0,3
185,que se la pasa gritando,"['pasa', 'gritando']",0.69184726,0.047950834,0.055828996,0.0021798536,0.0019036904,3
186,grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
187,que su hermano siempre esta gritando,"['hermano', 'gritando']",0.93723273,0.014037132,0.021679759,0.00065244734,-0.0029172003,3
188,que es un griton,['griton'],0.6898538,0.84970593,0.73243403,0.5821683,0.580258,3
189,porque llora y grita y hace berrinches,"['llora', 'grita', 'berrinches']",0.36476046,0.055123396,0.0050447527,0.0032660998,0.0021877792,3
190,mi hermanito es un nino que es de lo mejor de lo mejor,"['hermanito', 'nino']",-0.14665931,0.8680577,0.508882,0.4101367,0.410324,3
191,porque grita muchas veces,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
192,mi hermano es un griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
193,que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos ,"['hermano', 'chico', 'gritos']",0.9527705,0.0034215003,-0.010893434,-0.00019702315,-0.0012649745,3
194,que mi hermana es una persona de gritos,"['hermana', 'persona', 'gritos']",0.85493505,-0.008762639,-0.016287223,-0.0068383543,-0.0006759474,3
195,que su hermana todo el tiempo grita,"['hermana', 'grita']",0.35123727,0.008093527,0.014638372,-0.008820991,-0.0010552416,3
196,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
197,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
198,que llora y grita mucho,"['llora', 'grita']",0.36063498,0.047573388,0.003625296,0.0004475601,0.00013775751,3
199,no es una pelota de gritos es namas una pelota para jugar.,"['pelota', 'gritos', 'pelota', 'jugar']",0.97796,0.008705363,0.015704304,0.0016995333,0.0002091229,1
200,que mi hermanito esta triste ,['hermanito'],-0.2403256,0.8623594,0.68896323,0.5776004,0.57766926,3
201,que mi hermano pequeno grita muchisimo,"['hermano', 'pequeno', 'grita']",0.89549947,0.011958607,0.0062188283,0.0013129786,-8.740276e-05,3
202,que mi hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
203,porque su hermano grita mucho o todo el dia,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
204,que mi hermano nunca deja de gritar,"['hermano', 'deja', 'gritar']",0.9463814,0.017353013,-0.0040450096,0.002030015,-0.0007170364,3
205,que llora. que grita,"['llora', 'grita']",0.36063498,0.047573388,0.003625296,0.0004475601,0.00013775751,3
206,que el hermanito bebe siempre grita,"['hermanito', 'bebe', 'grita']",0.26885793,0.5181673,0.49205038,0.37254745,0.33697465,3
207,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
208,porque todo tiene que ser una pelota,['pelota'],0.95778096,0.0028287806,0.017764028,0.003773272,0.0025000013,1
209,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
210,mi hermano se la pasa gritando,"['hermano', 'pasa', 'gritando']",0.92983866,0.027669072,0.036373287,0.0012298599,0.00123135,3
211,que los ninos chicos gritan mucho,"['ninos', 'gritan']",0.72205853,-0.09284692,-0.096975796,0.00044054957,0.00028058793,3
212,porque es latoso,['latoso'],0.7297487,0.9735753,0.8599503,0.497969,0.00086443307,3
213,no para de gritar. o sea yo ,['gritar'],0.7222045,0.26707768,0.0038052732,0.002535114,0.0010833116,3
214,que mi hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
215,bueno si es bebe si y  si no tambiengrita y grita,"['bebe', 'grita']",0.35955578,0.026135473,0.02389995,0.0060402835,0.0010215292,2
216,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
217,0,[],0.0,0.0,0.0,0.0,0.0,0
218,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
219,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
220,porque grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
221,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
222,porque cuando quiere algo y no se lo das empieza a llorar y gritar,"['empieza', 'llorar', 'gritar']",0.7216742,0.27027297,0.012667246,-0.0018051974,-0.002334061,3
223,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
224,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
225,su hermano es un nino muy griton,"['hermano', 'nino', 'griton']",0.92449313,0.5821843,0.42427406,0.33627325,0.33598265,3
226,porque grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
227,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
228,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
229,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
230,que es una pelota de gritos,"['pelota', 'gritos']",0.9888827,0.016066983,0.016757365,0.0040135346,0.002070969,1
231,que su hermano es griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
