,que mi hermanito grita mucho,Preprocesado,2dim,5dim,10dim,20dim,50dim,eval_og
44,su hermano es muy travieso,"['hermano', 'travieso']",-0.040281028,-0.08080984,-0.0048132986,-0.0017959848,-4.8790127e-05,3
45,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
46,que su hermano es griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
47,es muy escandaloso,['escandaloso'],-0.49071535,-0.37589234,-0.069461375,-0.011570905,-9.20319e-05,3
48,llora por ella ,['llora'],0.97476524,0.941955,-0.0073089525,-0.00056780875,-0.00010532141,1
49,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
50,porque esa pelota esta muy poco inflada,['pelota'],0.5306839,0.04140625,-0.010899864,0.0024032071,0.0011233985,1
51,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
52,una persona que grita mucho,"['persona', 'grita']",0.99475455,0.80474293,0.5302667,0.5162337,0.500969,3
53,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
54,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
55,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
56,es un nino griton,"['nino', 'griton']",-0.41462427,0.2728505,-0.0018162131,0.00012546778,0.00034213066,3
57,que mi hermanito grita mucho,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
58,que es griton,['griton'],-0.5156076,0.17928916,0.0038363338,0.0002259016,0.00012883544,3
59,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
60,que su hermano es muy griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
61,mi hermano siempre grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
62,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
63,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
64,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
65,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
66,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
67,que es un gordito que grita,"['gordito', 'grita']",0.99516606,0.84843904,0.7038979,0.5025464,0.5018801,3
68,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
69,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
70,que mi hermano es griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
71,porque se expresa de manera en la que es como llora mucho,"['expresa', 'llora']",0.96676064,0.9404825,-0.009173796,-0.000841707,-0.0040562004,3
72,que es gordo y grita mucho,"['gordo', 'grita']",0.99496603,0.8349745,0.7232153,0.51983523,0.5044687,3
73,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
74,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
75,que a cada rato grita,"['rato', 'grita']",0.9952711,0.8226125,0.7058833,0.64399064,0.5081346,3
76,que el hermano es una persona gritona,"['hermano', 'persona', 'gritona']",-0.028269798,-0.086781,-0.009294495,-0.0016813222,-0.0004911907,3
77,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
78,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
79,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
80,mas o menos le entendi,[],0.0,0.0,0.0,0.0,0.0,1
81,que es muy enojon,['enojon'],-0.15241376,-0.3455549,0.035246417,0.038458776,0.0020992185,3
82,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
83,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
84,NS,['NS'],0.0,0.0,0.0,0.0,0.0,1
85,que los bebes lloran,"['bebes', 'lloran']",-0.46237123,-0.11602962,-0.027877057,-0.018816233,-0.0030869069,3
86,que mi hermano grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
87,que su hermano tiene una cabeza redonda y siempre grita,"['hermano', 'cabeza', 'grita']",0.66273874,0.5061349,0.49884787,0.49718064,0.4921052,3
88,que grita,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
89,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
90,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
91,mi  hermano bebe chilla y grita mucho,"['hermano', 'bebe', 'chilla', 'grita']",0.66601795,0.51653516,0.5108247,0.4488711,0.3546852,3
92,que mi hermano siempre grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
93,que tu hermano cada vez que salta grita,"['hermano', 'salta', 'grita']",0.6661667,0.5093777,0.50117815,0.500515,0.5001898,3
94,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
95,mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
96,que mi hermanito siempre grita y no suelta la pelota,"['hermanito', 'grita', 'pelota']",0.9990771,0.8377172,0.8330569,0.82007116,0.818916,3
97,que su hermanito grita pelotas pelotas,"['hermanito', 'grita', 'pelotas', 'pelotas']",0.9999838,0.999851,0.9983665,0.94725406,0.58556825,1
98,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
99,circular comelona,[],0.0,0.0,0.0,0.0,0.0,2
100,su hermano grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
101,(dormido),[],0.0,0.0,0.0,0.0,0.0,1
102,que grita demasiado,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
103,mi hermana es una pelota de risa,"['hermana', 'pelota']",0.6481215,0.045032382,-0.011348732,-0.0046274737,0.0002629198,2
104,NS,['NS'],0.0,0.0,0.0,0.0,0.0,1
105,que ese hermanito llora mucho y grita mucho,"['hermanito', 'llora', 'grita']",0.9999663,0.9998965,0.8195754,0.8176248,0.81710565,3
106,que es muy gritona,['gritona'],-0.4625459,-0.2740041,-0.019511063,-0.015808148,-0.0009048162,3
107,que mi  hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
108,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
109,que su hermano es griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
110,que llora y grita cuando necesita algo,"['llora', 'grita']",0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
111,que es muy divertido y grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
112,que es muy gritona,['gritona'],-0.4625459,-0.2740041,-0.019511063,-0.015808148,-0.0009048162,3
113,porque esta gordito y es griton,"['gordito', 'griton']",-0.4661032,0.22764295,0.01846397,1.9162893e-05,-0.00030440092,3
114,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
115,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
116,si ,[],0.0,0.0,0.0,0.0,0.0,1
117,si que es un bebe y que le meten un ladrillo por  la boca para callarlo,['bebe'],0.8454443,0.77369905,0.21474831,0.02085315,9.810086e-05,1
118,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
119,porque grita,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
120,si porque tal vez asi es y les guste decirle asi,['decirle'],-0.5014969,-0.0012340546,-0.14622545,-0.029106893,-0.0052907,1
121,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
122,NS,['NS'],0.0,0.0,0.0,0.0,0.0,1
123,de que mi pelota es muy gritona commo mi hermano,"['pelota', 'gritona', 'hermano']",-0.013574034,-0.038326897,-0.01355586,-0.002490569,0.000104088336,1
124,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
125,que mi hermanito grita mucho,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
126,que mi  hermano siempre grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
127,que el hermano siempre grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
128,que su hermano rueda,['hermano'],-0.040054172,-0.08299095,-0.0021488108,-8.1948936e-05,-4.07435e-05,2
129,que su hermanito grita mucho,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
130,que es griton y juega con una pelota,"['griton', 'juega', 'pelota']",-0.3429029,0.16430551,-0.008011371,-0.00035634637,-0.0013129413,2
131,que es muy jugueton y grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
132,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
133,tu hermanito satltara y saltara y no tiene sentido,"['hermanito', 'sentido']",0.88274914,0.69582236,0.7087475,0.70519054,0.58364236,2
134,que su hermano no para de gritar,"['hermano', 'gritar']",-0.057807058,-0.07482973,-0.000295531,0.00017288513,0.0007553026,3
135,que cuando juega con la pelota grita,"['juega', 'pelota', 'grita']",0.9902796,0.6310423,0.49054578,0.48614895,0.4184559,2
136,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
137,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
138,que no puede haber pelotas asi,['pelotas'],0.8998424,0.7619127,0.46744847,0.07479968,0.0024928898,1
139,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
140,que cuando rebota suena como un grito,"['rebota', 'suena', 'grito']",0.33576292,0.017622182,-0.07537825,-0.0127634,0.00030641397,2
141,que mi hermanito siempre grita a cada segundo,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
142,una pelota de gritos porque los bebes siempre lloran. gritan. eructan y muchas mas cosas,"['pelota', 'gritos', 'bebes', 'lloran', 'gritan']",0.21017206,0.036609188,0.012155175,-0.0076861754,-0.0005267896,3
143,que su hermano grita mucho y le gusta saltar,"['hermano', 'grita', 'gusta']",0.6625401,0.5065054,0.4966263,0.48996487,0.42424512,3
144,o sea que chilla mucho,['chilla'],0.46122682,0.037388176,0.15310349,-0.0016600164,7.445924e-07,3
145,que su hermano grita bien alto,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
146,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
147,pues se refiere a que su hermanito es muy griton o grita mucho,"['refiere', 'hermanito', 'griton', 'grita']",0.970231,0.8737589,0.8129892,0.7186599,0.7107183,3
148,que su hermano grita o llora todo el dia,"['hermano', 'grita', 'llora']",0.6778558,0.5370535,0.40754598,0.40928763,0.40896627,3
149,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
150,porque le encanta gritar,"['encanta', 'gritar']",-0.47652948,0.04005745,0.000872666,-0.00049858727,0.00093223527,3
151,que es muy griton,['griton'],-0.5156076,0.17928916,0.0038363338,0.0002259016,0.00012883544,3
152,que su hermano es chillon o griton,"['hermano', 'chillon', 'griton']",-0.15005323,0.057325944,0.0058150887,0.005397737,0.0013227463,3
153,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
154,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
155,que cuando grita es que quiere algo,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
156,mi hermanito grita porque se eleva la pelota,"['hermanito', 'grita', 'pelota']",0.9990771,0.8377172,0.8330569,0.82007116,0.818916,2
157,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
158,que su hermanito grita y es redondo,"['hermanito', 'grita', 'redondo']",0.9999952,0.99991477,0.9999049,0.9973363,0.9923366,2
159,porque su hermano se la pasa gritando todo el tiempo,"['hermano', 'pasa', 'gritando']",-0.10881367,0.06279285,-0.001390811,-9.0721995e-05,9.802729e-05,3
160,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
161,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
162,que su hermano llora mucho,"['hermano', 'llora']",0.0041358173,-0.024165545,-0.0066902637,-0.00045900792,-0.0001032576,3
163,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
164,que llora mucho y molesta,"['llora', 'molesta']",0.94859684,0.8700297,-0.008973494,-0.001634337,-0.00065075606,3
165,que su hermano grita muy fuerte diario,"['hermano', 'grita', 'fuerte']",0.6688622,0.51081496,0.5005765,0.49969077,0.42124748,3
166,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
167,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
168,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
169,porque seguramente es un bebe y los bebes gritan y lloran,"['bebe', 'bebes', 'gritan', 'lloran']",-0.11963701,0.03843303,0.03980784,-0.0033790665,-0.0015583294,3
170,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
171,creo que es mi hermano pero  grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
172,que hermanito es un griton. chillon. comelon. etc.,"['hermanito', 'griton', 'chillon']",0.1531826,0.49605948,0.49590418,0.4951976,0.41952085,3
173,que grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
174,que el hermano es travieso y grita mucho,"['hermano', 'travieso', 'grita']",0.66187626,0.5082609,0.49771404,0.4969924,0.40886247,3
175,que su hermano grita mucho y todo lo que dice tiene que ver con pelotas,"['hermano', 'grita', 'pelotas']",0.66642565,0.51683855,0.5140634,0.5044421,0.41253653,3
176,que su hermano grita y llora mucho,"['hermano', 'grita', 'llora']",0.6778558,0.5370535,0.40754598,0.40928763,0.40896627,3
177,que mi hermanita grita,"['hermanita', 'grita']",0.99553835,0.82306135,0.7199401,0.7154712,0.71421766,3
178,grita siempre me grita,"['grita', 'grita']",0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
179,que un nino llora y grita cuando no le hacen caso o algo asi,"['nino', 'llora', 'grita']",0.9946282,0.9027722,0.40931934,0.41045138,0.40980917,3
180,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
181,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
182,que su hermano es muy enojon,"['hermano', 'enojon']",-0.040654063,-0.08462998,-0.0017609224,0.0005173795,0.00094329193,3
183,que su hermano grita,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
184,porque es muy escandalosa,[],0.0,0.0,0.0,0.0,0.0,3
185,que se la pasa gritando,"['pasa', 'gritando']",-0.5132432,0.15322389,-0.00015024655,-5.3025782e-05,0.00014897436,3
186,grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
187,que su hermano siempre esta gritando,"['hermano', 'gritando']",-0.08828074,0.0218627,-0.0034275018,-0.00031972304,-0.0004497692,3
188,que es un griton,['griton'],-0.5156076,0.17928916,0.0038363338,0.0002259016,0.00012883544,3
189,porque llora y grita y hace berrinches,"['llora', 'grita', 'berrinches']",0.99443126,0.8425196,0.50131065,0.50010616,0.49014592,3
190,mi hermanito es un nino que es de lo mejor de lo mejor,"['hermanito', 'nino']",0.9151232,0.6936945,0.50349283,0.5010077,0.50059026,3
191,porque grita muchas veces,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
192,mi hermano es un griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
193,que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos ,"['hermano', 'chico', 'gritos']",-0.040760666,-0.054402985,0.02827813,0.0009354055,-7.38278e-05,3
194,que mi hermana es una persona de gritos,"['hermana', 'persona', 'gritos']",0.7264649,0.07540363,0.023980184,-0.0011002542,0.00012505893,3
195,que su hermana todo el tiempo grita,"['hermana', 'grita']",0.9958532,0.81491196,0.70420796,0.6812233,0.5007407,3
196,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
197,que su hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
198,que llora y grita mucho,"['llora', 'grita']",0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
199,no es una pelota de gritos es namas una pelota para jugar.,"['pelota', 'gritos', 'pelota', 'jugar']",0.46012124,0.044078123,0.0039586425,0.0013104528,0.00010636449,1
200,que mi hermanito esta triste ,['hermanito'],0.8725033,0.6919663,0.70744383,0.7068937,0.7066524,3
201,que mi hermano pequeno grita muchisimo,"['hermano', 'pequeno', 'grita']",0.6661516,0.51981115,0.50973713,0.42820716,0.41161528,3
202,que mi hermanito grita mucho,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
203,porque su hermano grita mucho o todo el dia,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
204,que mi hermano nunca deja de gritar,"['hermano', 'deja', 'gritar']",-0.061121434,-0.0690834,0.002486989,8.2025304e-05,-0.00015139673,3
205,que llora. que grita,"['llora', 'grita']",0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
206,que el hermanito bebe siempre grita,"['hermanito', 'bebe', 'grita']",0.9999902,0.9999561,0.9979979,0.91148067,0.82390463,3
207,mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
208,porque todo tiene que ser una pelota,['pelota'],0.5306839,0.04140625,-0.010899864,0.0024032071,0.0011233985,1
209,que mi hermano grita mucho,"['hermano', 'grita']",0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
210,mi hermano se la pasa gritando,"['hermano', 'pasa', 'gritando']",-0.10881367,0.06279285,-0.001390811,-9.0721995e-05,9.802729e-05,3
211,que los ninos chicos gritan mucho,"['ninos', 'gritan']",-0.47611332,-0.14175798,-0.011657391,0.0009007361,3.2074517e-05,3
212,porque es latoso,['latoso'],-0.4662516,0.37240872,0.45147085,0.38341346,0.00073809223,3
213,no para de gritar. o sea yo ,['gritar'],-0.4759286,0.06437596,0.0018322729,0.00033505075,0.0011159685,3
214,que mi hermanito grita mucho,"['hermanito', 'grita']",0.99999994,1.0,1.0,1.0,1.0,3
215,bueno si es bebe si y  si no tambiengrita y grita,"['bebe', 'grita']",0.9950042,0.8245461,0.7319771,0.60582817,0.50756854,2
216,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
217,0,[],0.0,0.0,0.0,0.0,0.0,0
218,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
219,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
220,porque grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
221,NS,['NS'],0.0,0.0,0.0,0.0,0.0,1
222,porque cuando quiere algo y no se lo das empieza a llorar y gritar,"['empieza', 'llorar', 'gritar']",-0.476603,0.15985462,0.0074399486,9.25269e-05,-0.0005003512,3
223,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
224,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
225,su hermano es un nino muy griton,"['hermano', 'nino', 'griton']",-0.12298775,0.1209752,-0.002724886,5.4851174e-05,0.0002554506,3
226,porque grita mucho,['grita'],0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
227,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
228,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
229,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
230,que es una pelota de gritos,"['pelota', 'gritos']",0.40505975,0.04858302,0.01812303,0.003198184,0.0014098287,1
231,que su hermano es griton,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
232,que su hermano es griton*,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
233,es una pelota muy gritos,"['pelota', 'gritos']",0.40505975,0.04858302,0.01812303,0.003198184,0.0014098287,1
234,que su hermano es griton*,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
235,no ,[],0.0,0.0,0.0,0.0,0.0,1
236,que su hermano es griton*,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
237,que su hermano es griton *,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
238,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
239,que su hermano es griton ,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
240,que su hermano es griton *,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
241,que su hermano es griton*,"['hermano', 'griton']",-0.14948976,0.051427737,0.0011716932,0.00010146201,6.215274e-05,3
