"","word","n"
"168","si, porque asi se demuestran las mamas cuando estan contentas o felices",1
"169","si, porque a su mama le gusta cantar*",1
"170","si, porque cada vez que rebota su mama quiere cantar",1
"171","si, porque canta canciones",1
"172","si, porque canta la pelota cuando rebota",1
"173","si, porque compara a su familia",1
"174","si, porque cuando dice la pelota que canta se refiere a sus cabezas",1
"175","si, porque cuando la rebotas suena",1
"176","si, porque describe una cosa o una persona",1
"177","si, porque dice en la cancion que toda tu familia parece pelotas",1
"178","si, porque dice que su mamá canta",1
"179","si, porque dice que su mama es una pelota que canta, o sea que es muy alegre y feliz",1
"180","si, porque dices una rima",1
"181","si, porque el poema trata de pelota",1
"182","si, porque en un poema las frases no deben tener sentido, pero esto significa algo como que alguien canta porque no es literalmente lo que dice la frase.",1
"183","si, porque es alguien que le gusta cantar",1
"184","si, porque es cantada en todo",1
"185","si, porque es como rima",1
"186","si, porque es como si digieran el",1
"187","si, porque es como si dijeras que alguien que canta",1
"188","si, porque es como si dijeras que una persona canta pero con pelotas",1
"189","si, porque es como tu mamá cantara",1
"190","si, porque es fuego, plata y pelos..rima como pelota",1
"191","si, porque es mama que canta",1
"192","si, porque es redonda y circular",1
"193","si, porque es su forma de expresarse hacia las personas",1
"194","si, porque está en sentido figurado",1
"195","si, porque esta en sentido figurado pelota que canta es como alguien que canta",1
"196","si,porque está hablando de su familia",1
"197","si, porqué están describiendo a las personas y a los seres vivos como las pelotas",1
"198","si, porque es una cancion que se va formando",1
"199","si, porque es una forma de describir a alguien",1
"200","si, porque es una persona gordita que canta",1
"201","si, porque es una persona qué canta ",1
"202","si, porque es un juguete para rebotar, rodar y aventar.",1
"203","si, porque es un poema",1
"204","si, porque es un poema y tiene palabras mezcladas con otras frases",1
"205","si, porque habla de puras pelotas y cuando lo leí si tenía sentido",1
"206","si, porque habla mucho",1
"207","si, porque habla sobre su mama",1
"208","si, porque indica que a la mama le gusta cantar",1
"209","si,porque la mama canta",1
"210","si, porque la mama puede cantar",1
"211","si, porque la mamá puede cantar",1
"212","si, porque la pelota cada que rebota suena",1
"213","si, porque la pelota puede cantar",1
"214","si, porque la persona es una pelota que canta",1
"215","si, porque la persona es una pelota que canta mucho",1
"216","si, porque las mamas luego cantan",1
"217","si, porque la tecnología hizo a sphero una pelota robot que habla y canta",1
"218","si, porque le gusta cantar",1
"219","si, porque lo revise 3",1
"220","si, porque puede referirse al sentido figurado como el poema, está escrito en figurado o literal",1
"221","si, porque puede ser en mi imaginacion",1
"222","si, porque puede ser una persona",1
"223","si, porque puedes jugar con ella",1
"224","si,porque rebota",1
"225","si,porque rima",1
"226","si, porque rima poquito y habla sobre la familia",1
"227","si, porque rima y ademas es un poema",1
"228","si, porque se entiende que alguien de tu familia canta",1
"229","si,porque se escucha bien y aparte si no tuviera sentido no la escuchariamos",1
"230","si, porque se está refiriendo a cosas",1
"231","si, porque se explica lo que dice",1
"232","si, porqué se inspira ",1
"233","si, porque se le entiende a lo que dice",1
"234","si, porque se oye bonito",1
"235","si, porque se refiere a alguien que canta",1
"236","si, porque se refiere a objetos",1
"237","si, porque se refiere a que su mamá canta",1
"238","si, porque se refiere a su mamá",1
"239","si, porque si",1
"240","si, porque si con pelotas se refieren a personas entonces sí, porque las mamás siempre cantan ",1
"241","si, porqué si da sentido eso de pelotas",1
"242","si, porque significa que su mama canta mucho",1
"243","si, porque si rima",1
"244","si, porque si se entiende",1
"245","si, porque son hermosas",1
"246","si, porque son juguetes",1
"247","si, porque suena a pelota",1
"248","si, porqué suena muchas veces",1
"249","si, porque su mama canta",1
"250","si, porque su máma canta",1
"251","si, porque su mama canta mucho y la describio como una pelota",1
"252","si, porque su mama canta y la pelota tambien",1
"253","si,porque su palabra significa algo",1
"254","si, porque tal vez se refiere a que rebota",1
"255","si, porqué te diviertes jugando con ella.",1
"256","si, porque tenia varios ejemplos",1
"257","si, porque terminan con ta",1
"258","si, porque tiene algo de sentido",1
"259","si, porque tiene muchas curvas",1
"260","si, porque tiene muchas rimas",1
"261","si, porque tiene sentido entre la pelota y lo demas",1
"262","si, porque todas las pelotas hacen lo que quieren",1
"263","si, porque todas las personas las conocen por su redondez",1
"264","si,porque todos los conocemos",1
"265","si, porque tu mama canta bonito",1
"266","si, porque tu mamá puede cantar",1
"267","si, porque tu te puedes expresar",1
"268","si, porque una mama puede cantar con una pelota",1
"269","si, porque una pelota puede ser muchas cosas hasta una cabeza",1
"270","si, porque una pelota representaría un objeto cualquiera",1
"271","si, porque un poema tiene tipos de textos, literal y figurado, en figurado es: mi mamá canta",1
"272","si, porque va diciendo todo con la frase pelota",1
"273","si, porque  a cada rato canta",1
"274","si, puede imaginar una pelota que canta",1
"275","si, quiere decir que su mamá es una persona que canta",1
"276","si, rima con no puedo contarlas",1
"277","si, se refiere a jugar",1
"278","si, significa que su mama canta",1
"279","si,su mama canta",1
"280","si, te demuestra que caracteres tiene tu familia",1
"281","si,tienen sentido",1
"282","si, tiene sentido porque si pones una persona tiene sentido",1
"283","si, tiene significado, creo que habla de la garganta o el chillido de una pelota",1
"284","si, tiene un poco de sentido",1
"285","si, todo rima",1
"286","si, todos cantan",1
"287","si,todos tienen su chiste",1
"288","un señor que está gordito y canta",1
"289","yo no entiendo que significa esta frase",1
"290",NA,1
