,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
10,porque las pelotas no cantan,por el grita,un gato,se ha de parecer a una moneda,muy enredoso,muy blancos,muy dulce,muy fr�a,ya paso,que mejor la situaci�n,0,por que lo pueden hacer,un vestido,por que ya existe,un zapato de miel,no se puede,hacer una figuras con piedra,por que ya lo hicieron,0,quien sabe,quien sabe,no te puede abrigar,que ya la pusieron,por que tu la puedes llevar,que hacen ejercicio,porque ya lo hicieron,que alcanzas el tiempo,no se puede alcanzar
11,porque es una canci�n en sentido figurado,que no se esta en silencio ,mi hermana ,que hay dinero en mi cartera,es enredado,blancos,bien enojona y amargada,sonriente,termino,se refiere a que te pasara algo mejor en un futuro,puede que signifique que las estrellas son de cristal,porque todo se puede,porque son de tela,porque es el mismo material,es un alimento,porque no se puedes algo muy pegajoso,significa que puedes hacer arte,porque puedes expresar tus emociones y haces arte,que eres fuerte,porque nada te lastima,que te puedes acostar,porque te puedes acostar,0,0,que van r�pido,porque lo pueden hacer,hay tiempo para todo,por que todo es posible
12,por que yo si puedo cantar pero la pelota no,que su hermano puede gritar por que no tiene una pelota de pelos,la cabeza de un gato,por que la moneda es de plata,de zacate,de perlas,es dulce,es de risa,que se quedo atr�s,que me llegaran en algunas ocasiones,por que en las estrellas pueden haber posibilidades,por que cada ves se descubre algo nuevo,que estos vestidos ya esta creado,si por que ya fue posible,por que en todo hay mas posibilidades,por que van saliendo nuevos descubrimientos o creaciones,que es una escultura que ya existe desde hace anos,por que ya esta creada y practicada,que como si tu alma se haga de hierro,no creo por que cuando tu alma se va es para descansar en paz,que no creo que se pueda hacer una,por que la banqueta es dura como la roca y para poder abrigarse con una no se podr�,que ya llego,por que ya fue creada o ya llego,que si corren,por que son atletas y a eso se dedican,que el tiempo alcanza,si porque puedes hacer todo en ese tiempo
13,eso imposible,como esta peque�o da lata,abuelo,por que tiene valor y te ayuda,negro y largo,grandes y brillantes,me entiende y me ayuda,es cuando una persona sonr�e a pesar de todo lo malo,paso algo mal o bueno y sabes que no se volver� a repetir,que no todo es malo y tienes que esperar para que venga lo mejor,es la que te ayuda,siempre alguien te ayuda,que no importa lo que uses,que no importa de que este hecho,que nada es para siempre,no nadas es para siempre,que somos resistentes,todos podemos,que somos fr�giles,somo fr�giles en ese aspecto,no te ayuda,no te ayuda,no siempre estas sentado,no siempre hay asientos,por que quieren,alcanzar sus metas,el tiempo nadie espera,nadie detiene el tiempo
14,por la canci�n,que es bien llor�n,los celos,que son se los,que se parece a Trevor ,que est�n chidos,muy amable,fr�a como la muerte,algo que no te gustar�a saber,que ser� millonario,que valen mucho dinero,por que no las conozco ,que eres pobre,por que si hay,que no hay,por que no,que si hay,por que las e visto sera por eso,que no se puede,por que no,que los vagabundos,por que se calientan bien chido,no tiene patas bueno si tiene pero no camina,por que no,que corren,por que tienen patrullas,mientras tenga vida,por que s�
15,la mama como siempre esta en casa pues siempre va a poner m�sica y se va a poner a cantar,cuando al hermano no le compran nada se pone gritar,el perro o el gato,que vale mucho,pues de hilo,son brillosos redondos y plateados,amable y cari�osa,brillante y blanca,se callo la noche y llego el d�a,vivir los momentos con una persona especial,que la estrella puede ser forma de cristal,por que la estrella brilla y se ve como cristal,que la ropa sea fabricada de pura tela,si es posible por que hay algunas personas que crean sus propia ropa,que los zapatos est�n creados de pura miel,no quedar�a bien ensamblado,como una estatua,es posible por que yo e visto muchas en diferentes lugares,no se muy bien,jam�s he visto un alma de hierro,no se mu bien,yo creo que no,que te llegue tu silla del trabajo,por que si,carrera de personas ol�mpicas,porque cualquier persona corre,que todav�a te sobre tiempo para llegar al destino,que tengas tiempo para todo
16,por que es toda una familia de pelotas,que su hermano es una pelota que grita,mi cabeza,que el papa podr�a ser una pelota muy cara por que esta hecho de plata,es de hilo y rasposo,redondos plateados y brillosos,es bonita y es amable con todos,helada y un poco tenebrosa,pues apareci� el d�a y desapareci� la noche,que en un futuro las cosas pueden mejorar,que algunas estrellas pueden ser de cristal,por que pueden ser imaginarias o pueden ser reales,que los vestidos est�n hechos de tela,por que los vestidos y la ropa se fabrican de tela,que hay zapatos hechos de miel,por que no se pueden fabricar zapatos con la miel,que es una estatua,por que se puede hacer una estatua de piedra,que tienes un alma fuerte,por que puede que tengas un alma fuerte y valiente,que una acera es abrigadora,por que la banqueta es de cemento,que alguien trajo una silla,por que alguien la cargo y la trajo,que los atletas corren,por que deben de correr para mantenerse en forma,que el tiempo te puede alcanzar el tiempo para una actividad,por que si haces esa actividad en el menor tiempo posible puede que te alcance el tiempo
17,si tiene sentido una pelota,que grita mucho,la cabeza,tiene talento como H�ctor Cristian,negro,blancos,dulce,blanca,pues que esta oscura,que vendr� mejor la cosa,unas estrellas echas de cristal,la naturaleza no crea estrellas de cristal,que si ay vestidos de telas,porque si hay vestido de tela,porque no es f�cil de moldear la miel,porque no se puede moldear,si hay esculturas de piedra,porque si se puede,un alma que resiste a todo,porque nadie sabe que existen si resisten,porque la banqueta nada mas se puede pisar,porque no,si para sentarse,porque si sirve,si corren,porque los atletas si corren,si,porque si alcanza el tiempo
18,por que no hablan,que habla mucho o grita,su hermanito,0,de zacate,blancos,tierna,helada,se fue,que pasaras por cosas mejores,0,no,que es un vestido,por que es de tela,no se puede,por que no son fijos,que si,por que si ay esculturas de piedra,si,por que es un alma fuerte,no,0,0,por que no camina,si,por que asta compiten,si,tienen el tiempo justo
19,por que es il�gico que una pelota haga alguna canci�n solo ase sonido al caer ,que la ni�a se la pasa llorando o asiendo berrinche ,el cabello o otras partes ,es como una medalla o algo similar ,depende de como lo cuides hay gente que lo logres mantener en buenas condiciones,es como una roca pero no tan dura son rompibles y fr�giles pero como duras,es feliz con pelo largo ojos caf�s y pelo lacio,es una expresi�n de felicidad donde demuestras una sonrisa o risa,al moverse la tierra la luna se pasa al otro lado de la tierra,que quiz�s hoy no fue bueno pero ma�ana quiz�s si,que es una figura o es una persona con ese apodo,por que las estrellas son muy posibles en hacerse como las de navidad,que hay como ropa en el comercio,por que hay muchos vestidos y ropa en el mundo creados por el ser humano,0,por que no se puede tomar la forma es muy pegajosa y aguda la miel,el retrato de una persona ficticia o real,por que los antiguos mallas hac�an sus esculturas de sus dioses,que no eres muy sentimental,por que un alma as� no existe ah no ser que se trate de un dibujo o algo ,0,que no es posible eso,que te llego una silla o algo,por que una silla si es posible de crear y puede ser enviada,que es un deporte,por que todos pueden correr pero los deportistas corren demasiado r�pido,que hay mucho tiempo si te apuras,todav�a hay tiempo
20,la pelota no tiene sentido,por que grita mucho,una mu�eca,mi padre vale mucho por eso lo puse,posto,relucientes,alegre y que ayuda,fr�as,que ya paso,sera un mejor d�a,una estrella de vidrio,por que nunca han existido,eso si existe,sin sentido,algo sin sentido,por que no es real,si las ah� por que,por que ya las han hecho,que no es sensible,por que todo tenemos sentimientos,no existe,no tiene sentido alguno,eso es il�gico,no tiene sentido,para ejercitarse,para estar saludables,alcanzar tu suenos,para lograrlos
21,las pelotas,que grita mucho,cualquier cosa,cualquier cosa puede ser,negro,blancos,grita mucho,sin emociones,ya todo paso,que todo estar� mejor,algo muy fr�gil,por que se puede romper f�cil,algo delgado,por que es muy delgado,zapatos fr�os,por que no existen,una artesan�a,una representaci�n de ante pasados,sin sentimientos,por que les paso algo,algo que te cubre,por que hay gente que vive en la calle,sentarte,porque puedes descansar,alcanzar tu suenos,por que no debes rendirte,que te vas haciendo viejo,por que llano vas a poder lograr lo que quieres
22,porque una pelota no puede cantar,de que su hermano grita mucho,mi gato,pues es una simple pelota,cabello maltratado,blancos,linda,fr�a,que esa noche ya no existe,que no todos los momentos son malos,que las estrellas no son de cristal,no es posible porque las estrellas son de otro material,pues lo vestidos son de hilo y est�n tejidos,si es posible porque se pueden tejer,que los zapatos est�n hechos de miel,no es posible porque los zapatos est�n hechos de piel,que hay una imagen recreada en piedra,si es posible porque puedes romper la piedra,que su alma esta echa de hierro,no es posible porque el alma no existe,0,no se que significa,que una silla ya llego a un lugar,porque las sillas no caminan,que hay gente que hace carreras,porque la gente tiene piernas y puede correr,que tienes mucho tiempo para hacer cosas,si porque el tiempo si existe
23,se desinfla,por que grita,gato,es brillante,rasposo,muy blancos,agradable,sonr�e mucho tiempo,paso algo mal,pasara algo impresionante,brillante,no es posible,un vestido de tela,no,color parecido a la miel,no,una escultura hecha de piedra,no,dif�cil de corromper el alma,no,suave,no,llevaron una silla,no,corren en una carrera,no,tiempo de m�s,no
24,por que cuando se desinfla hace como si estuviera cantando,por que no habla en voz baja,perro,dinero,raposo,blancos,tierna,cuando no cambias de sonrisa,se hizo de d�a,que hay mejores d�as,que tallaron una estrella en un cristal,por que luego suelen hacerlo,que una fabrica lo fabrica,por que existen se�ores que lo hacen,0,0,que hicieron una figura en la piedra,por que mucha gente lo hace,que eres valiente,por que se puede,0,0,que encargaron una silla y ya llego,por que suelen hacerlo,por que mucha gente que es atleta suele correr,por que suelen hacerlo,0,0
25,si pero yo soy el que no sabe hacer que rimen,por que grita mucho,cualquier otro animal que tenga pelo,por que la copa de la liga mx es de plata,que tiene bonito o feo cabello no se,que sus dientes est�n blancos por que se los lava mucho,por que es buena onda o su sentimientos son dulces,que su sonrisa te paraliza,que pasa algo como relaciones sexuales,que el futuro sera mas prometedor que el pasado,no se hermano disculpa,por que todo sobre el espacio no a sido descubierto,que el vestido es de tela,por que casi todo la ropa es de tela,no se hermano disculpa,no es posible,que la escultura es de piedra,por que casi todas las esculturas son de hierro o piedra no hay mas a menos que seas rico y hagas una de hora,que tienes una voluntad muy fuerte,es una met�fora,no se hermano disculpa,por que si la hacen de cobijas ya es abrigadora,que la silla camina sola,si que tal si tiene un fantasma,que hay personas que hacen ejercicio no como benjam�n,por que las personas hacen ejercicio para mantener su figura,es algo utilizado como met�fora,el tiempo es solo una medida de medici�n que es vital para una persona lo puede gastar cuando quieras pero cuando se te acaba es cuando lo lamentas y es una cosa que no se recupera mejor aprov�chalo cuando lo tienes
26,por que la gente no es una pelota,mi hermanito grita mucho,un bal�n,que es una pelota muy cara o con un sentimiento muy grande que es especial,de zacate,de perlas,dulce,de hielo,ya amaneci�,que ahorita esta mal pero despu�s vendr�n tiempos mejores,0,0,es una prenda de vestir la mayor�a son de tela,por que la mayor�a es de tela,una prenda de ropa,por que non se pueden hacer con la miel,una obra de arte,los escultores la trabajan,que es muy fuerte la persona y puede estar en situaciones dif�ciles pero va a aguantar,si es posible pero en lo f�sico no por que ninguna alma es de hierro,una banqueta puede ser la cama de una persona pobre,por que muchas personas no tienen casa,que una silla camina,por que no caminan,que una persona corre,por que las personas si corren,por que puedes medir tu tiempo con lo que vas a hacer,por que el tiempo te puede alcanzar si no lo tienes contemplado
27,no,es gordito y grita mucho,la cabeza de un le�n,que es cara la agua que es muy escasa,0,blancos y brillosos,bonita,muy fr�a,ya paso,que un presente ser�n mejores momentos,si son reales,se pueden hacer,est�n hechos de tela,si,amarillos y brillosos,pero que est�n hechos,modificada a tu gusto,si por que la modifican,que es muy fuerte,si,0,no,que se traslado,no tiene vida,hacen deporte,si,el tiempo va atr�s de t�,no si
28,si porque se refiere a la mama,por que el el hermano es u ni�o peque�o,el gato,que puede llegar a ser la casa,muy rasposo,que son demasiado blancos,muy cari�osa,que es transparente,de que ya termino de ser noche,que abra mejores oportunidades,una frase que quiere decir que las estrellas son hermosas,por que no existe,de que habla de que material esta hecho,por que ya existen,que son zapatos hermosos,por que con un liquido no se puede hacer zapatos,de que material puede ser una escultura,por que ya existe,de que tiene un alma muy fuerte,por que hay personas as�,de que estas solo sentado en banqueta,por que todas las banquetas son fr�as,de que alguien transporto una silla,por que alguien puede transportar una silla,por que tienen una condici�n f�sica,por que tiene una condici�n f�sica,de que el tiempo va avanzando,que va avanzando
29,por que si,que hay muchos gritos,un perro,es una pepita como una bola,pelo en redaba,de un le�n,que me consiente,de una foca,se fue pero no por mucho,que tendr�s mejores tiempos,que es como una lluvia de estrellas de cristal,50 50 es posible,que son vestidos de tela que son mejores,por que los vestidos son mejores y calientes,que no son posibles por que se derriten,por que se pegan,que hagan como una persona copiada,por nada mas la pulen,alma de hierro,por que las al mas no se pueden tocar,banqueta que este con algo que la tapo,por que si una persona se le cae un cobija pues ya se abriga,que la silla lleg� aun lugar,por que la cargan aun lugar a otro por una persona,que los atletas corren,por que los atletas entrenan para correr,que el tiempo alcanzan,por que si te duermes el tiempo te alcanza
30,juan Gabriel cantaba,que exagera al hacer berrinche,un gato,algo de plata,es duro y r�gido,blancos y hermosos,es tierna,fr�a que no es caliente,pues sino la disfrutaste ya se fue el tiempo,que si ella no me aprovecho otra si,que las estrellas brillan mas que ayer,porque yo digo,que no es muy resistente,pues porque no se la verdad,que los zapatos son c�modos,nono es posible es como si ella me amara,estatua,si es posible,es ser fuerte y aguantar criticas,obvio yo tengo alma de hierro,los pobres se duermen ah�,mm,0,no es posible,quienes hacen ejercicio,obvio,que tiene muchos segundos,es posible
31,por que no le entiendo ,no lo se ,de las cosas intimas ,que vale la pena,es un tipo de hilo de color ,0,0,0,0,que lo mejores ,0,no porque no quien escribi� ,que si ,0,0,0,una escultura de piedra,por que si es posible,que nunca te duele nada,que eres muy valiente,que la calle es como tu casa,por que ay personas que viven en la calle ,no,0,que corre los atletas,no,que el tiempo nunca alcanza,0
32,por que no suena coherente,que llora mucho ,un trapeador ,que vale mucho 3,enredado,muy blancos y brillantes,tierna cari�osa,no sonr�e mucho ,que ya pas� puedes no recuperarla,que paso un tiempo malo y aun se resiente,significa que esta algo congelado,por que es una cosa si existe en palabra existe en el mundo real,un tipo de vestido,por que si hay ese tipo de vestidos,es un tipo de calzado,es posible el calzado vegano,una formo de escultura,es posible por que en la vida real existen,ser muy frio,por que hay personas a si,que calienta,por que hay banquetas,nada,0,por que alcanzan una meta,0,por que se acaba,por que te llega
33,por que las pelotas no hablan,que su hermano grita mucho,un puercoesp�n,una pelota brillante,largo y negro,blancos y duros,bonita,alargada y roja,paso,vendr� un futuro mejor,brillantes,es posible,vestidos normales,es imposible,zapatos de miel,imposible,una persona representativa echa de piedra,imposible,alma fuerte,imposible,0,imposible,0,imposible,un atleta no puede correr,imposible,se acaba el tiempo,imposible
34,no entend�,grita,cabeza,es de plata,negro,blancos y duros,bonita,alargada y roja,se quedo,mejor futura,a si son,imposible,vestidos de tela,posible,zapatos de miel,posible,una escultura de piedra,posible,alma dura,posible,0,posible,que una silla no se mueve,posible,no pueden correr,posible,que se acaba el tiempo,posible
35,por que no tiene ning�n sentido,por que es divertido,mi perro,mi mama,como amarillo,son de color azul claro,un dulce redondo y de sabor,cuadrada,pues nada por que dice quedo atr�s,que te ira mejor en la vida,que si puede haber,por que brillan mucho,que te pones una blusa de tela,por que se puede hacer con una maquina de cocer,que yo dijo que no por lo que e vis ay de cuero,por que no e visto zapatos de miel,solo ay de tabique,si por que todas las casas son de ladrillo,solo se usa en las canciones,por que no ay corazones de hierro,por que son de concreto,por que solo ay de concreto,que lleg� la silla,por que llego una silla nueva,pues hacen una carrera,por que los atletas corren,por que pasa r�pido,por que son tiempos que pasan
36,por que las pelotas no cantan,que cada que lo tocan hace un grito,una bola de estambre,por que un bal�n es como una pelota y es de color plata,chino y enredado,son blancos,muy tierna y buena,cautivadora,ya paso,que suceder�n cosas m�s buenas y mejores,que son muy brillantes,por el brillo y por lo bellas que son,de lo que est�n hechos,por que los vestidos son de telas,que son dulces,por que no se pueden hacer,obra de arte,por que se pueden hacer figuras con la piedra,que eres fuerte,si por que tu puedes ser como quieras,que te puede ayudar,si por que te puedes dormir en ella,que se hab�a ido,no por que las sillas no se mueven solas,que hacen ejercicio,si por que los atletas hacen ejercicio,que tienes tiempo para hacer las cosas,si por que te sobra tiempo
37,por que ninguna pelota habla,que su hermanito tiene muchas energ�as para gritar,una bola de pelos,es una pelota cubierta de plata,es un cabello hecho de zacate,unos dientes que tienen perlas,una hermanita que es muy bonita,una sonrisa congelada,una noche que ya paso,cuando estas en un problema pero habr� tiempos mejores,una estrella echa de vidrio muy duro,no por que no existen las estrellas de cristal,un vestido hecho con un hilo muy delgado,si por que se fabrican vestidos para mujeres,un zapato cubierto de miel,no por que se maltratar�a el zapato,una persona talada en piedra,si con instrumentos para talar piedra,una persona echa de hierro,no por que no existen personas con alma de hierro,una banqueta de su�teres,no no existen banquetas con su�teres,una silla que llega a su casa,no por que no existen sillas que hablen,que una persona saludable corra,si por que existen carreras,que para hacer cosas hay mucho tiempo,si por que si no al cansara el tiempo no har�amos muchas cosas
38,las pelotas no cantan,que mi hermanito no para de gritar,que una cosa esta llena de pelos,yo soy como una pelota de plata en el f�tbol,esta enredado,que siempre est�n como nuevos,cari�osa,como sin ganas de re�rte,que eso ya paso,cuando sales de un aprieto,que no hay estrellas de cristal,por que no puede haber estrellas de cristal,que todos los vestidos son de tela,por que los vestidos se cosen con tela,por que no hay zapatos de tela,por que la miel es un liquido,si hay esculturas de piedra,por que si se pueden hacer,que eres fuerte psicol�gicamente,por que es cuando no te dejas llevar por cualquier cosa,solo sirve para pisar,por que la banqueta es plana,no se puede,por que las sillas no caminan,si corren,por que son atletas,si lo haces r�pido lo que hagas,por que asiendo cualquier cosa r�pido alcanza el tiempo
