,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
10,11,m,porque las pelotas no cantan,,por el grita,,un gato,,se a de pareser a una moneda,,muy enrredoso,,muy blancos,,muy dulce,,muy fria,,ya paso,,que mejor la situssion,,NS,,por que lo pueden aser,,un bestido,,por que ya ecciste,,un zapato de miel,,no se puede,,haser una figuras con piedra,,por que ya lo hisieron,,NS,,quien sabe,,quien sabe,,no te puede abrigar,,q ya la pusieron,,por que tu la puedes llevar,,que asen egersiso,,porque ya lo hicieron,,que alcansas el tiempo,,no se puede alcansar,,2738.0,
11,12,m,porque es una cancion en sentido figurado,,que no se esta en silencio jajajajaja,,mi hermana :v,,que hay dinero en mi cartera,,es enredado,,blancos,,bien enojona y amargada,,sonriente,,termino,,se refiere a que te pasara algo mejor en un futuro,,puede que signifique que las estrellas son de crital,,porque todo se puede,,porque son de tela,,porque es el mismo material,,es un alimento,,"porque no se puede,es algo muy pegajoso",,significa que puedes hacer arte,,porque puedes expresar tus emociones y haces arte,,que eres fuerte,,porque nada te lastima,,que te puedes acostar,,porque te puedes acostar,,NS,,no lo se,,que van rapido,,porque lo pueden hacer,,hay tiempo para todo,,por que todo es posible,,4034.0,
12,13,m,por que yosi puedo cantar pero la pelota no,,que su hermano puede gritar por que no tiene una pelota de pelos,,la cabeza de un gato,,por que la moneda es de plata,,de zacate,,de perlas,,es dulce,,es de risa,,que se quedo atras,,que me llegaran en algunas ocaciones,,por que en las estrellas pueden haber posibilidades,,por que cada ves se descubre algo nuevo,,que estos vestidos ya esta creado,,si por que ya fue posible,,por que en todo hay mas posibilidades,,por que van saliendo nuevos descubrimientos o creaciones,,que es una escultura que ya existe desde hace anos,,por que ya esta creada y practicada,,que como si tu alma se haga de hierro,,no creo por que cuando tu alma se va es para descansar en paz,,que no creo que se pueda hacer una,,por que la banqueta es dura como la roca y para poder abrigarse con una no se podra,,que ya llego,,por que ya fue creada o ya llego,,que si corren,,por que son atletas y a eso se dedican,,que el tiempo alcanza,,si porque puedes hacer todo en ese tiempo,,2802.0,
13,14,m,eso implosible,,como esta pequeno da lata,,abuelo,,por que tiene valor y te ayuda,,negro y largo,,grandes y brillantes,,me esntiende y me ayuda,,es cuando una persona sonrie apesar de todo lo malo,,paso algo mal o bueno y sabes que no se bolbera a repetir,,que no todo es malo y tienes que esperar para que venga lo mejor,,es la que te ayuda,,siempre alguien te ayuda,,que no importa lo que uses,,que no importa de que este hecho,,qu nada es para siempre,,no nadas es para siempre,,que somos resistentes,,todos podemos,,que somos fragiles,,somo fragiles en ese aspecto,,no te ayuda,,no te ayuda,,no siempre estas sentado,,no siempre hay asientos,,por que quieren,,alcanzar sus metas,,el tiempo nadie espera,,nadie detiene el tiempo,,3381.0,
14,15,m,por la cansion,,que es bien yoron,,los celos,,que son selos,,que se parese a trevor xdxd,,que estan chidos,,muy amable,,fria como la muerte,,algo que no te gustaria saber,,que sere millonario,,que balen mucho dinero,,por que no las conosco xdxd,,que eres pobre,,por que si hay,,que no hay,,por que no,,que si hay,,por que las e visto sera por eso v:,,que no se puede,,por que noooooo,,que los bagabundos,,por que se calientan bien chido,,no tiene patas bueno si tiene pero no camina,,por que no,,que corren,,por que tienen patrulas,,mientras tenga vida,,por que see,,2336.0,
15,16,m,la mama como siempre esta en casa pues siempre va a poner musica y se va a poner a cantar,,cuando al hermano no le compran nada se pone gritar,,el perro o el gato,,que vale mucho,,pues de hilo,,"son brillosos, redondos y plateados",,amable y carinosa,,brillante y blanca,,se callo la noche y llego el dia,,vivir los momentos con una persona especial,,que la estrella puede ser forma de cristal,,por que la estrella brilla y se ve como cristal,,que la ropa sea fabricada de pura tela,,si es posible por que hay algunas personas que crean sus propia ropa,,que los zapatos esten creados de pura miel,,no quedaria bien ensamblado,,como una estatua,,es posible por que yo e visto muchas en diferentes lugares,,no se muy bien,,jamas e visto un alma de hierro,,no se mu bien,,yo creo que no,,que te llegue tu silla del trabajo,,por que si,,carrera de personas olimpicas,,porque cualquier persona corre,,que todavia te sobre tiempo para llegar al destino,,que tengas tiempo para todo,,3588.0,
16,17,m,por que es toda una familia de pelotas,,que su hermano es una pelota que grita,,mi cabeza,,que el papa podria ser una pelota muy cara por que esta hecho de plata,,es de hilo y rasposo,,"redondos, plateados y brillosos",,es bonita y es amable con todos,,helada y un poco tenebrosa,,pues aparecio el dia y desaparecio la noche,,que en un futuro las cosas pueden mejorar,,ke algunas estrellas pueden ser de cristal,,por que pueden ser imaginarias o pueden ser reales,,ke los vestidos estan hechos de tela,,por que los vestidos y la ropa se fabrican de tela,,que hay zapatos hechos de miel,,por que no se pueden fabricar zapatos con la miel,,que es una estatua,,por que se puede hacer una estatua de piedra,,que tienes un alma fuerte,,por que puede que tengas un alma fuerte y valiente,,que una acera es abrigadora,,por que la banqueta es de cemento,,que alguien trajo una silla,,por que alguien la cargo y la trajo,,que los atletas corren,,por que deben de correr para mantenerse en forma,,que el tiempo te puede alcanzar el tiempo para una actividad,,por que si haces esa actividad en el menor tiempo posible puede que te alcanze el tiempo,,2691.0,
17,18,m,si tiene sentido una pelota,,que grita mucho,,la cabeza,,tiene talento como hector cristian,,negrooooooo,,blancos,,dulce,,blanca,,pues que esta oscura,,que vendra mejor la cosa,,unas estrellas echas de cristal,,la naturalesa no crea estrellas de cristal,,que si ay vestidos de telas,,porque si hay vestido de tela,,porque no es facil de moldear la miel,,porque no se puede moldear,,si hay esculturas de piedra,,porque si se puede,,un alma que resiste a todo,,porque nadien sabe que existen si resisten,,porque la banqueta nada mas se puede pisar,,porque no,,si para sentarse,,porque si sirve,,si corren,,porque los atletas si corren,,si,,porque si alcanza el t5ienpo,,3748.0,
18,19,m,por que no ablan,,que abla mucho o grita,,su ermanito,,ns,,de zacate,,blancos,,tierna,,helada,,se fue,,que pasaras por cosas mejores,,nose3,,no,,que es un vestido,,por que es de tela,,no se puede,,por que no son fijos,,que si,,por que si ay esculturas de piedra,,si,,por que es un alma fuerte,,no,,NS,,NS,,por que no camina,,si,,por que asta compiten,,si,,tienen el tiempo justo,,2581.0,
19,20,m,por que es inlogico que una pelota aga alguna cansion solo ase sonido al caer :v,,que la nina sela pasa llorando o asiendo berrinche :v,,el cabello o otras partes7u7,,es como una medalla o algo similar :v,,depende de como lo cuides hay jente que lo logres mantener en buenas condisiones,,es como una rroca pero no tan dura son rompibles y fragiles pero como duras,,es feliz com pelo largo ojos cafeses y pelo lacio,,es una expresion de felizidad donde demuestas una sonrrisa o risa,,al moverse la tierra la luna se pasa al otro lado de la tierra,,que quisas hoy no fue bueno pero mana quisas si,,que es una figura o es una persona con ese apodo,,por que las estrellas son muy posibles en acerce como las de navidad,,que hay como rropa en el comersio:v,,por que hay muchos vestidos y rropa en el mundo creados por el ser umano,,nose :v,,por que no se puede tomar la forma es muy pegostiosa y aguda la miel,,el retrato de una persona (ficticia o rreal),,por que los antiguos mallas asian sus esculturas de sus dioses,,que no eres muy sentimental,,por que un alma asi no exsiste anoser que se trate de un dibujo o algo :v,,NS,,que no es posible eso,,que te llego una silla o algo :v,,por que una silla si es posible de crear y puede ser enviada,,que es un deporte,,por que todos pueden correr pero los deportitas corren demasiado rrapido,,que hay mucho tiempo si te apuras,,todabia hay tiempo,,3735.0,
20,21,m,lapelota no tienesentido,,por que grita mucho,,una muneca,,mi padre bale mucho por eso lo puse,,posto,,relusientes,,alegre y que ayuda,,frias,,que ya paso,,sera un mejor dia,,una estrella de bidrio,,por que nunca an existido,,esosiexiste,,sinsentido,,olgo sin sentido:v,,por que no esreal,,silas ahi:vpor que,,por que yalas anecho,,que no es sensible:v,,por que todo tenemos sentimientos,,noexiste,,notiene sentido alguno,,eso es ilogico,,notien sentido,,para ejer sitarse,,paroa estar saludables,,al cansartusuenos,,para logralos,,2395.0,
21,22,m,las pelotas,,que grita mucho,,cualquier cosa,,cual quier cosa puede ser,,negro,,blancos,,griota mucho,,sin emociones,,llatodo paso,,que todo estara mejor,,algo muy fragil,,por que se puede romper facil,,algo delgado,,por que es muy delgado,,zapatos frios,,por que noexisten,,una artesania,,una representacion de ante pasados,,sin sentimientos,,por que les paso algo,,algo que te cubre,,poirt que hay gentre que vive en la calle,,sentarte,,porque puedes descansar,,alcansar tu suenos,,por que no debes rendirte,,que tebas haciendo viejo,,por que llano vas apodere blograr lko que quires,,3467.0,
22,23,m,porque una pelota no puede cantar,,de que su hermano grita mucho,,mi gto,,pues es una simple pelota,,cabello maltratado,,blancos,,linda,,fria,,que esa noche ya no existe,,que no todos los momentos son malos,,que las estrellas no son de cristal,,no es posible porque las estrellas son de otro material,,pues lo vestidos son de hilo y estan tejidos,,si es posible porque se pueden tejer,,que los zapatos estan echos de miel,,no es posible porque los zapatos estan echos de piel,,que hay una imagen recreada en piedra,,si es posible porque puedes romper la piedra,,que su alma esta echa de hierro,,no es posible porque el alma no existe,,NS,,no se que significa :v,,que una silla ya llego a un lugar,,porque las sillas no caminan,,que hay gente que hace carreras,,porque la gente tiene piernas y puede correr,,que tienes mucho tiempo para hacer cosas,,si porque el tiempo si existe,,2553.0,
23,24,m,se desinfla,,por que grita,,gato,,es brillante,,rasposo,,muy blancos,,agradable,,sonrie mucho tiempo,,paso algo mal,,pasara algo impresionante,,brillante,,no es posible,,un vestido de tela,,no,,color parecido a la miel,,no,,una escultura hecha de piedra,,no,,dificil de corromper el alma,,no,,suave,,no,,llevaron una silla,,no,,corren en una carrera,,no,,tiempo de mas,,no,,3053.0,
24,25,m,por que cuando se desinfla hace como si estuviera cantando,,por que no habla en voz baja,,perro,,dinero,,raposo,,blancos,,tierna,,cuando no cambias de sonrisa,,se hiso de dia,,que hay mejores dias,,que tallaron una estrella en un cristal,,por que luego suelen hacerlo,,que una fabrica lo fabrica,,por que bexisten senores que lo hacen,,NS,,NS,,que hicieron una figura en la piedra,,por que mucha gente lo hace,,que eres valiente,,por que se puede,,NS,,NS,,que encargaron una silla y ya llego,,por que suelen hacerlo,,por que mucha gente que es atleta suele correr,,por que suelen hacerlo,,no se,,NS,,2446.0,
25,26,m,si pero yo soy el que no sabe hacer que rimen,,por que grita mucho,,cual quier otro animal que tenga pelo,,por que la copa de la liga mx es de plata,,que tiene bonito o feo cabello nose,,que sus dientes estan blancos por que se los lava mucho,,por que es buena onda o su sentimientos son dulces,,que su sonrisa te paralisa,,que pasa algo como relaciones sexuales,,que el futuro sera mas prometedor que el pasado,,no se brou disculpa,,por que todo sobre el espacio no a sido descubierto,,que el vestido es de tela,,por que casi todo la ropa es de tela,,no se brou disculpa,,no es posible,,que la escultura es de piedra,,por que casi todas las esculturas son de hierro o piedra no hay mas a menos que seas rico y hagas una de hora,,que tienes una voluntad muy fuerte,,es una metafora,,no se brou disculpa,,por que si la hacen de cobijas ya es abrigadora,,que la silla camina sola alv,,si que tal si tiene un ghost,,que hay personas que hacen ejercicio no como benja :v,,por que las personas hacen ejercicio para mantener su figura,,es algo utilizado como metafora,,el tiempo es solo una medida de medision que es vital para una persona lo puede gastar cuando quieras pero cuando se te acaba es cuando lo lamentas y es una cosa que no se recupera mejor aprovechalo cuando lo tienes,,2935.0,
26,27,m,por que la gente no es una pelota,,mi hermanito grita mucho,,un balon,,que es una pelota muy cara o con un sentimiento muy grande que es especial,,de zacate,,de perlas,,dulce,,de hielo,,ya amanecio,,que ahorita esta mal pero despues vendran tiempos mejores,,NS,,NS,,es una prenda de vestir la mayoria son de tela,,por que la mayoria es de tela,,una prenda de ropa,,por que non se pueden hacer con la miel,,una obra de arte,,los escultores la trabajan,,que es muy fuerte la persona y puede estar en situaciones dificiles pero va a aguantar,,si es posible pero en lo fisico no por que ninguna alma es de hierro,,una banqueta puede ser la cama de una persona pobre,,por que muchas personas no tienen casa,,que una silla camina,,por que no caminan,,que una persona corre,,por que las personas si corren,,por que puedes medir tu tiempo con lo que vas a hacer,,por que el tiempo te puede alcanzar si no lo tienes contemplado,,2795.0,
27,28,m,nooooooo,,es gordito y grita mucho,,la cabeza de un leon,,que es cara la agua que es muy escasa,,NS,,blancos y brillosos,,bonita,,muy fria,,ya paso,,que un presente seran mejores momentos,,si son reales,,se pueden hacer,,estan echos de tela,,si,,amarillos y brillosos,,per que estan echos,,modificada a tu gusto,,si por que la modifican,,que es muy fuerte,,si,,NS,,no,,que se traslado,,no tiene vida,,hacen deporte,,si,,el tiempo va atras de tiiiii,,no si,,3572.0,
28,29,m,si porque se refiere a la mama,,por que el el hermano es u nino pequeno,,el gato,,que puede llegar a ser la casa,,muy rasposo,,que son demasiado blancos,,muy carinosa,,que es transparente,,de que ya termino de ser noche,,que abra mejores oportunidades,,una frase que quiere decir que las estrellas son hemosas,,por que no existe,,de que habla de que material esta echo,,por que ya existen,,que son zapatos hermosos,,por que con un liquido no se puede hacer zapatos,,de que material puede ser una escultura,,por que ya existe,,de que tiene un alma muy fuerte,,por que hay personas asi,,de que estas solo sentado en banqueta,,por que todas las banquetas son frias,,de que alguien transporto una silla,,por que alguien puede transportar una silla,,por que tienen una condicion fisica,,por que tiene una condicion fisica,,de que el tiempo va avanzando,,que va avanzando,,,
29,30,m,por que si,,que hay muchos gritos,,un perro,,es una pepita como una bolita,,pelo en redabo,,de un leon,,que me consiente,,de una foca,,se fue pero no por mucho,,que tendras mejores tiempos,,que es como una lluvia de estrellas de cristal,,50 50 es posible,,que son vestidos de tela que son megores,,por que los vestidos son megores y calientes,,que no son posibles por que se derriten,,por que se pegan,,que hagan como una persona copiada,,por nada mas la pulen,,alma de hierro,,por que las al mas no se pueden tocar,,banqueta que este con algo que la tapo,,por que si una persona se le cae un cobiga pus ya se abriga,,que la silla yego aun lugar,,por que la cargan aun lugar a otro por una persona,,que los atletas corren,,por que los atletas entrenan para correr,,que el tiempo alcanzan,,por que si te buermes el tiempo te alcaza,,,
30,31,m,juan gabriel cantaba,,que exagera al hacer berrinche,,un gato,,algo de plata,,es duro y riguido,,blancos y hermosos,,es tierna,,fria que no es caliente,,pues sino la disfrutaste ya se fue el tiempo,,que si ella no me aprovecho otra si,,que las estrellas brillan mas que ayer,,porque yo digo,,que no es muy resistente,,pues porque nose la vdd,,que los zapatos son comodos,,nono es posible es como si ella me amara,,estatua,,si es posible,,es ser fuerte y aguantar criticas,,ovio yo tengo alma de hierro,,los pobres se durmen ahi,,smm,,NS,,no es posible,,quie hacen ejercisio,,ovio,,que tiene muchos segundos,,es posible,,,
31,32,m,por que no le entiendo xd,,nolo se xd,,delas cosas intimas xd,,que bale la pena,,es un tipo de ilo de color xd,,NS,,NS,,nolos e,,nolo se xa.v,,qie lo mejoires xd,,NS,,no prque no quien es cribio xd,,que si jjajajajajajajajajajajxd,,NS,,NS,,nolo se xd,,una escultura de piedra,,por que sies posible xd,,que nunca te duele nd,,que eres muy valiente xd,,que la calle es como tu casa,,por que ay personas que viven en la calle xd,,no,,nolo se xd,,que corre los acletasxd,,no,,que eltiempo nunca alcansa xd,,nolo se xd,,,
