,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
10,11,m,no. porque en realidad es una metafora y las metaforas son mentira,,mi hermano es un griton,,el cabello desordenado,,porque cuando alguien sonrie su sonrisa brilla tanto y por eso le puse eso.,,piel tan blanca y bonita,,flores amarillas,,corazones destrozados,,sonrisa como que tmida,,que los dias o el año van lentes,,que los segundos se pasan en tu tiempo de lavolada,,que tus ojos son amarillos,,porque los ojos de miel no son posibles. pero si amarillos,,que algunos collares tienen perlas,,porque casi hay muchos collares con perlas,,que la escoba es azul,,porque las escobas azules son muy diferentes al cristal y el cristal puede tener poco azul,,que la comida esta salada,,porque hay algunas comidas que son saladas o se cocinan saladas,,que los abrazos son suaves,,porque algunos abrazos pueden se suaves,,que el lapiz no tiene sabor,,porque los lapices no se chupan o se comen,,que los hornos estan a todo alcance,,porque los hornos no se pueden salir de su lugar,,que el tren se esta moviendo,,porque los hornos se pueden tranportar a cualquier lugar del pais,,que los dias van pasando,,porque los dias siempre van pasando,,2056.0,
11,12,m,si. porque se inspira,,mi hermano grita mucho,,tiene muchos pelos,,que es una pelota de plata.,,muy disttinta la piel de papel a las otras pieles,,la flor de oro a las otras flores porque es de oro y las otras no son igual,,corazon frio con corazon caliente corazon tibio de carne ,,normale distintas media media,,el año va rapido y lento,,los segundos vuelan los otros no,,significa no lo tiene piel,,no lostienen,,tienen barios,,barios usan,,no hay escobas de cristal ,,puede ser haya escobas ,,hay mucha comida salada,,a veces,,que te abrasen suave,,porque inspira a todos,,que no tiene sabor,,no da sabor,,que los hornos no se asercan,,el horno no se acerca,,viaja barios lados,,viajan mucho interesa,,corren rapido y a veses no,,corren mucho,,3370.0,
12,13,m,no. porque me gusta mucho la frase,,NS,,un perro,,la luna,,guerita ,,de colores,,calientitos,,bonita,,a nosotros se nos va asi,,que va muy raoido el dia,,que tiene los ojos bonitos,,que no podemos tener esos ojos,,que si,,porque son bonitos,,porque una escoba es de madera,,porque las escobas son de madera,,porque nos ase dano,,porque nos puede hacer dano,,que le gusta lo suave,,si es verdad los abrasos,,que los lapiz no tienen sabor,,los lapiz no tienen sabor,,no tienen pies,,no tienen pies,,siempre lleva a la gente,,siempre lleva a la gente,,si porque se hace de noche,,si porque se hace de noche,,2106.0,
13,14,m,si.,,su hermano grita mucho,,su papa es de pelos,,es pajay la puedes hacer bola y puedes jugar con ella a patearla,,sua ve y delicada,,son muchos colores y huelen bien,,de carne humana,,bonita y alegre,,se celebra,,una pregunta,,ojos bonitos,,no po rque nadie puede tener ojos de miel,,collares bonitos,,por que los collares si son de perlas,,escobas que barren bien,,no porque una escoba no puede ser de cristal,,comida con mucha sal,,si porque una comida si puede quedar salada,,sus abrazos son suaves,,si es posible,,lapiz que no tiene sabor,,no es posible,,que los hornos cuentasn y se acercan al num. 1,,si es posible,,que el tren va a muchos lugares,,si es posible,,que los dias se acercan,,si es posible,,2955.0,
14,15,m,si. es algo significativo o algo,,que grita mucho y no para de reir,,perro. porque es muy peludo,,que es muy valioso,,es muy suave,,bonitas huelen bien,,rojos,,bonita feliz amorosa,,tardan mas los dias,,0,,no puede tener ojos de miel,,porque te arden los ojos,,que es muy bonito el collar,,por que si puedes usarlos,,se romperian,,no aguantarian,,algo muy salado,,se pueden pasar de sal,,un abraso amoroso,,un abraso de un familiar,,no puede haber lapiz de sabor,,no pueden ponerle sabor,,no pueden moverse,,porque no pueden caminar,,si puede viagar,,con vapor,,no pueden correr,,no caminan ni corren,,1865.0,
15,16,m,si. porque va diciendo todo con la frase pelota,,que su hermano es chillon,,significa que su papa es porque son peludos,,que la pelota no seria la luna,,que es color blanca,,que las flores son amarillas,,que tienen frio ,,que esta caliente ,,por que el año tiene muchos dias,,que los segundos son muy rapidos,,que los ojos son amarillos,,porque nadie puede tener ojos amarllo,,un collar echo de perlas,,porque e visto muchos collares de perlas,,una escoba de cristal ,,porque como arias la forma de la escoba,,como el poyo salado,,porque ay algunas comidas que usan sal,,que te abrasa suave,,porque si abrasas suave o fuerte,,que los lapices no tienen,,porque los lapices no tienen sabor,,que los hornos tienen vida,,que los horno tubieran vida,,que el tren va a lugares,,significa que viiaja a muchos lugares,,que los dias van rapido,,que los minutos y las horas ban rapido,,2981.0,
16,17,m,no. porque como que no se escucha bien,,que grita mucho,,gato. porque tiene pelos,,mama es una pelota de plata,,de papel,,de oro,,frios,,tibia,,va muy lento,,que los segundos pasan rapido ,,que no podemos tener ojos de miel,,no es posible tener ojos de miel,,si se puede tener,,si es posible tener collares de perla,,no puede haber escobas de cristal,,no es posible tener escobas de cristal,,si puede tener comida salada,,si es posible tener comida salada,,que nos dan un abrazo suave,,porque si nos pueden dar un abrazo suave,,que no hay lapiz sin sabor,,porque no ai lapiz sin sabor,,si se pueden acercar,,si se pueden acercar los hermanos,,si viaja el tren,,si puede viajar el tren,,si si corren,,si si pueden correr los dias,,2012.0,
17,18,m,no. porque no no tiene vida y no tiene boca,,que grita mucho,,que esta chida esta de pelos!,,que esta hecha de plata y es pesada,,suave y color carnita,,con hojas de oro,,frios,,muy hermosa,,los dias van lentos,,que no esperan a nadie y van rapido,,que ninguna persona tiene ojos de miel o color miel ,,no hay ojos de miel o color miel,,que si hay collares de perlas,,si hay collares con perlas,,porque al barrer se ronpen o que se caiga,,no porque no barrieran nada y a la primera caida se rompen,,si cuando le pones mucha sal xd ,,le pones mucha sal y listo,,que te lo dan suave y no te aprietan,,si no te lo dan tan fuertes,,es dulce,,si porque hay de dulce ,,no tienen pies y no estan vivos,,no estan vivooooos!,,obio tiene motor y avanza,,si por que tiene motor para que avanse,,que el tiempo avansa rapido ,,si porque el tiempo avansa y no espera a nadie ,,2995.0,
18,19,m,no. porque no rima,,lenguaje literal,,mi perro es una pelota de pelos,,lenguaje literal,,color carne suavecita y delgada,,bonitas de colores y huelen bonito,,los corazones son frios y ruidosos,,alegre y bonita,,el año corre muy rapido,,que los minutos vuelan,,no porque no poderias ver,,por que se te pegarian los ojos,,porque se beria brillante,,porque beluceria mas,,porque se ronperia ,,por que se romperia con las piedras,,por te empalaga ,,no porque no supiera buena,,por los brazos ,,porque los brazos estan suaves ,,porque no es dulce ,,y porque es de madera,,porque no caminan,,y no tienen pies ,,si por que viaja a lugares,,y biaja con pasajeros ,,que los dias buela,,los dias se ban de bolada,,1692.0,
19,20,m,no. si no todas las pelotas estuvieran cantando ,,que mi hermano esta gritando,,mi primo tiene pelos,,mi papa es de plata,,que se puso papel ,,las flores son ramas de oro,,los corazones son rojos,,que tienes una sonrisa caliente,,el año va muy lento ,,que los segundos van muy rapido,,que no podemos tener ojos de miel,,no es posible,,que un collar tiene perlas ,,si es posible ,,una escoba con cristal,,no es posible ,,que le pones mucha sal ,,si es posible ,,que nos dan un abraso suabe,,si es posible ,,el lapiz tiene un sabor a madera ,,no es posible ,,que nos quieren comer ,,no es posible ,,el tren pasa por personas,,si es posible ,,los dias pasan rapido ,,si es posible ,,2867.0,
20,21,m,no. porque no tienen boca,,que es griton,,una cabeza. porque tiene pelos,,es la luna porque es plateada.,,suave,,hermosas,,sentimentales,,alegre,,se acaba para empezar otro,,que pasan muy rapido,,ojos dulses,,por que puedes tener ojos de miel ,,collares ermosos,,se puede aser collares de diferentes bariedades,,escoba unica ,,por que se romperia al barrer ,,que tiene mucha sal ,,por que ay comida salada ,,abrasos delicados ,,por que ay barios tipos de abrasos ,,que no pinta ,,por que los lapises no se comen ,,que tiene un orno serca,,por que los ornos no caminan ,,que ba de un lugar a otro ,,por que ellos pueden ir a todos lados ,,que los dias pasan rapido,,por que los dias no tienen pies ,,1758.0,
21,22,m,no. porque  no puede ser mi mama una pelota que canta,,mi hermano es una pelota que grita mucho,,mi cabeza. tiene mucho cabello,,el mar es una pelota de plata,,suave y lisa,,muy caras si las venden,,como si estuvieran en el refirgerador,,sonrisa muy bonita,,pasan los meses muy lento,,los segundos son rapidos,,las personas no tienen ojos de miel ,,pueden tener ojos color miel pero no de miel ,,venden en tiendas los collares ,,por que pueden venderlas en las tiendas grandes ,,no pueden ser de cristal ,,no pueden si se te cae se va a quebrar ,,si cuando se te pasa la mano y le hechas sal ,,si cuando te pasas de sal te queda muy salada ,,cuando te abrazan ,,cuando te abraza tu mama,,no tienen sabor ,,no pueden tener sabor los lapices ,,no caminan ,,los hornos no tienen pies ,,viaja a lugares ,,si tienen ruedas y viajan ,,pasan los dias ,,si pasan los dias ,,2545.0,
22,23,m,si. porque a cada rato canta,,porque cuando no le dan algo se enoja y empieza a gritar,,porque esta lleno de pelo de la cabeza hasta la cola,,mi mama vale mucho como si fuera plata,,suave,,con petalos y un palito,,rojos y frios ,,muy hermosa,,que es muy lento,,que se va rapido,,porque los ojos no pueden ser de miel ,,pon que si puede ser muchas cosas buenas y no ,,porque si ai collares de perlas ,,0,,0,,0,,0,,0,,por los brasos ,,porque los brazos estan suave,,porque los lapisenoseppue de comer ,,porque los lapises son duros ,,porque no caminan ,,porque no viven ,,por que tienen vias ,,por que biaja muchos quilometros ,,porque se pasa ,,por que los dia corren ,,1711.0,
23,24,m,no. porque las pelotas no cantan ,,que su hermano grita mucho,,perro porque tiene pelos,,WW,,que es lo que tenemos en el cuerpo,,son unas plantitas que huelen muy bien,,un corazon es como dar cariño y amor,,es cuando algo nos hace reir,,el año es demasiado lento ,,que el tiempo va muy rapido,,que tus ojos sen amarillos ,,porque no ay ojos de miel ,,que los collares tienen perlas ,,i es posible que ay collares de perlas ,,que tu escoba esta limpia ,,no ay escobas de cristal porqu nose puede acer una ,,que la comida esta salada ,,si es posible que la comida este salada ,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2377.0,
24,25,m,si. es como me dijieron mi mama canta,,mi hermano grita mucho,,mi abuelito es una pelota de pelos,,el mar es una pelota de plata,,es color blanco ,,encantadoras y con un color de oro,,un corazon muy despistado ,,una sonrisa calientita,,un año lergo y aburrido,,que los segundos pasan rapido ,,que tienes ojos de color oro ,,no por que ya naciste con unos ojos de color ,,un collar de piedras ,,no porque es muy caro comprar ,,una escoba muy valiosa,,no porque puedes ser muy dificiles de construir ,,una comida saladicisima ,,si puede pasarle la sal a algo ,,un abraso calido ,,si alguien puede estar feliz ,,un lapiz desabrido ,,no porque no hay lapicez de sabor ,,los hornos estan a punto ,,por que no caminan ,,el tren se pasa ,,el tren te lleva a una estacion ,,los dias pasan volando ,,si por que los dias se pasan rapido ,,1700.0,
25,26,m,0,,0,,0,,0,,0,,0,,0,,NS,,0,,0,,ojos dulces ,,porque no es imposible tener ojos de miel ,,joyas ,,porque son joyas brillantes ,,escoba bonita ,,no es imposible que haya escobas de cristal,,comida mu salada,,no es imposible que haya comida salada ,,0,,0,,si hay lapiz sin sabor ,,que si hay lapiz sin sabor ,,0,,0,,0,,0,,0,,0,,2458.0,
26,27,m,no se canta no tiene sentido!,,es como cuando grita mucho muy fuerte,,puede ser como una pelota de pelos porque puede ser asi,,esta como hecha de plata y de nada mas,,es como puro papel bonito ,,muy lindas y tienen olor muy fresco,,muy bonitos y muy especiales,,sonrisa es muy bonita hay que sonreir siempre,,que luego hay muchos accidentes en el año,,los segundos vuelan,,es como ,,la gente puede tener sus ojos de cualuier for ,,porque,,aijente que tiene collares pe perlas ,,si pode ,,moster escobas de cristal ,,sisi puedeaber,,comida salasi se pasan de sal ,,si se pu,,eden dar abras su abes ,,si puede,,aber lapiz sinborrador ,,si se pu ,,eden asercar ,,si via,,ja porto dos lados ,,sisicorr,,en todos los dias ,,1828.0,
27,28,m,si. porque si,,que grita mucho,,jamster porque tiene pelo,,perro,,de papel,,de oro,,grandes,,bonita,,va muy lento,,que se pasan rapido,,que son bonitos ,,porque nadie los tiene ,,si es posible ,,porque algunos usan ,,porque no asen ,,porque nadie tiene escobas de cristal ,,siat,,las papas son saladas ,,no apretarlos ,,si se puede ,,porque si ,,porque son de madera ,,porque no ,,un orno no se puede asercar ,,porque si ,,porque usa carbon ,,porque si ,,porque se ban muy rapido ,,2606.0,
28,29,m,no. porque nomas son pelotas,,no grita porque no es como su hermano,,es chida,,una pelota de pelos,,la piel es morena y guera,,no hay flores de oro ,,los corazones son color rojo,,es mas o menos sonriente,,el año a cambiado de horarios,,que los segundos van muy rapido,,que no hay persona que tenga los ojos color miel ,,porque no hay ojos color miel porque ni modo que los tenga ,,si hay collares y perlas si es verdad ,,si existen los collares de perlas y de cristal ,,no hay escoba de cristal falso ,,no existe si no al barrer se crevaria ,,si existe la comida salada ,,si existe por si a alguien se pasa de sal existe una comida asi ,,porque te lo puede dar quedito ,,si es inposible porque si te puede dar abrasos suaves ,,si porque luego venden unos de dulce ,,si es inposible porque luego hay de dulce ,,nose puede porque no se mueven ,,no es inposible porque no se mueven no caminan los hornos ,,si viaja porque avansa ,,si es inposible porque si abansa ,,si porque se acavan los dias rapido ,,si es inpocible porque se van los dias rapido ,,,
29,30,m,si. porque alguien se expresa con anhelo,,que se asusta siempre o es muy enojona y grita mucho de furia,,WW,,WW,,que es de papel,,que es de oro,,que no tiene piedad,,que tiene labios,,que se te hace muy largo el año,,que no debes perder el tiempo ,,nigo no tiene ojos de miel ,,porque niguno tiene ojos de miel ,,porque las perlas salen de las almejas ,,porque si existen las perlas ,,que no hay escobas de cristal ,,porque si no se romperia muy facil,,que la comida salio salada ,,porque le echan mucha sal ,,que todos abrasan ,,porque todos abrazan ,,no puede aber lapis sin sabor ,,no porque sabria a madera y grafito ,,los horno no se asercan,,porque no se asercan ,,todos los trenes viajan,,si existen los trenes ,,NN,,-,,,
30,31,m,no. porque mi mama no canta,,es lloron y es pelota de gritos,,las cabezas de los demas,,es una moneda es de plata pelota de plata,,de papel ,,de oro,,frios,,tibia,,va muy lento,,el tiempo es rapido,,ojos rellenos de miel ,,no puede aber ojos llenos de miel ,,collares de perlas son valiosos,,i puede aver collares valiosos como perlas y oro ,,escobas hechas de cristal ,,no puede aver escobas de cristal no se barreria bien el cristal se rompe,,comida que sabe demasiado a sal ,,la comida salada si es posible con mucha sal esta,,dar abrazos suaves y muy despacito ,,se puede dar abrazos despacio y suaves ,,lapiz que no tiene sabor ,,que los lapiz no tiene sabor entonses el lapiz sin sabor ,,los hornos que caminan,,por que los hornos no pueden caminar ,,que el tren avansa ,,el tren si puede correr y avanzar por las vias ,,los dias pasan ,,si porque es dia tras dia y corren ,,,
31,32,m,si. porque si rima,,que su hermano grita mucho,,perro porque tiene muchos pelos,,pues fierro,,es muy suave,,doradas y valen mucho para nosotros,,que no les importan de lo que pasen,,que estra trizte ,,que sientes que va muy rapido el año,,que pasan muy rapido,,que se parese color miel ,,porue si pueden haber ojos color miel ,,que si con las pelas se encollares,,si pueden haber collares de perlas ,,que si puede haber escobas de cirstal,,no hay  poque se romperia al barrer,,que si hay comida salada,,si ai porque luejo se puede pasar sal ,,si hay abrasos suaves,,si hay abrasos suaves,,si hay lapiz sin sabor,,si existe lapiz sin sabor,,no se puede acercar,,no se pueden acercar,,si el tren viaja ,,si viaja el tren mui rapido ,,si corre,,si corren los dias ,,,
32,33,m,no. porque las pelotas solo se mueven,,mi hermano grita mucho,,un gato porque sacan bolas de pelo,,NS,,de papel ,,color dorados,,frios,,muy blanda,,pasa muy lento ,,lo segundos son muy rapidos,,tiene unos ojos cafe muy claro ,,no casi nadie los tiene amarillos,,un collar con perlas ,,si se encuentran muchos ,,una escoba de hermoso cristal ,,no seria muy costosa,,comida con mucha sal ,,mucha gente lo puede hacer asi ,,un abraso suave ,,muchos abrazan muy suave ,,los lapices no se comen ,,los lapices no son comestibles,,no los hornos no caminan ,,los hornos no caminan ,,el tren va a lugares,,todos los trenes viajan ,,los dias pasan volando ,,los dias pasan volando ,,,
33,34,m,NN,,que bota,,la pelota de picos ,,que vale oro,,el papel es como la piel ,,flores que huelen muy bien,,que no tienes sentimientos ,,que es media sonrisa,,es muy lento ,,que los segundos pasan de volada,,ojos hermosos,,si es posible porque a los ojos le puedes decir varias cosas lindas,,collares lindos,,si collares son lindos y le gustan le puedes desir varias cosas,,solo escoba,,no so es una escoba ,,la comida esta agria,,si la comida le pueden echar mucha sal ,,brasos como nubes,,si por que abeses los siente calientes ,,NN,,NN,,NN,,NN,,que el tren corre a sus direcciones ,,si el tre puede ir a tu destino ,,los dias pasan ,,si los dias siguen,,,
34,35,m,si. porque su mama canta,,que su hermano siempre esta gritando,,es su perro porque tiene mucho pelo,,NS,,delicada,,de colores,,rojos,,blanca y alegre,,son 12 meses y pasa lento,,que van muy rapido,,que tiene ojos amarillos ,,es posible porque tiene ojos amarillos ,,es collar de perlas ,,es posible porque las mujeres lo usan ,,no tiene sentido ,,NN,,la comida esta salada ,,es posible porque le hecharon mucha sal,,es un abrazo ,,si porque te dan un abrazo y te gusta ,,un lapiz chupado ,,no porque no tiene sabor ,,no tiene sentido ,,NN,,el tren te transporta,,si porque el tren te lleva a diferentes lugares,,los dias pasan ,,si los dias pasan rapido ,,,
35,36,m,si. porque es cantada en todo,,porque grita mucho,,chango porque tiene pelos,,NS,,NS ,,bonitas,,como tus puños,,dulce ,,no estas cansada,,que haces algo a diairio y se te el tiempo,,NN,,por que si los trendrias de miel no podrias ver ,,NN,,si por que las perlas si existen ,,el vidrio se rompe bien facil,,no porue se rompe la escoba ,,de diferente comida y salada,,si por que hay de diferentes comidas con sal,,te dan un abraso con mucho sentimiento ,,porque te dan un abraso suavemente,,el lapiz no es agua de sabor ,,por que el lapiz no es agua de sabor ,,no tienen pies ,,por que no tienen pies ,,si puede biajar por sus ruedas,,por que tienen ruedas y bias del tren,,que cada 24 horas cambia el dia ,,por que cada 24 horas canbia un dia ,,,
