,Explica pelota de gritos,a_num_topics_2,a_num_topics_5,a_num_topics_10,a_num_topics_20,a_num_topics_50,a_num_topics_100,a_num_topics_150,a_num_topics_200,a_puntaje,Explica pelota de pelos,b_num_topics_2,b_num_topics_5,b_num_topics_10,b_num_topics_20,b_num_topics_50,b_num_topics_100,b_num_topics_150,b_num_topics_200,b_puntaje,Explica pelota de plata,c_num_topics_2,c_num_topics_5,c_num_topics_10,c_num_topics_20,c_num_topics_50,c_num_topics_100,c_num_topics_150,c_num_topics_200,c_puntaje
26,mi hermanito grita mucho,0.9968646168708801,0.7784247994422913,0.7152831554412842,0.7088860273361206,0.7075696587562561,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,por que es divertido y causa una emoción feliz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,que es una pelota muy cara o con un sentimiento muy grande que es especial,0.9696528911590576,-0.07677862793207169,0.01782168820500374,0.02748093008995056,3.6032870411872864e-06,-5.587935447692871e-09,-5.587935447692871e-09,-5.587935447692871e-09,3
27,es gordito y grita mucho,0.9999767541885376,0.9914617538452148,0.9888540506362915,0.7116352915763855,0.7079316973686218,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,tienen una melena peluda,0.2647583782672882,-0.006441389210522175,-0.023095961660146713,0.005927921272814274,5.587935447692871e-09,5.587935447692871e-09,5.587935447692871e-09,5.587935447692871e-09,3,que es cara la agua que es muy escasa,0.9630703926086426,-0.13115182518959045,0.03203445300459862,0.08035169541835785,4.881620407104492e-05,4.656612873077393e-10,4.656612873077393e-10,4.656612873077393e-10,3
28,por que el el hermano es u niño pequeño,0.9402035474777222,0.46145376563072205,0.48229432106018066,0.0007575526833534241,0.0028856098651885986,0.0,0.0,0.0,3,por que esta lleno de pelo,0.9994862079620361,0.9978610277175903,0.7569896578788757,0.7193694114685059,0.70710688829422,0.70710688829422,0.70710688829422,0.70710688829422,3,que puede llegar a ser la casa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
29,que hay muchos gritos,0.9412974715232849,0.8148485422134399,-0.03134189546108246,-0.0007356107234954834,-0.0005097761750221252,0.0,0.0,0.0,3,por que los perros tiene pelos,0.026781931519508362,0.050573065876960754,0.11520229279994965,0.0028653033077716827,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,3,es una pepita como una bola,0.9976775646209717,-0.024313047528266907,0.13987591862678528,-0.08153355866670609,0.0005738139152526855,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,1
30,que exagera al hacer berrinche,0.8997065424919128,0.60380619764328,0.31789082288742065,0.09430428594350815,0.0038065575063228607,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,3,esta peludo,0.694661557674408,-0.007570341695100069,0.026687851175665855,0.003302142024040222,0.0,0.0,0.0,0.0,3,algo de plata,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
31,no lo sé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,que vale la pena,1.0,1.0,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896,3
32,que llora mucho ,0.9983042478561401,0.8017153739929199,0.031144525855779648,0.026021268218755722,0.002190113067626953,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3,por que paren pelos ,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1,que vale mucho ,1.0,1.0,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896,3
33,grita,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,3,por que es muy juguetón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,es de plata,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
34,por que es divertido,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,por que es peluda,0.976241409778595,-0.05047687143087387,-0.05013807490468025,0.005612079985439777,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3,mi mama,0.9338548183441162,0.6558345556259155,0.05151112377643585,0.007276657968759537,4.2732805013656616e-05,5.587935447692871e-09,5.587935447692871e-09,5.587935447692871e-09,2
35,que cada que lo tocan hace un grito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,por que tiene sentido,0.2704039216041565,-0.0069338418543338776,-0.02378668636083603,0.007790949195623398,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,1,por que un balón es como una pelota y es de color plata,0.942130446434021,0.4131958782672882,0.391973078250885,0.3585997223854065,0.3333626091480255,0.3333333134651184,0.3333333134651184,0.3333333134651184,1
36,que su hermanito tiene muchas energías para gritar,0.9856208562850952,0.29953235387802124,0.35170572996139526,0.007289951667189598,-3.2405368983745575e-05,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,3,por que es una forma de expresar un pensamiento,0.23216506838798523,-0.08008379489183426,-0.09771385043859482,-0.018910303711891174,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1,es una pelota cubierta de plata,0.9932894706726074,-0.02109653130173683,0.003006430808454752,-0.0019496530294418335,3.314577043056488e-05,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
37,que mi hermanito no para de gritar,0.9856208562850952,0.29953235387802124,0.35170572996139526,0.007289951667189598,-3.2405368983745575e-05,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,3,por que tiran pelo,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,2,yo soy como una pelota de plata en el fútbol,0.9932894706726074,-0.02109653130173683,0.003006430808454752,-0.0019496530294418335,3.314577043056488e-05,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,3
38,que su hermano grita mucho,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,porque el poema refleja la acción de cada persona en una pelota,0.6776121854782104,-9.128451347351074e-05,-0.010652057826519012,0.0026972517371177673,0.0,0.0,0.0,0.0,3,que la pelota vale mucho,0.9726338386535645,-0.0686633437871933,0.7260431051254272,0.7115192413330078,0.7071495652198792,0.7071067690849304,0.7071067690849304,0.7071067690849304,2
39,que su hermano es alguien que grita mucho,0.9359790086746216,0.7126055955886841,0.7129274606704712,0.5891251564025879,0.5831920504570007,0.5773503184318542,0.5773503184318542,0.5773503184318542,3,por que esta lleno de pelos,0.04831488057971001,0.09344813227653503,-0.00023519620299339294,-0.0028434135019779205,5.587935447692871e-09,5.587935447692871e-09,5.587935447692871e-09,5.587935447692871e-09,3,es algo de mucho valor y también bello y pensó que lo que mejor queda con eso es la esperanza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
40,que cuando le pegan el se pone a gritar,0.7154855728149414,-0.006666988134384155,-0.020141273736953735,0.00319092720746994,-0.0018167942762374878,0.0,0.0,0.0,2,por que no se  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,que la pelota es color amarilla,0.7045608758926392,0.5046939253807068,0.48947378993034363,0.4542680084705353,0.4081798791885376,0.40824830532073975,0.40824830532073975,0.40824830532073975,1
41,porque se la pasa gritando el pensativo ,0.6815717816352844,0.7043169140815735,0.250654399394989,0.0025079064071178436,-0.00032931193709373474,-3.725290298461914e-09,-3.725290298461914e-09,-3.725290298461914e-09,2,por que tiene mucho pelo,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,1,que es una pelota de plata,0.9932894706726074,-0.02109653130173683,0.003006430808454752,-0.0019496530294418335,3.314577043056488e-05,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
42,que grita mucho,1.0,1.0000001192092896,1.0,1.0,1.0,1.0,1.0,1.0,2,como ya lo había mencionado no quiero ser pervertido pero el testículo tiene pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1,que tiene un temple o una conciencia limpia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43,mi hermano esta muy gordo y se la pasa gritando,0.8905884027481079,0.6023620963096619,0.320064514875412,0.021967103704810143,0.005335723981261253,3.166496753692627e-08,3.166496753692627e-08,3.166496753692627e-08,1,porque nada tiene sentido,0.2704039216041565,-0.0069338418543338776,-0.02378668636083603,0.007790949195623398,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,1,es metáfora como si dijera yo el rostro de mi novia,0.9406711459159851,0.7762039303779602,0.5533947348594666,0.2958819270133972,6.443634629249573e-05,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1
44,si porque frita mucho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,por mi reporte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,si eres rico puedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45,que empieza a gritar,0.7154855728149414,-0.006666988134384155,-0.020141273736953735,0.00319092720746994,-0.0018167942762374878,0.0,0.0,0.0,1,es redonda,0.8877787590026855,0.11064665019512177,0.06890131533145905,0.010120777413249016,0.0,0.0,0.0,0.0,1,que una plata,0.9971946477890015,0.35527706146240234,0.013213824480772018,-0.0019307620823383331,0.0001867450773715973,-9.313225746154785e-10,-9.313225746154785e-10,-9.313225746154785e-10,1
46,por que chilla mucho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,una naranja apachurrada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
47,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,por que tiene muchos pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,que mi hermano en redondo y grita mucho,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,1,por si,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,que como la luna es plateada por eso es una pelota de plata,0.7195901870727539,0.33324378728866577,0.328021377325058,0.30474382638931274,0.2887042164802551,0.28867509961128235,0.28867509961128235,0.28867509961128235,3
49,porque los hermanos lloran mucho,0.7254878282546997,0.35814857482910156,0.3894996643066406,-0.02437274158000946,0.01518188789486885,-2.3283064365386963e-10,-2.3283064365386963e-10,-2.3283064365386963e-10,1,ns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,no dice mentiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,pues es lo que se me bino ala mente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
51,que su hermano se la pasa gritando o sea es un desastroso,0.8823570013046265,0.5640329122543335,0.27027997374534607,0.005978534929454327,0.0002834498882293701,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,3,r1gf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,una moneda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
52,explica que el hermano grita mucho e inquieto,0.9370907545089722,0.7127668857574463,0.698674738407135,0.6952415108680725,0.5774174332618713,0.5773503184318542,0.5773503184318542,0.5773503184318542,3,porque es peludo,0.694661557674408,-0.007570341695100069,0.026687851175665855,0.003302142024040222,0.0,0.0,0.0,0.0,1,explica que una pelota de plata es algo valioso o importante,0.9974690079689026,-0.04759317636489868,-0.04815508425235748,-0.0042760856449604034,0.0001271124929189682,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,1
53,13fg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,porque tiene pelos es chiquito ya se parece a una pelota de pelos,0.05009254813194275,-0.00439700111746788,0.004275191575288773,0.001746930181980133,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,0,1g3f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,es gritón,0.7229810953140259,0.49450981616973877,-0.019224025309085846,-0.0031642019748687744,-0.0015319548547267914,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3,porque tiene muchos pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,bala de cañón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55,que su hermanito es gordo y grita mucho,0.9982045888900757,0.7729636430740356,0.7208747267723083,0.5861879587173462,0.5803488492965698,0.5773501992225647,0.5773501992225647,0.5773501992225647,3,por que es una bola de hilos con pelos,-0.0023182108998298645,0.013112880289554596,0.05572011321783066,0.005662788636982441,5.122274160385132e-09,5.122274160385132e-09,5.122274160385132e-09,5.122274160385132e-09,3,porque la luna es color plateado,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,3
56,se refiere a que el hermanito siempre grita,0.9993585348129272,0.7763445973396301,0.6763019561767578,0.593750536441803,0.5797714591026306,0.5773502588272095,0.5773502588272095,0.5773502588272095,3,porque es un animal peludo,0.4884389042854309,0.01020452007651329,0.019245687872171402,0.0014790520071983337,9.313225746154785e-10,9.313225746154785e-10,9.313225746154785e-10,9.313225746154785e-10,3,escogí la luna porque es redonda y brilla como la plata,0.7964602112770081,0.4214690625667572,0.43623343110084534,0.3119772672653198,0.28889697790145874,0.2886751890182495,0.2886751890182495,0.2886751890182495,3
57,por que su hermano solo grita,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,habla de pelos y los animales son los únicos,-0.019777663052082062,0.005816025659441948,0.044306430965662,0.009004519321024418,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,1,la luna porque es redonda y se ve como si fuera una pelota de plata,0.7144582271575928,0.36987462639808655,0.36148619651794434,0.3117700219154358,0.2582070231437683,0.2581988573074341,0.2581988573074341,0.2581988573074341,3
58,que su hermano chico grita mucho o habla mucho,0.932165265083313,0.7221863269805908,0.7122616171836853,0.7100811004638672,0.7075228095054626,0.7071067690849304,0.7071067690849304,0.7071067690849304,3,por que esta cubierto de pelos,-0.017893187701702118,0.01006251759827137,0.032567255198955536,0.002582184039056301,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,-1.862645149230957e-09,3,me base en lo que dice del sol ademas la luna brilla,0.9970250129699707,0.5661195516586304,0.47917628288269043,0.36520710587501526,0.3338162899017334,0.3333333134651184,0.3333333134651184,0.3333333134651184,3
