x
"No, porque las pelotas no cantan*"
Yo no entiendo que significa esta frase
"No, porque las pelotas no cantan*"
"No, porque no rima"
"No, porque las pelotas no cantan"
"Si, porque es un poema y tiene palabras mezcladas con otras frases"
"No, porque las pelotas no cantan*"
"No, porque el sentimiento es de alegria"
"Si, porque la pelota cada que rebota suena"
"No, porque las pelotas no cantan*"
No porque las pelotas no cantan*
"Si, porque la pelota puede cantar"
"No, porque las pelotas no hablan"
"No, porque las pelotas no cantan (es una metafora)"
"No, porque las pelotas no cantan*"
"Si, porque cuando la rebotas suena"
"No, porque es imposible que una pelota cante, aunque metaforicamente si"
No porque las pelotas no hablan
"Si, porque su mama canta y la pelota tambien"
"No, porque las pelotas no cantan*"
"No, porque eso no existe"
"si, porque significa que su mama canta mucho"
"No, porque una pelota no canta ni habla, no tiene vida"
"Si, porque son hermosas"
"No, porque ?como una pelota canta?"
"si, porque una pelota puede ser muchas cosas hasta una cabeza"
"No, porque las pelotas no cantan"
